A028_b_new
Operated by Australia
latitude -68.40 longitude 112.22 height 1622m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied byAAD

1998 11 06 05 31   805.0   -21.5    12.6   210                                  
1998 11 06 09 30   803.2   -21.4    11.2   150                                  
1998 11 06 10 30   802.8   -22.1    11.1   210                                  
1998 11 06 12 30   802.0   -24.5    11.0   210                                  
1998 11 06 15 30   800.4   -26.7    12.5   210                                  
1998 11 06 20 31   798.6   -29.0    15.0   210                                  
1998 11 06 21 30   798.4   -29.3    15.0   210                                  
1998 11 06 23 31   797.8   -28.9    16.4   210                                  
1998 11 07 03 30   796.4   -23.3    16.2   216                                  
1998 11 07 05 31   796.0   -21.6    14.8   216                                  
1998 11 07 08 31   795.4   -21.5    13.3   216                                  
1998 11 07 10 30   795.0   -24.5    13.5   210                                  
1998 11 07 12 30   794.2   -26.6    14.6   216                                  
1998 11 07 17 31   792.0   -29.1    13.2   216                                  
1998 11 07 18 30   791.6   -29.5    13.6   216                                  
1998 11 07 19 30   791.2   -29.4    13.2   216                                  
1998 11 07 20 31   791.0   -29.4    13.4   210                                  
1998 11 07 21 30   790.4   -29.1    13.7   210                                  
1998 11 07 23 31   790.2   -27.2    14.6   216                                  
1998 11 08 12 30   785.4   -22.1    10.5   222                                  
1998 11 08 14 31   785.2   -24.5    11.3   222                                  
1998 11 08 16 30   784.8   -26.9    11.5   216                                  
1998 11 08 18 30   784.4   -27.4    12.4   216                                  
1998 11 08 21 30   784.0   -29.5    13.1   210                                  
1998 11 08 22 30   784.0   -29.1    12.9   210                                  
1998 11 09 11 31   783.6   -24.5     9.7   210                                  
1998 11 09 12 30   783.6   -26.4     9.5   210                                  
1998 11 09 14 31   784.2   -29.6     8.1   210                                  
1998 11 09 16 30   784.0   -31.7     9.6   210                                  
1998 11 10 00 30   786.6   -29.4    10.5   210                                  
1998 11 10 03 30   787.6   -24.2     8.3   216                                  
1998 11 10 06 30   788.4   -21.1     4.6   240                                  
1998 11 10 10 30   789.8   -21.7     3.5   228                                  
1998 11 10 20 31   792.0   -24.2     2.0   210                                  
1998 11 11 13 30   798.0   -21.5     1.7   102                                  
1998 11 11 14 31   798.4   -21.9     1.0   246                                  
1998 11 11 16 30   798.6   -22.0     1.5   240                                  
1998 11 11 19 30   799.4   -24.0     2.1   210                                  
1998 11 11 20 31   799.6   -26.5     3.5   204                                  
1998 11 11 23 31   799.6   -29.3     8.0   204                                  
1998 11 12 01 30   799.6   -29.2     8.0   192                                  
1998 11 12 08 31   798.6   -21.8     6.2   210                                  
1998 11 12 17 31   795.4   -26.8     7.1   210                                  
1998 11 13 00 30   790.6   -23.9     8.2   204                                  
1998 11 13 04 30   786.6   -19.1    10.6   144                                  
1998 11 13 12 30   779.4   -19.0     9.2   150                                  
1998 11 15 15 32   800.4   -27.4     5.6   186                                  
1998 11 15 21 32   801.0   -27.3     7.4   198                                  
1998 11 16 05 31   801.4   -19.1     7.2   168                                  
1998 11 16 06 32   801.2   -18.9     7.1   168                                  
1998 11 16 07 32   801.2   -18.5     6.7   168                                  
1998 11 16 11 31   802.0   -21.7     4.6   192                                  
1998 11 16 16 32   802.6   -29.6     9.1   204                                  
1998 11 16 18 32   802.8   -31.5    10.2   204                                  
1998 11 16 21 32   803.6   -31.6    11.3   204                                  
1998 11 17 06 32   803.4   -18.9    10.0   138                                  
1998 11 17 10 32   803.4   -18.6     9.4   120                                  
1998 11 17 11 31   803.4   -19.0     9.6   120                                  
1998 11 17 12 32   803.4   -19.1     9.5   120                                  
1998 11 17 13 32   803.4   -19.3    10.0   126                                  
1998 11 17 18 32   802.6   -21.2    11.9   126                                  
1998 11 17 19 32   802.2   -21.4    12.3   126                                  
1998 11 17 20 31   802.0   -21.7    11.8   132                                  
1998 11 17 23 31   801.8   -21.0    12.2   132                                  
1998 11 18 03 32   800.8   -19.0    12.8   126                                  
1998 11 18 08 31   800.0   -16.6    10.8   120                                  
1998 11 18 09 32   800.0   -16.5    10.2   120                                  
1998 11 18 10 32   800.0   -16.6     9.5   126                                  
1998 11 18 15 32   800.0   -19.3     8.5   126                                  
1998 11 18 19 32   801.0   -21.7     8.6   216                                  
1998 11 19 00 32   802.8   -22.0     8.6   210                                  
1998 11 19 03 32   803.8   -19.1     9.2   150                                  
1998 11 19 08 31   805.6   -16.5     6.5   150                                  
1998 11 19 11 31   806.2   -18.9     6.4   162                                  
1998 11 19 13 32   806.8   -21.8     7.3   198                                  
1998 11 19 17 31   807.2   -26.8     8.9   204                                  
1998 11 19 20 31   807.2   -27.5    10.4   210                                  
1998 11 19 21 32   807.2   -27.1    11.3   210                                  
1998 11 19 22 32   807.2   -26.4    11.6   210                                  
1998 11 20 06 32   806.0   -16.0    10.4   120                                  
1998 11 20 14 31   808.2   -16.6     5.5   138                                  
1998 11 20 23 31   812.0   -22.0     8.6   210                                  
1998 11 21 06 32   814.0   -16.1     8.2   150                                  
1998 11 21 07 32   814.4   -15.8     8.2   150                                  
1998 11 21 08 31   814.8   -15.6     7.4   150                                  
1998 11 21 09 32   815.2   -16.0     6.6   150                                  
1998 11 21 11 31   816.0   -18.2     5.9   156                                  
1998 11 21 13 32   816.6   -21.4     6.2   210                                  
1998 11 21 16 32   817.4   -24.7     7.7   210                                  
1998 11 21 18 32   817.4   -24.7    10.0   222                                  
1998 11 22 09 32   816.6   -14.2    10.6   180                                  
1998 11 22 11 31   816.6   -14.3     9.9   288                                  
1998 11 22 12 32   816.6   -14.2     9.6    78                                  
1998 11 22 19 32   816.0   -13.8     9.2   288                                  
1998 11 22 21 32   816.4   -13.5     7.9    72                                  
1998 11 22 22 32   816.4   -13.2     7.1    66                                  
1998 11 23 04 32   815.6   -10.5     9.7    72                                  
1998 11 23 05 31   815.2   -10.1     8.4    72                                  
1998 11 23 09 32   814.2   -10.3    10.6    72                                  
1998 11 23 10 32   814.4   -10.3     9.3   288                                  
1998 11 23 12 32   814.4   -10.5     7.8    66                                  
1998 11 23 14 31   814.4   -10.3     7.4    66                                  
1998 11 23 15 32   814.2   -10.5     8.4    66                                  
1998 11 23 17 31   814.2   -10.8    11.5   282                                  
1998 11 23 19 32   814.6   -10.9    11.8    78                                  
1998 11 23 20 31   814.8   -10.9    10.2    72                                  
1998 11 23 22 32   815.4   -11.4     6.3    60                                  
1998 11 24 00 32   816.0   -11.2     6.4    48                                  
1998 11 24 03 32   817.0   -10.8     5.4    36                                  
1998 11 24 05 31   817.4   -10.0     4.1    36                                  
1998 11 24 07 32   818.0    -9.2     2.7    30                                  
1998 11 24 08 31   818.2    -9.5     2.8     6                                  
1998 11 24 09 32   818.2    -9.3     1.8    18                                  
1998 11 24 10 32   818.4   -10.2     1.1    54                                  
1998 11 24 12 32   818.4   -10.5     1.7   102                                  
1998 11 24 13 32   818.2   -10.8     1.8   108                                  
1998 11 24 14 31   818.0   -10.9     1.2   126                                  
1998 11 24 15 32   817.8   -11.2     1.0   126                                  
1998 11 24 17 31   817.2   -11.4     2.4   126                                  
1998 11 24 18 32   817.0   -11.7     2.3   120                                  
1998 11 24 19 32   816.8   -11.1     1.8   114                                  
1998 11 24 20 31   816.6   -11.8     1.8   126                                  
1998 11 24 21 32   816.4   -12.2     1.7   132                                  
1998 11 24 22 32   816.2   -11.8     1.8   138                                  
1998 11 24 23 31   815.8   -11.0     1.8   144                                  
1998 11 25 01 32   815.0    -9.6     2.0   150                                  
1998 11 25 03 32   814.0    -9.1     2.6   126                                  
1998 11 25 05 31   813.2    -8.8     2.3    90                                  
1998 11 25 06 32   812.6    -7.9     2.2   114                                  
1998 11 25 07 32   812.2    -9.0     2.5   102                                  
1998 11 25 08 33   811.8   -10.3     2.3   108                                  
1998 11 25 10 32   811.0   -13.7     2.6   168                                  
1998 11 25 11 33   810.4   -13.0     2.8   162                                  
1998 11 25 12 32   810.0   -18.6     3.1   204                                  
1998 11 25 13 32   809.4   -19.8     3.6   192                                  
1998 11 25 15 32   808.6   -17.9     4.1   192                                  
1998 11 25 16 32   808.2   -17.8     3.9   186                                  
1998 11 25 17 33   807.8   -18.5     4.4   180                                  
1998 11 25 18 32   807.6   -19.7     4.8   180                                  
1998 11 25 20 33   806.8   -20.1     6.1   192                                  
1998 11 25 21 32   806.4   -19.0     6.7   192                                  
1998 11 25 22 32   806.2   -18.5     7.7   192                                  
1998 11 25 23 33   805.8   -17.4     8.8   192                                  
1998 11 26 01 32   805.0   -15.2    10.1   198                                  
1998 11 26 03 32   804.4   -14.2    10.4   204                                  
1998 11 26 05 33   803.4   -13.1    11.5   156                                  
1998 11 26 06 32   803.0   -13.1    11.7   204                                  
1998 11 26 07 32   802.2   -13.3    12.1   198                                  
1998 11 26 08 33   802.0   -13.6    11.8   204                                  
1998 11 26 09 32   801.6   -13.9    11.8   156                                  
1998 11 26 10 32   801.2   -14.5    12.0   156                                  
1998 11 26 11 33   801.0   -15.4    12.4   210                                  
1998 11 26 12 32   800.6   -16.5    11.6   150                                  
1998 11 26 13 32   800.2   -18.1    11.4   150                                  
1998 11 26 14 33   799.6   -19.5    10.9   156                                  
1998 11 26 15 32   798.8   -21.0    10.8   204                                  
1998 11 26 16 32   798.0   -22.2    10.8   204                                  
1998 11 26 17 33   797.0   -23.2    11.5   204                                  
1998 11 26 18 32   796.0   -24.0    11.9   204                                  
1998 11 26 19 32   795.2   -24.6    11.9   204                                  
1998 11 26 20 33   794.4   -24.7    12.0   198                                  
1998 11 26 21 32   794.0   -24.4    12.0   204                                  
1998 11 26 22 32   793.6   -23.6    11.7   210                                  
1998 11 26 23 33   793.4   -22.4    11.5   210                                  
1998 11 27 00 32   793.4   -21.2    10.0   210                                  
1998 11 27 03 32   793.4   -14.2     4.2   288                                  
1998 11 27 05 33   794.0   -13.5     3.6    60                                  
1998 11 27 06 32   794.2   -12.9     3.5    66                                  
1998 11 27 07 32   794.4   -13.2     4.2    78                                  
1998 11 27 08 33   794.6   -13.2     4.6    90                                  
1998 11 27 09 32   795.0   -13.0     3.9    90                                  
1998 11 27 10 32   795.0   -13.0     3.5    90                                  
1998 11 27 11 33   795.2   -13.1     3.6    72                                  
1998 11 27 12 32   795.2   -13.5     3.4   114                                  
1998 11 27 13 32   795.2   -13.6     3.8   120                                  
1998 11 27 14 33   795.2   -13.5     4.3   132                                  
1998 11 27 15 32   795.0   -14.4     4.2   126                                  
1998 11 27 16 32   795.0   -14.5     4.8   234                                  
1998 11 27 17 33   795.0   -13.5     5.6   108                                  
1998 11 27 18 32   795.2   -13.0     5.9   108                                  
1998 11 27 19 32   795.2   -13.6     6.8   102                                  
1998 11 27 20 33   795.4   -13.8     6.7   102                                  
1998 11 27 21 32   795.6   -13.3     7.2   102                                  
1998 11 27 22 32   795.8   -13.2     8.1   102                                  
1998 11 28 00 32   796.0   -12.8     8.8   102                                  
1998 11 28 03 32   795.6   -12.6     9.5   108                                  
1998 11 28 04 32   795.4   -12.7     9.6   108                                  
1998 11 28 06 32   795.0   -12.0     9.1   114                                  
1998 11 28 07 32   794.8   -11.8     9.5   108                                  
1998 11 28 08 33   794.4   -12.0     9.7   108                                  
1998 11 28 09 32   794.0   -12.8    11.4   126                                  
1998 11 28 10 32   794.0   -13.5    12.8   228                                  
1998 11 28 11 33   793.8   -13.9    11.6   138                                  
1998 11 28 12 32   793.6   -14.7    11.8   222                                  
1998 11 28 13 32   793.2   -15.7    11.5   222                                  
1998 11 28 14 33   793.0   -16.7    11.0   222                                  
1998 11 28 15 32   792.8   -17.3    10.4   222                                  
1998 11 28 16 32   792.8   -18.1     9.6   222                                  
1998 11 28 17 33   792.6   -18.4     9.6   222                                  
1998 11 28 18 32   792.6   -19.1     9.8   222                                  
1998 11 28 19 32   792.6   -18.9    10.0   222                                  
1998 11 28 20 33   792.8   -18.7    10.8   228                                  
1998 11 28 21 32   792.8   -18.6    10.1   222                                  
1998 11 28 22 32   793.0   -18.3    11.2   228                                  
1998 11 28 23 33   793.0   -17.9    12.4   234                                  
1998 11 29 04 32   793.8   -13.3    10.5   108                                  
1998 11 29 06 32   794.6   -12.3     8.9   174                                  
1998 11 29 08 33   795.8   -12.3     8.6    78                                  
1998 11 29 09 32   796.4   -12.3     8.2    78                                  
1998 11 29 10 32   797.2   -12.3     6.3    72                                  
1998 11 29 11 33   798.2   -12.8     4.7    42                                  
1998 11 29 13 32   799.6   -13.0     2.6    54                                  
1998 11 29 14 33   800.2   -13.1     2.8    72                                  
1998 11 29 15 32   800.6   -13.5     3.8   102                                  
1998 11 29 16 32   801.2   -15.0     4.0   252                                  
1998 11 29 18 32   802.4   -15.0     4.5   246                                  
1998 11 29 19 32   802.8   -16.4     4.1   228                                  
1998 11 29 20 33   803.2   -16.6     3.7   216                                  
1998 11 29 21 32   803.6   -16.4     4.5   228                                  
1998 11 29 23 33   804.2   -14.7     5.8   240                                  
1998 11 30 01 32   804.8   -13.5     6.2   234                                  
1998 11 30 04 32   805.2   -11.2     6.2   108                                  
1998 11 30 06 32   805.4   -10.7     5.6    90                                  
1998 11 30 07 32   805.4   -10.6     5.5   132                                  
1998 11 30 08 33   805.6   -10.6     4.5    78                                  
1998 11 30 09 32   805.6   -11.2     4.6    90                                  
1998 11 30 11 33   805.8   -12.2     4.2   126                                  
1998 11 30 12 32   805.6   -12.6     4.3   126                                  
1998 11 30 13 32   805.6   -13.4     4.9   126                                  
1998 11 30 14 33   805.2   -14.7     3.1   240                                  
1998 11 30 16 32   805.0   -17.9     2.9   240                                  
1998 11 30 17 33   804.6   -18.2     3.5   222                                  
1998 11 30 18 32   804.4   -17.8     4.2   210                                  
1998 11 30 19 32   804.0   -18.3     5.0   210                                  
1998 11 30 21 32   803.0   -16.2     5.2   216                                  
1998 11 30 23 33   801.8   -14.2     5.7   222                                  
1998 12 01 04 32   797.8   -14.0     8.1   210                                  
1998 12 01 05 33   796.8   -13.8     8.0   210                                  
1998 12 01 06 32   795.8   -13.7     8.8   210                                  
1998 12 01 07 32   795.0   -13.5     8.4   210                                  
1998 12 01 11 33   792.0   -17.0     6.1   204                                  
1998 12 01 12 32   791.2   -18.5     6.5   198                                  
1998 12 01 14 33   789.6   -21.4     7.3   204                                  
1998 12 01 16 32   788.6   -25.1     7.8   210                                  
1998 12 01 17 33   788.2   -25.6     7.4   210                                  
1998 12 01 19 32   787.8   -25.1     8.3   210                                  
1998 12 01 21 32   787.8   -24.1     8.8   216                                  
1998 12 01 22 32   788.0   -23.0     8.9   222                                  
1998 12 02 00 32   788.4   -20.9     9.0   234                                  
