Bean Peaks
Operated by Newcastle:University
latitude -75.95 longitude -69.30 height 907m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999

2010 01 07 20 00   894.6   -10.5     2.0   116                                  
2010 01 07 21 00   894.9    -7.3     1.0   241                                  
2010 01 07 22 00   895.0    -6.1     2.7   234                                  
2010 01 07 23 00   895.0    -6.2     1.2   232                                  
2010 01 08 00 00   895.1    -6.2     1.2   341                                  
2010 01 08 01 00   895.0    -7.3     0.8   276                                  
2010 01 08 02 00   894.9    -7.7     4.7   320                                  
2010 01 08 03 00   895.1    -5.2     1.4   238                                  
2010 01 08 04 00   895.1    -7.9     1.0   230                                  
2010 01 08 05 00   895.2    -5.3     2.3   314                                  
2010 01 08 06 00   895.3    -6.8     1.4   191                                  
2010 01 08 07 00   895.5    -6.3     1.0   143                                  
2010 01 08 08 00   895.7    -8.0     1.6   222                                  
2010 01 08 09 00   896.0    -5.9     1.6   122                                  
2010 01 08 10 00   896.1    -6.4     1.6     5                                  
2010 01 08 11 00   896.2    -6.7     0.6    49                                  
2010 01 08 12 00   896.2   -12.9     2.3   228                                  
2010 01 08 13 00   896.4    -8.9     0.6    11                                  
2010 01 08 14 00   896.6   -12.0     1.2   219                                  
2010 01 08 15 00   896.8   -10.9     2.0    78                                  
2010 01 08 16 00   896.9   -11.0     2.1    96                                  
2010 01 08 17 00   897.0   -10.7     3.1   109                                  
2010 01 08 18 00   897.2   -11.3     3.3    63                                  
2010 01 08 19 00   897.4   -10.8     1.2    92                                  
2010 01 08 20 00   897.5   -11.0     3.1    75                                  
2010 01 08 21 00   897.5   -10.9     3.7   138                                  
2010 01 08 22 00   897.6   -10.6     2.7    60                                  
2010 01 08 23 00   897.8   -10.7     1.0   355                                  
2010 01 09 00 00   897.9   -11.3     2.9   114                                  
2010 01 09 01 00   897.7   -11.7     3.1    71                                  
2010 01 09 02 00   897.7   -11.9     5.7     1                                  
2010 01 09 03 00   897.8   -11.7     4.3   315                                  
2010 01 09 04 00   897.8   -12.4     3.1   258                                  
2010 01 09 05 00   897.8   -12.6     5.9    55                                  
2010 01 09 06 00   897.8   -12.9     3.5    67                                  
2010 01 09 07 00   897.8   -13.1     4.3    71                                  
2010 01 09 08 00   897.8   -12.7     9.6   109                                  
