Bowers
Operated by US
latitude -85.20 longitude 163.40 height 2090m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1986 01 11 06 00   755.9   -15.1    17.5   163                                  
1986 01 11 09 00   756.6   -15.4    18.5   167                                  
1986 01 11 12 00   756.2   -16.2    20.5   170                                  
1986 01 11 15 00   756.2   -17.1    17.5   181                                  
1986 01 11 18 00   756.9   -16.1    10.1   185                                  
1986 01 11 21 00   756.9   -14.5    15.6   158                                  
1986 01 12 00 00   757.5   -14.2    11.7   142                                  
1986 01 12 03 00   757.5   -14.1    20.5   161                                  
1986 01 13 09 00   757.0   -17.6    29.6   161                                  
1986 01 13 12 00   759.5   -16.4    18.9   147                                  
1986 01 13 15 00   759.5   -17.7    28.1   161                                  
1986 01 13 18 00   760.0   -17.1    33.0   153                                  
1986 01 14 00 00   761.2   -13.6    17.9   160                                  
1986 01 14 03 00   762.3   -13.2    21.5   147                                  
1986 01 14 06 00   763.5   -12.1    14.6   156                                  
1986 01 14 09 00   764.4   -13.7    25.2   147                                  
1986 01 14 12 00   765.1   -12.7    10.1   154                                  
1986 01 14 15 00   765.3   -14.9    17.9   161                                  
1986 01 14 18 00   765.9   -15.1    19.5   172                                  
1986 01 14 21 00   765.4   -15.6    18.9   189                                  
1986 01 15 00 00   764.1   -15.4    18.9   189                                  
1986 01 15 03 00   762.2   -15.1    17.5   189                                  
1986 01 15 06 00   760.4   -15.1    19.5   192                                  
1986 01 15 09 00   759.2   -15.1    16.0   174                                  
1986 01 15 12 00   758.0   -16.1    15.6   177                                  
1986 01 15 15 00   756.7   -16.7    15.0   168                                  
1986 01 15 18 00   755.4   -17.1    16.0   188                                  
1986 01 15 21 00   754.1   -16.0    14.6   158                                  
1986 01 16 00 00   752.9   -15.6    18.9   157                                  
1986 01 16 03 00   752.9   -12.1     2.9     1                                  
1986 01 16 06 00   754.0   -13.6     9.2   161                                  
1986 01 16 09 00   754.7   -14.9    14.6   151                                  
1986 01 16 12 00   756.1   -12.6     3.3   156                                  
1986 01 16 15 00   756.7   -15.0    14.6   144                                  
1986 01 16 18 00   757.5   -16.2    12.1   150                                  
1986 01 16 21 00   757.9   -15.5    13.6   150                                  
1986 01 17 00 00   758.3   -15.4    16.6   153                                  
1986 01 17 03 00   758.3   -15.6    21.5   158                                  
