Brianna
Operated by US
latitude -83.89 longitude -134.15 height 525m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1994 11 30 03 00   923.7    -7.2    11.1    67                                  
1994 11 30 06 00   924.2    -8.5    12.9    78                                  
1994 11 30 09 00   923.7    -9.6    17.5    81                                  
1994 11 30 12 00   922.8   -10.0    12.9    71                                  
1994 11 30 15 00   922.3    -9.4    12.5    71                                  
1994 11 30 18 00   922.1    -7.6    12.1    59                                  
1994 12 01 00 00   922.5    -7.6    13.3    53                                  
1994 12 01 03 00   921.9    -7.0    12.1    52                                  
1994 12 01 06 00   921.3    -7.0     9.6    54                                  
1994 12 01 09 00   921.5    -5.8     8.4   355                                  
1994 12 01 12 00   922.6    -5.8     9.2    14                                  
1994 12 01 15 00   923.2    -7.2    12.9    45                                  
1994 12 01 18 00   923.4    -6.5    12.5    35                                  
1994 12 01 21 00   923.8    -6.1    17.5    42                                  
1994 12 02 00 00   924.0    -5.6    14.0    21                                  
1994 12 02 03 00   923.7    -6.1    16.0    32                                  
1994 12 02 06 00   924.2    -6.5    15.6    16                                  
1994 12 02 09 00   925.1    -7.1    14.4    23                                  
1994 12 02 12 00   926.1    -8.1    11.3    26                                  
1994 12 02 15 00   926.3    -7.6     8.0    33                                  
1994 12 02 18 00   926.7    -7.2     5.7    23                                  
1994 12 02 21 00   927.3    -7.9     4.5    26                                  
1994 12 03 00 00   927.9    -6.2     3.7   293                                  
1994 12 03 03 00   928.1    -6.6     2.0   289                                  
1994 12 03 06 00   928.5    -7.0     1.2   184                                  
1994 12 03 09 00   929.4    -8.0     1.2   112                                  
1994 12 03 12 00   929.8    -9.2     3.1    67                                  
1994 12 03 15 00   930.2    -9.6     4.1    18                                  
1994 12 03 18 00   930.3    -7.6     2.0    39                                  
1994 12 03 21 00   929.5    -8.6     4.9   126                                  
1994 12 04 00 00   929.1    -8.2     4.1   120                                  
1994 12 04 03 00   928.8    -8.8     4.5   109                                  
1994 12 04 06 00   929.3   -10.9     5.7   102                                  
1994 12 04 09 00   929.6   -12.4     5.3    85                                  
1994 12 04 12 00   929.1   -13.1     6.8    78                                  
1994 12 04 15 00   928.4   -12.4     7.6    60                                  
1994 12 04 18 00   927.8   -10.8     8.4    68                                  
1994 12 04 21 00   927.0   -10.0     9.6    70                                  
1994 12 05 00 00   926.0    -8.6     6.8   360                                  
1994 12 05 03 00   925.0    -9.1     6.8    74                                  
1994 12 05 06 00   924.6   -10.5     5.3    37                                  
1994 12 05 09 00   924.3   -12.4     6.0   105                                  
1994 12 05 12 00   923.4   -12.9     7.2    85                                  
1994 12 05 15 00   922.2   -11.8     9.2    70                                  
1994 12 05 18 00   921.9   -10.4    11.7    61                                  
1994 12 05 21 00   920.9    -9.5     9.6    18                                  
1994 12 06 00 00   919.9    -9.0     9.6    60                                  
1994 12 06 03 00   919.1   -10.2     6.0    52                                  
1994 12 06 06 00   918.7   -10.2     7.6    66                                  
1994 12 06 09 00   918.9   -10.4     8.8    39                                  
1994 12 06 12 00   918.9    -9.4     6.8    47                                  
1994 12 06 15 00   919.0   -10.5     5.3    60                                  
1994 12 06 18 00   919.6   -11.2     4.1    56                                  
