Cape Denison
Operated by US
latitude -67.01 longitude 142.66 height 31m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1990 01 20 03 00   995.3     1.9    21.1   123                                  
1990 01 20 06 00   994.8     1.6    23.4   125                                  
1990 01 20 09 00   993.7     1.5    21.1   132                                  
1990 01 20 12 00   994.1     1.1    27.3   132                                  
1990 01 20 15 00   993.2     0.6    27.3   133                                  
1990 01 20 18 00   995.1     0.6    36.1   133                                  
1990 01 20 21 00   995.3     1.0    27.9   151                                  
1990 01 21 00 00   995.4     1.5    28.9   143                                  
1990 01 21 03 00   992.0     2.3    28.9   147                                  
1990 01 21 06 00   991.2     2.9    29.2   151                                  
1990 01 21 09 00   991.2     2.3    29.2   150                                  
1990 01 21 12 00   990.5    -0.1    27.9   164                                  
1990 01 21 15 00   989.2    -1.8    40.0   154                                  
1990 01 21 18 00   988.0    -3.0    41.9   170                                  
1990 01 21 21 00   989.9    -1.6    37.6   168                                  
1990 01 22 00 00   989.6    -0.5    29.2   157                                  
1990 01 22 03 00   988.2     1.1    28.9   165                                  
1990 01 22 06 00   987.7     1.6    24.0   151                                  
1990 01 22 09 00   987.7     0.5    29.2   158                                  
1990 01 22 12 00   987.6    -2.0    35.1   160                                  
1990 01 22 15 00   988.0    -3.1    44.5   163                                  
1990 01 22 18 00   988.2    -3.9    41.9   167                                  
1990 01 22 21 00   986.4    -4.6    35.7   158                                  
1990 01 23 00 00   985.4    -2.9    41.0   160                                  
1990 01 23 03 00   985.0    -1.4    30.2   157                                  
1990 01 23 06 00   983.5    -0.1    31.8   156                                  
1990 01 23 09 00   980.5     0.4    27.9   146                                  
1990 01 23 12 00   977.5     1.1    24.0   136                                  
1990 01 23 15 00   975.8     1.4    19.1   115                                  
1990 01 23 18 00   970.4     1.4    34.7   112                                  
1990 01 23 21 00   969.6     1.6    35.7   101                                  
1990 01 24 00 00   966.9     0.5    43.5   129                                  
1990 01 24 03 00   967.9     0.5    45.4   105                                  
1990 01 24 06 00   967.3    -0.1    41.9    92                                  
1990 01 24 09 00   971.4     0.0    20.1   137                                  
1990 01 24 12 00   971.8     1.4    16.2   326                                  
1990 01 24 15 00   974.3     0.1    45.8   136                                  
1990 01 24 18 00   976.6    -0.6    46.4   125                                  
1990 01 24 21 00   977.2     0.1    35.1   122                                  
1990 01 25 00 00   981.4     0.5    35.7   118                                  
1990 01 25 03 00   982.2     0.5    29.8   118                                  
