Cape Spencer
Operated by US
latitude -77.97 longitude 167.53 height 23m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1999 01 11 18 00   982.7    -7.4     8.4    23                                  
1999 01 11 21 00   982.5    -5.4     5.3   355                                  
1999 01 12 00 00   982.1    -3.4     0.4   180                                  
1999 01 12 03 00   981.7    -5.5     9.2   120                                  
1999 01 12 06 00   981.1    -3.4     2.0   119                                  
1999 01 12 09 00   980.8    -7.2     4.9   299                                  
1999 01 12 12 00   981.6    -5.8     2.3   216                                  
1999 01 12 15 00   982.7    -7.6     6.4   146                                  
1999 01 12 18 00   981.9    -4.6     0.4    37                                  
1999 01 12 21 00   980.5    -5.4     2.3   347                                  
1999 01 13 00 00   979.5    -4.8     9.6   199                                  
1999 01 13 03 00   979.4    -5.9    19.3   225                                  
1999 01 13 06 00   978.7    -4.8    10.7   212                                  
1999 01 13 09 00   977.4    -4.6    12.1   250                                  
1999 01 13 12 00   977.2    -5.8    14.0   195                                  
1999 01 13 15 00   977.3    -6.6     5.7   205                                  
1999 01 13 18 00   976.3    -5.8     7.6   326                                  
1999 01 13 21 00   975.4    -2.9    10.3   307                                  
1999 01 14 00 00   974.6    -0.1     6.0   313                                  
1999 01 14 03 00   975.2    -0.1     0.4   300                                  
1999 01 14 06 00   975.2    -3.5     8.4   324                                  
1999 01 14 09 00   976.0    -4.1     3.1   146                                  
1999 01 14 12 00   976.4    -6.8     8.0   241                                  
1999 01 14 15 00   976.8    -4.4    10.3   254                                  
1999 01 14 18 00   976.6    -3.4     9.2   237                                  
1999 01 14 21 00   975.4    -1.8    14.4   258                                  
1999 01 15 00 00   976.1    -3.6    14.4   185                                  
1999 01 15 03 00   976.8    -4.1     5.7   189                                  
1999 01 15 06 00   976.9    -4.1    12.5   189                                  
1999 01 15 09 00   978.3    -6.6     9.6   192                                  
1999 01 15 12 00   979.9    -9.8    14.0   157                                  
1999 01 15 15 00   981.2    -8.9     1.6   132                                  
1999 01 15 18 00   980.9    -8.0     6.4     1                                  
1999 01 15 21 00   979.8    -5.4     6.8   187                                  
1999 01 16 00 00   981.2    -7.0    20.5   161                                  
1999 01 16 03 00   983.4   -11.5    17.9   172                                  
1999 01 16 06 00   984.9   -10.8    13.6   180                                  
1999 01 16 09 00   986.1   -10.2     6.4   144                                  
1999 01 16 12 00   986.9   -10.5     8.0   216                                  
1999 01 16 15 00   986.9   -10.5     4.1   205                                  
1999 01 16 18 00   987.6    -8.5     3.5   120                                  
1999 01 16 21 00   988.5    -7.1     0.4   217                                  
1999 01 17 00 00   989.8    -8.5    11.3   171                                  
1999 01 17 03 00   990.4    -7.4     8.8   188                                  
1999 01 17 06 00   991.1    -9.1    16.8   167                                  
1999 01 17 09 00   991.5    -7.0     4.5   355                                  
1999 01 17 12 00   991.7    -8.0     3.5   229                                  
1999 01 17 15 00   991.6    -7.8     0.4     2                                  
1999 01 17 18 00   991.2   -10.1     3.7   355                                  
1999 01 17 21 00   991.0   -10.2     2.3   324                                  
1999 01 18 00 00   989.6    -5.4     1.6   327                                  
1999 01 18 03 00   988.5    -4.6     3.5   336                                  
1999 01 18 06 00   988.4    -2.9     0.4   355                                  
1999 01 18 09 00   988.4    -7.0     0.4     2                                  
1999 01 18 12 00   989.5   -11.5     5.3    11                                  
1999 01 18 15 00   990.0   -12.0     7.6   355                                  
1999 01 18 18 00   989.9    -8.8     7.2   317                                  
1999 01 18 21 00   989.7    -4.9     5.3   336                                  
1999 01 19 00 00   988.3    -2.4    10.7   317                                  
1999 01 19 03 00   986.8    -2.0    11.3   312                                  
1999 01 19 06 00   986.3    -3.2     9.2   312                                  
1999 01 19 09 00   986.5    -2.9    13.3   293                                  
1999 01 19 12 00   986.3    -3.2    16.4   293                                  
1999 01 19 15 00   985.9    -2.9    14.8   299                                  
1999 01 19 18 00   986.7    -3.5     6.4   194                                  
1999 01 19 21 00   988.1    -6.0     6.4   104                                  
1999 01 20 00 00   989.9    -4.4     5.3   109                                  
1999 01 20 03 00   991.8    -3.9     2.7   135                                  
1999 01 20 06 00   993.5    -5.9    11.7   151                                  
1999 01 20 09 00   994.5    -6.1     1.6    85                                  
1999 01 20 12 00   994.9    -8.0     2.7    33                                  
1999 01 20 15 00   994.1    -8.8     6.8   355                                  
1999 01 20 18 00   992.5    -7.0     9.9   355                                  
1999 01 20 21 00   991.2    -4.9     6.4   336                                  
1999 01 21 00 00   988.4    -0.2     4.5   295                                  
1999 01 21 03 00   985.2     1.2     2.7   303                                  
1999 01 21 06 00   983.8     0.6    12.9   281                                  
1999 01 21 09 00   982.5    -1.2    13.6   285                                  
1999 01 21 12 00   982.6    -2.4     3.7   260                                  
1999 01 21 15 00   981.6    -3.4     3.7   175                                  
1999 01 21 18 00   981.3    -3.0     4.1   181                                  
1999 01 21 21 00   980.1     0.5     0.4   303                                  
1999 01 22 00 00   979.3    -2.4     8.0   201                                  
1999 01 22 03 00   979.3    -1.9     9.6   163                                  
1999 01 22 06 00   979.9    -2.2     6.0   320                                  
1999 01 22 09 00   980.0    -1.8    16.8   206                                  
1999 01 22 12 00   981.0    -2.9    16.0   203                                  
1999 01 22 15 00   982.7    -4.1     9.9   189                                  
1999 01 22 18 00   983.7    -2.5    13.3   191                                  
1999 01 22 21 00   984.4    -1.0    11.7   206                                  
1999 01 23 00 00   985.6    -4.1    18.7   177                                  
1999 01 23 03 00   987.3    -3.1    10.3   185                                  
