Clamp1
Operated by UK
latitude -75.88 longitude -25.49 height 43m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the British Antarctic Survey

1996 01 09 10 00   983.5 -999       11.7    76                                  
1996 01 09 11 00   983.3    -0.9    10.5    79                                  
1996 01 09 12 00   984.3    -3.7    16.6    72                                  
1996 01 09 13 00   984.6    -3.9    16.8    76                                  
1996 01 10 14 00   985.2    -4.4    15.8    80                                  
1996 01 10 15 00   985.1    -3.2    14.8    77                                  
1996 01 10 16 00   984.7    -3.3    12.3    80                                  
1996 01 10 17 00   984.2    -3.7    16.4    84                                  
1996 01 10 18 00   984.1    -3.5    18.9    90                                  
1996 01 10 19 00   984.5    -3.7    17.6    73                                  
1996 01 10 20 00   984.6    -4.2    15.6    83                                  
1996 01 10 21 00   985.6    -4.6    17.0    63                                  
1996 01 10 22 00   986.2    -4.4    11.9    59                                  
1996 01 10 23 00   986.7    -5.3    13.1    57                                  
1996 01 11 00 00   988.0    -4.8    11.5    74                                  
1996 01 11 01 00   988.3    -4.7    10.5    75                                  
1996 01 11 02 00   988.6    -5.7    11.9    58                                  
1996 01 11 03 00   988.6    -5.8     8.4    76                                  
1996 01 11 04 00   989.2    -5.6     9.8    74                                  
1996 01 11 05 00   989.0    -5.7     7.8    75                                  
1996 01 11 06 00   989.3    -5.5     8.0    79                                  
1996 01 11 07 00   989.4    -5.3     7.6    85                                  
1996 01 11 08 00   989.4    -5.3    11.7    75                                  
1996 01 11 09 00   989.6    -5.2     7.8    73                                  
1996 01 11 10 00   989.7    -4.9    10.3    85                                  
1996 01 11 11 00   989.5    -5.1    10.1    77                                  
1996 01 11 12 00   989.6    -5.3    10.1    79                                  
1996 01 11 13 00   989.3    -4.6     8.4    88                                  
1996 01 11 14 00   989.4    -5.0     8.2    77                                  
1996 01 11 15 00   989.0    -4.5     9.4    81                                  
1996 01 11 16 00   988.8    -4.0     7.4    89                                  
1996 01 11 17 00   988.9    -4.1     6.2    88                                  
1996 01 11 18 00   988.9    -4.4     6.4    86                                  
1996 01 11 19 00   988.5    -4.2     8.0    87                                  
1996 01 11 20 00   988.5    -4.6     5.8    83                                  
1996 01 11 21 00   988.5    -4.4     4.9    84                                  
1996 01 11 22 00   988.0    -4.6     4.1    97                                  
1996 01 11 23 00   988.1    -5.2     4.1    91                                  
1996 01 12 00 00   988.4    -5.7     3.7   112                                  
1996 01 12 01 00   987.5    -5.6     3.9   111                                  
1996 01 12 02 00   987.6    -6.1     3.3   104                                  
1996 01 12 03 00   987.5    -6.2     4.3   123                                  
1996 01 12 04 00   987.4    -5.7     4.1    94                                  
1996 01 12 05 00   987.1    -5.8     3.3    93                                  
1996 01 12 06 00   986.9    -5.3     1.9    99                                  
1996 01 12 07 00   986.5    -4.8     2.5    89                                  
1996 01 12 08 00   986.5    -4.8     4.3   114                                  
1996 01 12 09 00   986.5    -6.0     6.4   114                                  
1996 01 12 10 00   986.4    -5.4     6.8   106                                  
1996 01 12 11 00   986.1    -5.1     4.9    74                                  
1996 01 12 12 00   985.8    -5.4     2.5    75                                  
1996 01 12 13 00   985.5    -3.8     1.8    82                                  
1996 01 12 14 00   985.2    -3.0     1.6     5                                  
1996 01 12 15 00   985.5    -2.3     0.0     5                                  
