Clamp4
Operated by UK
latitude -76.81 longitude -25.50 height 1650m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the British Antarctic Survey

1997 12 07 12 00 -999      -13.8     6.4    60                                  
1997 12 07 12 00 -999      -13.8     8.2    64                                  
1997 12 07 12 00 -999    -999        5.5    51                                  
1997 12 07 13 00 -999      -13.7     5.8    48                                  
1997 12 07 14 00 -999      -13.4     5.5    46                                  
1997 12 07 15 00 -999    -999        4.3    62                                  
1997 12 07 16 00 -999      -12.7     3.7    19                                  
1997 12 07 17 00 -999      -13.2     1.9    41                                  
1997 12 07 18 00 -999      -12.1     0.0    20                                  
1997 12 07 19 00 -999      -13.4     2.7   350                                  
1997 12 07 20 00 -999      -13.8     1.8   287                                  
1997 12 07 21 00 -999      -14.2     2.1   275                                  
1997 12 07 22 00 -999      -14.8     4.3   298                                  
1997 12 07 23 00 -999      -15.2     3.9   300                                  
1997 12 08 00 00 -999      -15.7     5.3   293                                  
1997 12 08 01 00 -999      -16.4     7.0   296                                  
1997 12 08 02 00 -999      -16.2     7.8   296                                  
1997 12 08 03 00 -999      -16.4    10.3   280                                  
1997 12 08 04 00 -999      -16.8    11.5   283                                  
1997 12 08 05 00 -999      -16.7     8.8   264                                  
1997 12 08 06 00 -999      -16.4     8.2   285                                  
1997 12 08 07 00 -999      -16.7     6.4   274                                  
1997 12 08 08 00 -999      -16.7     6.6   231                                  
1997 12 08 09 00 -999      -16.3     6.2   271                                  
1997 12 08 10 00 -999      -15.1     5.3   211                                  
1997 12 08 11 00 -999      -16.2     5.1   198                                  
1997 12 08 12 00 -999      -15.8     3.9   175                                  
1997 12 08 13 00 -999      -16.4     6.4   164                                  
1997 12 08 14 00 -999      -16.2     3.5   126                                  
1997 12 08 15 00 -999      -16.1     5.3   129                                  
1997 12 08 16 00 -999      -16.2     3.7   136                                  
1997 12 08 17 00 -999      -15.9     2.5   146                                  
1997 12 08 18 00 -999      -16.1     2.9   166                                  
1997 12 08 19 00 -999      -16.3     2.9   181                                  
1997 12 08 20 00 -999      -16.9     1.9   217                                  
1997 12 08 21 00 -999      -18.6     4.9   153                                  
1997 12 08 22 00 -999      -19.1     1.6   110                                  
1997 12 08 23 00 -999      -17.8     0.8   109                                  
1997 12 09 00 00 -999      -18.4     3.5    88                                  
1997 12 09 01 00 -999      -18.8     3.1    93                                  
1997 12 09 02 00 -999      -18.9     2.9    98                                  
1997 12 09 03 00 -999      -18.5     3.1    67                                  
1997 12 09 04 00 -999      -17.9     3.7    47                                  
1997 12 09 05 00 -999      -17.8     4.5    48                                  
1997 12 09 06 00 -999      -17.3     3.5    44                                  
1997 12 09 07 00 -999      -16.7     6.2    23                                  
1997 12 09 08 00 -999      -16.3     5.8    14                                  
1997 12 09 09 00 -999      -16.4     6.6     7                                  
1997 12 09 10 00 -999      -16.0     7.6     6                                  
1997 12 09 11 00 -999      -15.9     8.2     2                                  
1997 12 09 12 00 -999      -15.6    10.1   348                                  
1997 12 09 13 00 -999      -15.4    12.3   343                                  
1997 12 09 14 00 -999      -15.5    10.9   334                                  
1997 12 09 15 00 -999      -15.1     9.0   333                                  
1997 12 09 16 00 -999      -14.6    10.5   344                                  
1997 12 09 17 00 -999      -14.9    11.9   349                                  
1997 12 09 18 00 -999      -14.9    11.3   343                                  
1997 12 09 19 00 -999      -15.0    11.5   342                                  
1997 12 09 20 00 -999      -15.4    12.1   343                                  
1997 12 09 21 00 -999      -15.4    12.5   336                                  
1997 12 09 22 00 -999      -15.6    12.7   341                                  
1997 12 09 23 00 -999      -15.8    12.3   346                                  
1997 12 10 00 00 -999      -15.6    13.5   348                                  
1997 12 10 01 00 -999      -15.6    13.8   341                                  
1997 12 10 02 00 -999      -15.9    13.8   347                                  
1997 12 10 03 00 -999      -15.8    14.4   341                                  
1997 12 10 04 00 -999      -16.0    12.3   350                                  
1997 12 10 05 00 -999      -16.0    11.7   357                                  
1997 12 10 06 00 -999      -16.0    11.7   357                                  
1997 12 10 07 00 -999      -15.9    11.3     8                                  
1997 12 10 08 00 -999      -15.6    12.1    10                                  
1997 12 10 09 00 -999      -15.5    11.9    14                                  
1997 12 10 10 00 -999      -14.7    11.9    18                                  
1997 12 10 11 00 -999      -14.6    11.7    19                                  
1997 12 10 12 00 -999      -14.5    13.5    15                                  
1997 12 10 13 00 -999      -14.3    12.5    16                                  
1997 12 10 14 00 -999      -14.4    12.5    14                                  
1997 12 10 15 00 -999      -14.2    13.1    16                                  
1997 12 10 16 00 -999      -14.1    12.1     8                                  
1997 12 10 17 00 -999      -14.0    11.7    14                                  
1997 12 10 18 00 -999      -14.0    10.5     7                                  
1997 12 10 19 00 -999      -13.9    10.5    11                                  
1997 12 10 20 00 -999      -14.0     9.6     3                                  
1997 12 10 21 00 -999      -13.9     9.0     7                                  
1997 12 10 22 00 -999      -14.2     8.8   355                                  
