Concordia(Dome C)
Operated by Italy
latitude -75.10 longitude 123.40 height -999m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the PNRA

2005 01 27 14 00   648.3   -39.7     4.0   260                                  
2005 01 27 15 00   648.2   -41.6     5.0   260                                  
2005 01 27 16 00   648.0   -42.0     6.0   250                                  
2005 01 27 17 00   648.0   -44.0     6.0   260                                  
2005 01 27 18 00   648.1   -44.5     5.0   260                                  
2005 01 27 19 00   648.2   -44.9     4.0   260                                  
2005 01 27 20 00   648.2   -44.5     4.0   260                                  
2005 01 27 21 00   648.2   -43.3     5.0   270                                  
2005 01 27 22 00   648.4   -41.5     4.0   270                                  
2005 01 27 23 00   648.6   -39.1     5.0   260                                  
2005 01 28 11 00   650.7   -34.2     5.0   280                                  
2005 01 28 12 00   650.8   -36.3     5.0   270                                  
2005 01 28 13 00   650.8   -38.3     5.0   260                                  
2005 01 28 14 00   650.9   -40.0     5.0   250                                  
2005 01 28 15 00   651.0   -41.3     6.0   260                                  
2005 01 28 16 00   651.0   -43.1     6.0   260                                  
2005 01 28 17 00   651.2   -43.8     5.0   250                                  
2005 01 28 18 00   651.1   -44.8     5.0   260                                  
2005 01 28 19 00   651.3   -44.8     5.0   240                                  
2005 01 28 20 00   651.3   -44.9     5.0   260                                  
2005 01 28 21 00   651.2   -43.3     3.0   250                                  
2005 01 28 22 00   651.0   -42.4     2.0   270                                  
2005 01 28 23 00   651.2   -40.0     3.0   270                                  
2005 01 29 12 00   649.9   -37.9     4.0   280                                  
2005 01 29 13 00   649.9   -39.7     5.0   260                                  
2005 01 29 14 00   649.8   -41.6     6.0   260                                  
2005 01 29 15 00   649.7   -43.0     5.0   240                                  
2005 01 29 16 00   649.7   -45.1     6.0   260                                  
2005 01 29 17 00   649.6   -44.7     6.0   220                                  
2005 01 29 18 00   649.5   -45.3     6.0   220                                  
2005 01 29 19 00   649.5   -45.8     3.0   230                                  
2005 01 29 20 00   649.5   -45.9     3.0   250                                  
2005 01 29 21 00   649.4   -45.1     2.0   240                                  
2005 01 29 22 00   649.4   -44.0     2.0   300                                  
2005 01 29 23 00   649.3   -41.7     3.0   220                                  
2005 01 30 00 00   649.3   -38.0     4.0   240                                  
2005 01 30 01 00   649.4   -36.1     4.0   230                                  
2005 01 30 02 00   649.3   -34.7     6.0   230                                  
2005 01 30 03 00   649.3   -33.6     6.0   240                                  
2005 01 30 04 00   649.1   -33.2     6.0   240                                  
2005 01 30 05 00   649.0   -32.1     7.0   240                                  
2005 01 30 06 00   649.0   -31.8     8.0   250                                  
2005 01 30 07 00   649.1   -31.5     7.0   260                                  
2005 01 30 08 00   648.9   -31.9     8.0   260                                  
2005 01 30 09 00   648.8   -32.3     5.0   270                                  
2005 01 30 10 00   648.7   -33.3     7.0   280                                  
2005 01 30 11 00   648.6   -34.9     6.0   270                                  
2005 01 30 12 00   648.5   -37.1     6.0   260                                  
2005 01 30 13 00   648.4   -39.8     5.0   260                                  
2005 01 30 14 00   648.1   -40.3     7.0   230                                  
2005 01 30 15 00   647.9   -43.2     5.0   270                                  
2005 01 30 16 00   647.6   -44.0     6.0   250                                  
2005 01 30 17 00   647.6   -45.5     4.0   260                                  
2005 01 30 18 00   647.4   -45.7     6.0   240                                  
2005 01 30 19 00   647.3   -45.9     3.0   270                                  
2005 01 30 20 00   647.2   -46.4     3.0   250                                  
2005 01 30 21 00   647.0   -43.9     5.0   220                                  
2005 01 30 22 00   646.8   -43.1     3.0   260                                  
2005 01 30 23 00   646.7   -41.8     3.0   230                                  
2005 01 31 01 00   646.5   -36.8     3.0   220                                  
2005 01 31 02 00   646.4   -35.3     5.0   200                                  
2005 01 31 03 00   646.2   -33.7     4.0   200                                  
2005 01 31 04 00   646.0   -33.3     5.0   190                                  
2005 01 31 05 00   646.0   -32.5     5.0   180                                  
2005 01 31 06 00   645.9   -32.7     5.0   190                                  
2005 01 31 07 00   645.7   -32.7     5.0   190                                  
2005 01 31 08 00   645.6   -33.0     6.0   200                                  
2005 01 31 09 00   645.5   -33.1     4.0   210                                  
2005 01 31 10 00   645.4   -33.8     3.0   220                                  
2005 01 31 11 00   645.2   -35.5     4.0   240                                  
2005 01 31 12 00   645.0   -37.5     4.0   240                                  
2005 01 31 13 00   644.9   -38.9     6.0   230                                  
2005 01 31 14 00   644.6   -39.8     6.0   220                                  
2005 01 31 15 00   644.3   -41.6     6.0   220                                  
2005 01 31 16 00   644.0   -42.6     6.0   220                                  
2005 01 31 17 00   644.0   -43.3     5.0   220                                  
2005 01 31 18 00   643.8   -44.3     6.0   210                                  
