Doug
Operated by US
latitude -82.32 longitude -113.24 height 1433m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1994 11 29 09 00   816.6   -11.4    18.3     5                                  
1994 11 29 12 00   817.4   -13.1    16.0     7                                  
1994 11 29 15 00   818.3   -11.9    10.3     4                                  
1994 11 29 18 00   819.6   -12.9    14.0   331                                  
1994 11 29 21 00   821.5   -11.1    11.3   331                                  
1994 11 30 00 00   823.1   -11.1    10.7   351                                  
1994 11 30 03 00   823.6   -13.2    11.3     9                                  
1994 11 30 06 00   823.5   -14.1    17.9    28                                  
1994 11 30 09 00   823.2   -13.1    17.9     4                                  
1994 11 30 12 00   822.4   -11.5    19.7     1                                  
1994 11 30 15 00   822.0    -9.6    16.0   341                                  
1994 11 30 18 00   822.2    -9.0    20.9   334                                  
1994 12 01 00 00   824.5    -8.0    17.2   333                                  
1994 12 01 03 00   823.9    -8.4    15.6   340                                  
1994 12 01 06 00   823.8    -8.1    14.8   348                                  
1994 12 01 09 00   823.8    -8.6    13.6   350                                  
1994 12 01 12 00   824.2    -8.5    11.1   313                                  
1994 12 01 15 00   824.3    -9.1     9.6   350                                  
1994 12 01 18 00   824.1    -8.9    11.7   348                                  
1994 12 01 21 00   824.0    -8.4    12.1   334                                  
1994 12 02 00 00   823.7    -9.4    15.6   327                                  
1994 12 02 03 00   823.4    -9.6     3.5   300                                  
1994 12 02 06 00   823.4    -9.5     0.0     0                                  
1994 12 02 09 00   823.3   -11.1     3.7     9                                  
1994 12 02 12 00   823.0    -8.9     0.0     0                                  
1994 12 02 15 00   822.9   -11.9    11.3   226                                  
1994 12 02 18 00   823.7   -10.1     5.3   209                                  
1994 12 02 21 00   824.1    -7.9     2.7   188                                  
1994 12 03 00 00   824.1    -8.0     3.7     9                                  
1994 12 03 03 00   823.9   -14.2     4.9    97                                  
1994 12 03 06 00   823.7   -17.9     8.0    64                                  
1994 12 03 09 00   823.7   -16.6    10.3    61                                  
1994 12 03 12 00   823.8   -12.6     9.6    50                                  
1994 12 03 15 00   823.7   -11.6     8.8    39                                  
1994 12 03 18 00   823.8   -10.4     8.0    21                                  
1994 12 03 21 00   823.9    -9.5    11.3   338                                  
1994 12 04 00 00   824.1   -10.0    12.5   323                                  
1994 12 04 03 00   824.0   -10.9     9.9   330                                  
1994 12 04 06 00   824.5   -11.4    10.7   347                                  
1994 12 04 09 00   824.4   -14.5    11.7   358                                  
1994 12 04 12 00   824.4   -14.2    11.3   360                                  
1994 12 04 15 00   823.5   -14.1    15.6     8                                  
1994 12 04 18 00   822.9   -12.9    16.0   291                                  
1994 12 04 21 00   822.4   -10.4    17.2   338                                  
1994 12 05 00 00   821.6   -10.4    16.8   343                                  
1994 12 05 03 00   820.7    -9.6    10.3   360                                  
1994 12 05 06 00   820.3   -11.4     6.8   324                                  
1994 12 05 09 00   819.8   -13.6     6.4   360                                  
1994 12 05 12 00   819.2   -13.9     5.7     2                                  
1994 12 05 15 00   818.4    -9.6     2.7   291                                  
1994 12 05 18 00   818.0    -9.0     6.8   282                                  
1994 12 05 21 00   817.6    -9.8    10.7   268                                  
1994 12 06 00 00   817.5    -9.5     8.0   284                                  
1994 12 06 03 00   816.8   -10.1     4.5   316                                  
1994 12 06 06 00   816.5   -11.5     7.6   336                                  
1994 12 06 09 00   816.3   -11.5     8.0   350                                  
1994 12 06 12 00   816.4   -10.9     8.4   333                                  
1994 12 06 15 00   816.5   -10.8     8.4   333                                  
1994 12 06 18 00   817.0   -10.1    11.7   317                                  
1994 12 06 21 00   817.4    -9.1     8.8   331                                  
1994 12 07 00 00   817.7    -9.5    11.3   347                                  
1994 12 07 03 00   817.7   -11.5     9.9     8                                  
1994 12 07 06 00   817.8   -10.4    12.1   360                                  
1994 12 07 09 00   817.9   -11.1    10.7     1                                  
1994 12 07 12 00   817.8   -11.1    11.3   357                                  
1994 12 07 15 00   817.8   -10.6     9.2   340                                  
1994 12 07 18 00   818.0   -10.0     8.8   327                                  
1994 12 07 21 00   818.4    -8.6     7.2   293                                  
1994 12 08 00 00   818.5    -8.6     9.6   302                                  
1994 12 08 03 00   818.4    -9.8     8.0   295                                  
1994 12 08 06 00   818.4   -11.2     7.2   296                                  
1994 12 08 09 00   818.4   -11.6     7.6   303                                  
1994 12 08 12 00   818.0   -12.6     5.7   310                                  
1994 12 08 15 00   817.5   -11.1     6.0   341                                  
1994 12 08 18 00   816.8    -9.4     6.0   348                                  
1994 12 08 21 00   815.9    -9.5     7.2   334                                  
1994 12 09 00 00   815.0   -10.4     7.6    15                                  
1994 12 09 03 00   813.8   -12.9     7.6    25                                  
1994 12 09 06 00   812.8   -10.0     6.4    37                                  
1994 12 09 09 00   811.7   -11.0     6.8    22                                  
1994 12 09 12 00   811.7   -11.1     6.0   324                                  
1994 12 09 15 00   811.9   -10.0     9.2   271                                  
1994 12 09 18 00   813.6   -10.6    10.3   278                                  
1994 12 09 21 00   814.9   -10.0     8.8   272                                  
1994 12 10 00 00   816.5   -10.4     7.2   255                                  
1994 12 10 03 00   817.3    -9.4     2.3   219                                  
1994 12 10 06 00   817.6   -10.5     4.1    66                                  
1994 12 10 09 00   817.7   -10.4     6.8    68                                  
1994 12 10 12 00   817.4   -14.1    12.1    50                                  
1994 12 10 15 00   816.7   -12.5    10.3    46                                  
1994 12 10 18 00   816.2   -11.0    11.7    49                                  
1994 12 10 21 00   815.5   -10.5    14.8    36                                  
1994 12 11 00 00   815.3   -10.4    11.7    35                                  
1994 12 11 03 00   815.0   -11.9    12.1    32                                  
1994 12 11 06 00   814.7   -13.4    14.4    29                                  
1994 12 11 09 00   813.7   -12.9    16.4    32                                  
1994 12 11 12 00   814.0   -12.4    14.0    18                                  
1994 12 11 15 00   813.8   -12.9    19.3    15                                  
1994 12 11 18 00   813.8   -12.4    19.3     8                                  
1994 12 11 21 00   814.3   -10.1    17.9     2                                  
1994 12 12 00 00   814.8    -9.5    20.1     5                                  
1994 12 12 03 00   815.3   -10.5    18.3     8                                  
1994 12 12 06 00   816.3   -11.8    19.1   358                                  
1994 12 12 09 00   817.5   -12.6    17.9   355                                  
1994 12 12 12 00   818.7   -12.6    11.3    11                                  
1994 12 12 15 00   819.2   -12.5    20.9     9                                  
1994 12 12 18 00   819.8   -11.9    18.3     1                                  
1994 12 12 21 00   821.0   -10.2    18.3   354                                  
1994 12 13 00 00   821.5    -9.5    15.6     8                                  
1994 12 13 03 00   821.5   -10.1    16.4     7                                  
1994 12 13 06 00   822.0   -10.1    13.6     9                                  
1994 12 13 09 00   822.1   -10.6    15.6     9                                  
1994 12 13 12 00   822.1   -11.9    13.6    14                                  
1994 12 13 15 00   821.7   -11.4    15.6     7                                  
1994 12 13 18 00   821.8    -9.1    13.3   357                                  
1994 12 13 21 00   821.4    -9.4    10.3   347                                  
1994 12 14 00 00   821.0    -9.0     7.2   307                                  
1994 12 14 03 00   820.1   -10.6     1.6   316                                  
1994 12 14 06 00   819.6    -9.0     2.7   343                                  
1994 12 14 09 00   818.8    -9.1     3.1   340                                  
1994 12 14 12 00   818.6    -8.5     2.7   300                                  
1994 12 14 15 00   818.0    -6.5     1.6   254                                  
1994 12 14 18 00   817.6    -7.2     1.2   109                                  
1994 12 14 21 00   817.1    -7.1     3.7    63                                  
1994 12 15 00 00   816.5   -10.2     6.8    49                                  
1994 12 15 03 00   815.2   -10.1     6.4    35                                  
1994 12 15 06 00   814.7    -8.4    10.3    37                                  
1994 12 15 09 00   813.6   -10.9    14.8    33                                  
1994 12 15 12 00   812.7   -12.5    14.0    30                                  
1994 12 15 15 00   811.5   -10.9    16.0    23                                  
1994 12 15 18 00   811.0   -10.4    15.6     7                                  
1994 12 15 21 00   811.4   -12.0    19.1   331                                  
1994 12 16 00 00   812.1   -12.9    14.4   337                                  
1994 12 16 03 00   812.5   -12.0    11.7   355                                  
1994 12 16 06 00   813.6   -11.6    13.6   338                                  
1994 12 16 09 00   813.6   -12.1    12.5     8                                  
1994 12 16 12 00   813.8   -12.5    15.2     4                                  
1994 12 16 15 00   813.4   -12.4    17.5   357                                  
1994 12 16 18 00   813.4   -12.0    20.1   352                                  
1994 12 16 21 00   813.3   -11.8    16.8   333                                  
1994 12 17 00 00   815.2   -10.8     9.9   286                                  
1994 12 17 03 00   816.6   -12.4    14.0   275                                  
1994 12 17 06 00   817.9   -12.4    11.3   258                                  
1994 12 17 09 00   819.4   -13.2    13.3   246                                  
1994 12 17 12 00   820.9   -13.6     9.6   244                                  
1994 12 17 15 00   821.5   -13.0     9.9   261                                  
1994 12 17 18 00   821.6   -12.4    11.1   282                                  
1994 12 17 21 00   821.3   -11.8    14.8   247                                  
1994 12 18 00 00   821.0   -11.9    12.5   246                                  
1994 12 18 03 00   820.9   -12.4    11.1   210                                  
1994 12 18 06 00   820.5   -12.8     7.2   241                                  
1994 12 18 09 00   819.8   -12.9     8.8   237                                  
1994 12 18 12 00   819.3   -13.9     3.7   274                                  
1994 12 18 15 00   818.6   -12.4     6.4   253                                  
1994 12 18 18 00   817.8   -11.9     4.9   247                                  
1994 12 18 21 00   817.3   -11.2     5.3   233                                  
1994 12 19 00 00   816.8   -11.2     6.0   205                                  
1994 12 19 03 00   816.2   -11.2     2.3   189                                  
1994 12 19 06 00   815.7   -11.8     1.2   212                                  
1994 12 19 09 00   815.2   -10.6     0.0     0                                  
1994 12 19 12 00   814.9   -10.9     1.6   299                                  
1994 12 19 15 00   814.5   -10.5     3.1   327                                  
1994 12 19 18 00   814.1   -10.9     3.7   293                                  
1994 12 19 21 00   813.8   -11.5     3.1   285                                  
1994 12 20 00 00   813.7   -10.4     3.7   268                                  
1994 12 20 03 00   813.2   -12.1     4.1   357                                  
1994 12 20 06 00   812.8   -15.1     7.2    21                                  
1994 12 20 09 00   812.6   -14.9     7.2    16                                  
1994 12 20 12 00   812.3   -13.0     7.2   343                                  
1994 12 20 15 00   812.1   -13.5     9.9   336                                  
1994 12 20 18 00   812.0   -15.1    13.3   327                                  
1994 12 20 21 00   812.5   -13.5     8.0   309                                  
1994 12 21 00 00   812.9   -13.5     6.8   329                                  
1994 12 21 03 00   812.6   -12.9    15.6   336                                  
1994 12 21 06 00   813.1   -12.8    14.8   340                                  
1994 12 21 09 00   813.2   -15.1    12.5     4                                  
1994 12 21 12 00   813.4   -15.5    15.6   357                                  
1994 12 21 15 00   814.1   -15.1    15.2   347                                  
1994 12 21 18 00   814.5   -14.1    19.3   347                                  
1994 12 21 21 00   815.4   -12.4    13.3   337                                  
1994 12 22 00 00   816.4   -12.4    12.9   334                                  
1994 12 22 03 00   817.0   -12.4    11.1   348                                  
1994 12 22 06 00   817.7   -12.4    11.7   348                                  
1994 12 22 09 00   818.3   -11.0    10.3   348                                  
1994 12 22 12 00   818.7   -10.0    11.7   329                                  
1994 12 22 15 00   819.8   -10.1     9.2   293                                  
1994 12 22 18 00   821.2   -11.1    13.6   306                                  
1994 12 22 21 00   822.0   -10.1     8.4   303                                  
1994 12 23 00 00   822.3    -9.4     8.0   296                                  
1994 12 23 03 00   822.2    -9.6     4.5   322                                  
1994 12 23 06 00   821.8   -10.0     3.7   338                                  
1994 12 23 09 00   821.4   -10.5     7.6   344                                  
1994 12 23 12 00   820.9    -9.5     8.0   319                                  
1994 12 23 15 00   820.3    -9.1     8.8   340                                  
1994 12 23 18 00   820.3    -9.1    11.7   317                                  
1994 12 23 21 00   820.6    -8.5    12.9   317                                  
1994 12 24 00 00   820.7    -9.8    14.0   327                                  
1994 12 24 03 00   820.6   -10.2     7.2   360                                  
1994 12 24 06 00   820.4   -11.4    11.1     7                                  
1994 12 24 09 00   819.0   -12.0    18.7   357                                  
1994 12 24 12 00   818.1   -12.0    19.3   329                                  
1994 12 24 15 00   818.3   -12.4    12.5   312                                  
1994 12 24 18 00   818.3   -12.4    14.4   320                                  
1994 12 24 21 00   817.1    -9.0    14.4   341                                  
1994 12 25 00 00   815.0    -8.8    14.0   336                                  
1994 12 25 03 00   814.0    -7.2    13.3   310                                  
1994 12 25 06 00   814.2    -7.0    17.9   284                                  
1994 12 25 09 00   815.1    -7.8    19.3   278                                  
1994 12 25 12 00   816.2    -7.8    19.1   288                                  
1994 12 25 15 00   816.7    -7.6    20.1   284                                  
1994 12 25 18 00   817.0    -7.8    14.0   300                                  
1994 12 25 21 00   816.5    -7.6    16.4   320                                  
1994 12 26 00 00   815.5    -7.4     7.6   334                                  
1994 12 26 03 00   814.4    -8.2     7.6   360                                  
1994 12 26 06 00   813.5   -11.5     8.8    15                                  
1994 12 26 09 00   813.2   -13.0    11.3    12                                  
1994 12 26 12 00   812.5   -11.4    11.3   358                                  
1994 12 26 15 00   812.3    -9.1    10.3   344                                  
1994 12 26 18 00   812.1    -7.2     7.2   303                                  
1994 12 26 21 00   812.0    -7.0     8.0   313                                  
1994 12 27 00 00   812.4    -7.4    14.0   275                                  
1994 12 27 03 00   813.1    -8.9    12.1   268                                  
1994 12 27 06 00   814.1    -9.5     9.2   267                                  
1994 12 27 09 00   815.4   -10.6    17.9   247                                  
1994 12 27 12 00   817.2   -11.9    17.2   244                                  
1994 12 27 15 00   819.0   -12.4    17.2   246                                  
1994 12 27 18 00   820.6   -12.8    16.4   237                                  
1994 12 27 21 00   822.2   -12.4    10.3   248                                  
1994 12 28 00 00   823.1   -11.9     8.4   255                                  
1994 12 28 03 00   823.4   -11.9     8.8   295                                  
1994 12 28 06 00   823.4   -11.9     7.2   331                                  
1994 12 28 09 00   823.2   -13.4     8.4     5                                  
1994 12 28 12 00   823.0   -11.5     7.6   343                                  
1994 12 28 15 00   822.7   -10.0     9.6   323                                  
1994 12 28 18 00   822.9    -8.2     8.4   323                                  
1994 12 28 21 00   822.7    -7.1     8.0   315                                  
1994 12 29 00 00   822.0    -5.6     8.0   337                                  
1994 12 29 03 00   821.0    -5.6     6.0   360                                  
1994 12 29 06 00   819.7    -7.0    10.7   360                                  
1994 12 29 09 00   818.5    -6.6    14.4   355                                  
1994 12 29 12 00   818.2    -6.8    11.3   347                                  
