Filchner_new
Operated by Germany
latitude -77.08 longitude -51.22 height 999m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by AWI

1991 01 01 00 00 -999    -999    -999    -999                                   
1991 01 01 03 00   981.1    -3.8     8.1   312                                  
1991 01 01 06 00   979.5    -4.0    11.2   312                                  
1991 01 01 09 00   985.9    -4.4     6.5   313                                  
1991 01 01 12 00   998.2    -3.7     5.6   312                                  
1991 01 01 15 00  1001.2    -3.4     7.0   313                                  
1991 01 01 18 00  1016.2    -2.2     5.4   313                                  
1991 01 01 21 00   999.0    -1.0     1.8   312                                  
1991 01 02 00 00   998.6    -3.7     2.5   268                                  
1991 01 02 03 00   998.9    -4.3     6.6   267                                  
1991 01 02 06 00   998.9    -4.3     5.3   209                                  
1991 01 02 09 00   998.9    -5.9     5.0    88                                  
1991 01 02 12 00   998.7    -3.3     0.2    90                                  
1991 01 02 15 00   998.1    -1.1     4.5   167                                  
1991 01 02 18 00   998.0    -2.5     7.0   132                                  
1991 01 02 21 00   998.1    -3.8    10.4   132                                  
1991 01 03 00 00   997.5    -4.1    13.1   133                                  
1991 01 03 03 00   997.3    -4.4    11.9   133                                  
1991 01 03 06 00   997.3    -5.1    14.8   133                                  
1991 01 03 09 00   996.8    -4.6    13.5   132                                  
1991 01 03 12 00   996.2    -4.9    15.8    88                                  
1991 01 03 15 00   996.2    -4.7    11.8    87                                  
1991 01 03 18 00   995.9    -4.8    11.8   127                                  
1991 01 03 21 00   995.6    -2.0     0.2    90                                  
1991 01 04 00 00   995.1    -4.2     7.8   265                                  
1991 01 04 03 00   994.8    -4.2    10.3   268                                  
1991 01 04 06 00   994.5    -3.6    10.4   268                                  
1991 01 04 09 00   994.4    -4.1     9.7   268                                  
1991 01 04 12 00   993.7    -2.5    10.6   229                                  
1991 01 04 15 00   993.3    -2.0    13.4   181                                  
1991 01 04 18 00   993.3    -2.0    13.9   223                                  
1991 01 04 21 00   993.1    -1.7    10.4   223                                  
1991 01 05 00 00   992.9    -2.7     7.9   267                                  
1991 01 05 03 00   992.8    -3.2     7.5   267                                  
1991 01 05 06 00   992.8    -3.4     9.4   222                                  
1991 01 05 09 00   993.0    -3.0     9.5   223                                  
1991 01 05 12 00   992.8    -2.4    12.5   223                                  
1991 01 05 15 00   993.1    -2.2    10.8   255                                  
1991 01 05 18 00   993.8    -1.9     8.9   268                                  
1991 01 05 21 00   994.5    -3.2    11.9   267                                  
1991 01 06 00 00   995.1    -3.4     8.1   268                                  
1991 01 06 03 00   995.5    -4.0     6.7   268                                  
1991 01 06 06 00   996.0    -4.4     5.0   268                                  
1991 01 06 09 00   996.3    -4.1     5.7   268                                  
1991 01 06 12 00   996.2    -3.8     6.9   267                                  
1991 01 06 15 00   996.0    -2.8     7.0   267                                  
1991 01 06 18 00   996.0    -2.5     5.2   268                                  
1991 01 06 21 00   995.9    -1.8     1.4   268                                  
1991 01 07 00 00   995.8    -3.0     1.9   312                                  
1991 01 07 03 00   995.7    -4.2     0.0     0                                  
1991 01 07 06 00   995.8    -4.4     3.8   142                                  
1991 01 07 09 00   995.9    -3.7     5.0   132                                  
1991 01 07 12 00   996.1    -2.5     4.7   132                                  
1991 01 07 15 00   996.3    -2.6     7.5   164                                  
1991 01 07 18 00   996.7    -2.5    10.4   216                                  
1991 01 07 21 00   997.6    -2.8    12.2   222                                  
1991 01 08 00 00   998.4    -3.0    12.1   222                                  
1991 01 08 03 00   999.1    -2.6    11.1   267                                  
1991 01 08 06 00  1000.2    -2.6    15.5   238                                  
1991 01 08 09 00  1000.8    -2.3    15.7   268                                  
1991 01 08 12 00  1001.8    -2.2    17.9   268                                  
1991 01 08 15 00  1002.2    -2.0    22.0   268                                  
1991 01 08 18 00  1002.5    -1.6    20.0   268                                  
1991 01 08 21 00  1002.9    -1.9    21.2   268                                  
1991 01 09 00 00  1003.1    -2.3    22.7   268                                  
1991 01 09 03 00  1002.9    -3.5    20.1   268                                  
1991 01 09 06 00  1002.3    -6.8    19.6   313                                  
1991 01 09 09 00  1002.3    -6.8    24.4   312                                  
1991 01 09 12 00  1001.9    -5.8    24.4   312                                  
1991 01 09 15 00  1000.6    -4.5    22.6   312                                  
1991 01 09 18 00   999.2    -3.8    33.4   312                                  
1991 01 09 21 00   999.2    -5.4    28.4   267                                  
1991 01 10 00 00   998.0    -6.7    31.2   267                                  
1991 01 10 03 00   996.9    -7.9    25.4   268                                  
1991 01 10 06 00   996.0    -8.2    21.5   268                                  
1991 01 10 09 00   994.8    -8.6    19.1   313                                  
1991 01 10 12 00   993.6    -7.1    23.6   312                                  
1991 01 10 15 00   991.4    -6.4    24.5   312                                  
1991 01 10 18 00   989.8    -6.4    23.3   312                                  
1991 01 10 21 00   988.8    -5.9    19.4   313                                  
1991 01 11 00 00   988.0    -5.9    18.8   310                                  
1991 01 11 03 00   987.6    -6.2    15.0   313                                  
1991 01 11 06 00   987.2    -6.7    13.6   313                                  
1991 01 11 09 00   987.0    -7.2    12.5   313                                  
1991 01 11 12 00   986.8    -6.5    11.3   312                                  
1991 01 11 15 00   986.5    -5.2     7.0   313                                  
1991 01 11 18 00   986.3    -4.2     3.1    19                                  
1991 01 11 21 00   986.5    -4.6     4.2    42                                  
1991 01 12 00 00   986.7    -6.0     6.2    87                                  
1991 01 12 03 00   986.8    -8.0    11.1   132                                  
1991 01 12 06 00   986.7    -9.4     8.7   132                                  
1991 01 12 09 00   987.1    -8.9     8.8   116                                  
1991 01 12 12 00   987.4    -9.1     7.5    87                                  
1991 01 12 15 00   988.0    -8.8     9.3    87                                  
1991 01 12 18 00   988.8    -8.6     9.9    88                                  
1991 01 12 21 00   989.5    -8.2     8.8    87                                  
1991 01 13 00 00   990.1    -9.2     5.0    80                                  
1991 01 13 03 00   990.3   -12.4     2.3    81                                  
1991 01 13 06 00   990.3   -13.3     4.5   312                                  
1991 01 13 09 00   990.1   -11.3     5.0   312                                  
1991 01 13 12 00   989.9   -10.3     6.6   313                                  
1991 01 13 15 00   990.0    -7.7     8.5   313                                  
1991 01 13 18 00   990.1    -8.7    16.3   313                                  
1991 01 13 21 00   990.7    -8.8    13.4   311                                  
1991 01 14 00 00   991.8    -9.1    13.3   312                                  
1991 01 14 03 00   992.3   -10.0     9.6    31                                  
1991 01 14 06 00   993.0   -11.7    13.7    43                                  
1991 01 14 09 00   993.9   -12.8    12.5    87                                  
1991 01 14 12 00   994.6   -10.8    12.3    42                                  
1991 01 14 15 00   995.4    -7.4    11.4    43                                  
1991 01 14 18 00   995.7    -7.6    13.2    88                                  
1991 01 14 21 00   996.4    -8.4    14.0    88                                  
1991 01 15 00 00   996.7    -9.7    12.8    87                                  
1991 01 15 03 00   996.6   -10.7    13.5    88                                  
1991 01 15 06 00   996.9   -11.7    10.3    87                                  
1991 01 15 09 00   996.8   -10.6     9.1    88                                  
1991 01 15 12 00   996.1   -11.0    10.3    86                                  
1991 01 15 15 00   995.0    -7.3    13.3    87                                  
1991 01 15 18 00   994.1    -6.3    18.2    88                                  
1991 01 15 21 00   993.7    -6.7    13.7    88                                  
1991 01 16 00 00   993.2    -8.4    11.6    87                                  
1991 01 16 03 00   992.8    -9.2     7.3    87                                  
1991 01 16 06 00   992.1    -7.3     6.0   116                                  
1991 01 16 09 00   990.9    -5.1    10.2   141                                  
1991 01 16 12 00   989.7    -1.8    16.1   132                                  
1991 01 16 15 00   988.6    -1.4    16.3   132                                  
1991 01 16 18 00   987.5    -0.2    15.0   132                                  
1991 01 16 21 00   987.3     0.0     8.2    88                                  
1991 01 17 00 00   987.5    -1.0     4.1    43                                  
1991 01 17 03 00   987.7    -3.8     7.9   304                                  
1991 01 17 06 00   987.9    -5.6     8.5   266                                  
1991 01 17 09 00   988.0    -5.7    14.2   268                                  
1991 01 17 12 00   988.0    -4.0    14.0   268                                  
1991 01 17 15 00   987.8    -4.3    14.8   272                                  
1991 01 17 18 00   987.9    -5.7    16.7   313                                  
1991 01 17 21 00   987.8    -6.5    16.5   312                                  
1991 01 18 00 00   987.4    -7.6    13.5   312                                  
1991 01 18 03 00   987.5    -8.6    13.7   312                                  
1991 01 18 06 00   987.3    -9.2    13.4   313                                  
1991 01 18 09 00   987.5    -8.8    13.4   312                                  
1991 01 18 12 00   987.6    -8.1    12.6   312                                  
1991 01 18 15 00   987.7    -6.9    12.2   312                                  
1991 01 18 18 00   988.2    -6.4    10.8   313                                  
1991 01 18 21 00   988.6    -6.6     6.9   312                                  
1991 01 19 00 00   989.4    -6.7     3.9   313                                  
1991 01 19 03 00   989.7    -7.9     5.0   312                                  
1991 01 19 06 00   990.4    -8.5     5.6   313                                  
1991 01 19 09 00   990.7    -7.7     9.4   313                                  
1991 01 19 12 00   991.1    -7.6     9.0   313                                  
1991 01 19 15 00   991.1    -6.7    11.8   313                                  
1991 01 19 18 00   991.0    -5.7    11.8   313                                  
1991 01 19 21 00   991.1    -5.6    11.3   357                                  
1991 01 20 00 00   990.7    -5.2    10.6   358                                  
1991 01 20 03 00   990.0    -4.4     6.6   312                                  
1991 01 20 06 00   989.4    -4.1     7.8   312                                  
1991 01 20 09 00   988.9    -3.4     8.0   312                                  
1991 01 20 12 00   988.1    -2.6     7.0   326                                  
1991 01 20 15 00   986.9    -2.0    12.9   313                                  
1991 01 20 18 00   986.0    -2.2    12.2   312                                  
1991 01 20 21 00   985.1    -2.2     6.6   350                                  
1991 01 21 00 00   984.2    -3.5     9.9    43                                  
1991 01 21 03 00   983.4    -4.7    10.0    42                                  
1991 01 21 06 00   982.7    -7.4     8.0    42                                  
1991 01 21 09 00   982.2    -8.3    10.2    43                                  
1991 01 21 12 00   981.8    -5.8     9.8   358                                  
1991 01 21 15 00   981.4    -4.6    11.4   312                                  
1991 01 21 18 00   981.6    -4.0    11.0   312                                  
1991 01 21 21 00   982.3    -3.2    11.4   308                                  
1991 01 22 00 00   982.5    -3.6    12.7   313                                  
1991 01 22 03 00   982.8    -4.0    15.2   313                                  
1991 01 22 06 00   983.3    -4.6    15.1   312                                  
1991 01 22 09 00   983.6    -4.6    14.6   313                                  
1991 01 22 12 00   983.3    -2.4    15.9   313                                  
1991 01 22 15 00   983.4    -2.3    19.8   312                                  
1991 01 22 18 00   983.5    -1.3    17.4   296                                  
1991 01 22 21 00   984.4    -0.8    17.7   267                                  
1991 01 23 00 00   984.9    -1.0    18.0   268                                  
1991 01 23 03 00   984.9    -1.4    17.9   268                                  
1991 01 23 06 00   985.4    -1.8    12.9   268                                  
1991 01 23 09 00   985.9    -1.8     8.3   267                                  
1991 01 23 12 00   986.4    -1.7    10.3   312                                  
1991 01 23 15 00   986.4    -1.1    13.2   312                                  
1991 01 23 18 00   986.7    -1.2    16.9   312                                  
1991 01 23 21 00   987.6    -1.2    14.1   312                                  
1991 01 24 00 00   988.4    -2.3    11.5   312                                  
1991 01 24 03 00   989.0    -2.6    13.2   311                                  
1991 01 24 06 00   990.0    -2.7    13.7   313                                  
1991 01 24 09 00   991.4    -2.9    13.4   305                                  
1991 01 24 12 00   992.4    -3.2    12.4   261                                  
1991 01 24 15 00   993.4    -3.0    15.2   264                                  
