Hutton Mountains
Operated by Newcastle:University
latitude -74.07 longitude -61.72 height 949m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999

2010 01 05 20 00   886.8    -8.5    15.8    30                                  
2010 01 05 21 00   886.9    -8.8    22.6    33                                  
2010 01 05 22 00   887.2    -9.0    15.2    26                                  
2010 01 05 23 00   887.4    -9.1    13.5    20                                  
2010 01 06 00 00   887.3    -9.9    15.2    28                                  
2010 01 06 01 00   887.8   -10.1    11.9    28                                  
2010 01 06 02 00   887.9   -10.5    12.7    26                                  
2010 01 06 03 00   888.0   -10.5     9.9    18                                  
2010 01 06 04 00   888.0   -10.4    11.5    21                                  
2010 01 06 05 00   888.1   -10.4     8.2    16                                  
2010 01 06 06 00   888.1   -10.2     7.0   343                                  
2010 01 06 07 00   888.2   -10.4     8.0   338                                  
2010 01 06 08 00   888.4    -9.6     8.6   333                                  
2010 01 06 09 00   888.5    -9.8    10.5   324                                  
2010 01 06 10 00   888.7    -8.7     8.2   314                                  
2010 01 06 11 00   888.8    -8.0     9.0   324                                  
2010 01 06 12 00   888.8    -7.2     9.2   321                                  
2010 01 06 13 00   888.9    -6.8     8.4   328                                  
2010 01 06 14 00   888.9    -6.8     8.0   326                                  
2010 01 06 15 00   889.1    -6.7     8.6   327                                  
2010 01 06 16 00   889.2    -5.4     3.5   319                                  
2010 01 06 17 00   889.3    -4.9     4.7   326                                  
2010 01 06 18 00   889.5    -5.4     3.5   341                                  
2010 01 06 19 00   889.6    -5.5     4.7   337                                  
2010 01 06 20 00   889.7    -5.3     3.7   338                                  
2010 01 06 21 00   889.7    -5.2     6.2   331                                  
2010 01 06 22 00   889.4    -5.9     6.8   328                                  
2010 01 06 23 00   889.5    -6.1     7.0   323                                  
2010 01 07 00 00   889.4    -5.6     4.9   326                                  
2010 01 07 01 00   889.3    -5.7     4.7   320                                  
2010 01 07 02 00   889.4    -5.6     4.5   308                                  
2010 01 07 03 00   889.2    -5.9     5.5   324                                  
2010 01 07 04 00   889.0    -6.5     9.4   314                                  
2010 01 07 05 00   888.8    -6.6     7.6   305                                  
2010 01 07 06 00   888.6    -6.3     6.4   313                                  
2010 01 07 07 00   888.5    -5.6     8.8   309                                  
2010 01 07 08 00   888.5    -6.3     7.8   322                                  
2010 01 07 09 00   888.6    -5.2     5.7   307                                  
2010 01 07 10 00   888.7    -5.6     4.5   320                                  
2010 01 07 11 00   888.6    -4.1     2.7   226                                  
2010 01 07 12 00   888.6    -5.0     2.1   206                                  
2010 01 07 13 00   888.5    -4.2     2.1   267                                  
2010 01 07 14 00   888.6    -2.5     1.6   202                                  
2010 01 07 15 00   888.7    -3.4     2.0   164                                  
2010 01 07 16 00   888.6    -1.6     2.0   336                                  
2010 01 07 17 00   888.7    -2.7     2.7   342                                  
2010 01 07 18 00   888.7    -3.4     2.7   339                                  
2010 01 07 19 00   888.8    -2.4     2.1   333                                  
2010 01 07 20 00   888.9    -2.7     4.5   319                                  
2010 01 07 21 00   889.1    -1.9     2.0   346                                  
2010 01 07 22 00   889.2    -4.3     2.0    34                                  
2010 01 07 23 00   889.1    -4.8     3.3    25                                  
2010 01 08 00 00   889.4    -5.1     3.5    34                                  
2010 01 08 01 00   889.4    -5.4     3.5    34                                  
2010 01 08 02 00   889.4    -5.5     3.5    14                                  
