J_C
Operated by US
latitude -85.07 longitude -135.52 height 549m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1994 11 29 00 00   911.7    -3.6     7.2    63                                  
1994 11 29 03 00   913.3    -6.1     4.9    11                                  
1994 11 29 06 00   915.6    -8.8     1.2    73                                  
1994 11 29 09 00   916.7    -6.4     9.9    49                                  
1994 11 29 12 00   917.8    -5.2    16.0    54                                  
1994 11 29 15 00   919.3    -5.2    12.1    49                                  
1994 11 29 18 00   920.9    -5.2    17.2    54                                  
1994 11 29 21 00   922.8    -5.8    19.1    43                                  
1994 11 30 00 00   925.2    -6.1    14.4    26                                  
1994 11 30 03 00   926.5    -5.8    11.7    60                                  
1994 11 30 06 00   927.1    -5.5    11.1    56                                  
1994 11 30 09 00   926.6    -5.9    16.4    60                                  
1994 11 30 12 00   926.2    -6.5    15.6    80                                  
1994 11 30 15 00   924.6    -7.6    21.3    84                                  
1994 11 30 18 00   924.0    -6.5    21.6    81                                  
1994 12 01 00 00   923.8    -4.6    16.0    71                                  
1994 12 01 03 00   923.2    -5.5    23.6    52                                  
1994 12 01 06 00   922.8    -6.4    18.7    71                                  
1994 12 01 09 00   922.5    -4.5    11.3    63                                  
1994 12 01 12 00   922.6    -4.0     8.8    25                                  
1994 12 01 15 00   923.4    -4.4    10.3    35                                  
1994 12 01 18 00   924.2    -4.8    15.6    32                                  
1994 12 01 21 00   924.5    -4.8    16.8    46                                  
1994 12 02 00 00   924.7    -4.6    15.2    26                                  
1994 12 02 03 00   925.0    -4.2     9.9    28                                  
1994 12 02 06 00   925.3    -4.8    11.7    50                                  
1994 12 02 09 00   925.8    -5.0     8.4    60                                  
1994 12 02 12 00   926.6    -5.5    10.7    39                                  
1994 12 02 15 00   927.3    -5.8     9.9    47                                  
1994 12 02 18 00   928.5    -5.8     7.6    63                                  
1994 12 02 21 00   929.0    -6.8     7.2    64                                  
1994 12 03 00 00   929.5    -6.8     8.0    71                                  
1994 12 03 03 00   929.7    -8.0     9.6    66                                  
1994 12 03 06 00   929.9   -10.1    10.3    66                                  
1994 12 03 09 00   930.9   -10.6    11.1    70                                  
1994 12 03 12 00   931.1    -6.6     8.0    71                                  
1994 12 03 15 00   931.3    -9.5    11.7    61                                  
1994 12 03 18 00   931.6    -9.5    11.7    54                                  
1994 12 03 21 00   931.7    -8.9    12.5    66                                  
1994 12 04 00 00   931.8    -7.8    14.0    70                                  
1994 12 04 03 00   931.5    -9.0    15.2    74                                  
1994 12 04 06 00   931.9   -10.1    16.0    78                                  
1994 12 04 09 00   931.6   -10.9    14.8    94                                  
1994 12 04 12 00   931.0   -10.8    19.3    95                                  
1994 12 04 15 00   929.9   -10.1    20.9   101                                  
1994 12 04 18 00   929.5    -9.4    18.3    90                                  
1994 12 04 21 00   928.9    -8.8    23.2    92                                  
1994 12 05 00 00   928.3    -8.2    25.5    98                                  
1994 12 05 03 00   927.3    -9.2    19.3    97                                  
1994 12 05 06 00   926.6    -9.8    26.5    91                                  
1994 12 05 09 00   926.6   -10.4    24.8    90                                  
1994 12 05 12 00   926.4    -9.8    16.4   111                                  
1994 12 05 15 00   924.7    -9.8    22.8    90                                  
1994 12 05 18 00   924.4    -9.0    22.8    90                                  
1994 12 05 21 00   923.4    -9.5    21.6   104                                  
1994 12 06 00 00   922.2    -8.9    20.9    90                                  
1994 12 06 03 00   921.1    -9.2    24.8    90                                  
1994 12 06 06 00   920.7   -10.1    20.1    95                                  
1994 12 06 09 00   920.1   -10.4    23.2    82                                  
1994 12 06 12 00   919.8   -10.4    23.6    81                                  
1994 12 06 15 00   919.8   -10.0    21.6    87                                  
1994 12 06 18 00   920.0    -8.5    19.1    88                                  
1994 12 06 21 00   920.6    -7.1     9.6    84                                  
1994 12 07 00 00   921.3    -5.6    10.3    68                                  
1994 12 07 03 00   921.4    -5.9     9.9    70                                  
1994 12 07 06 00   921.6    -7.1    13.3    88                                  
1994 12 07 09 00   921.8    -7.6    18.7    85                                  
1994 12 07 12 00   921.8    -8.9    23.2    88                                  
1994 12 07 15 00   921.5    -9.1    22.0    88                                  
1994 12 07 18 00   921.7    -8.2    21.6    95                                  
1994 12 07 21 00   921.9    -7.6    17.9    92                                  
1994 12 08 00 00   922.1    -7.6    20.5    88                                  
1994 12 08 03 00   922.0    -8.0    23.2    90                                  
1994 12 08 06 00   922.1    -8.2    17.9    70                                  
1994 12 08 09 00   922.0    -9.1    18.7    82                                  
1994 12 08 12 00   921.4    -9.4    20.1    68                                  
1994 12 08 15 00   920.9    -9.4    17.9    75                                  
1994 12 08 18 00   920.1    -8.2    15.6    75                                  
1994 12 08 21 00   919.0    -7.4    17.5    78                                  
1994 12 09 00 00   917.9    -5.9    15.2    80                                  
1994 12 09 03 00   916.7    -5.6    17.9    80                                  
1994 12 09 06 00   915.3    -6.6    19.3    82                                  
1994 12 09 09 00   914.1    -7.2    18.7    80                                  
1994 12 09 12 00   914.0    -7.4    20.1    73                                  
1994 12 09 15 00   914.3    -7.1    21.6    71                                  
1994 12 09 18 00   915.3    -5.8    17.9    64                                  
1994 12 09 21 00   917.1    -5.0    11.7    32                                  
1994 12 10 00 00   919.0    -3.2    10.7    21                                  
1994 12 10 03 00   920.2    -3.0     4.9    23                                  
1994 12 10 06 00   921.1    -3.4     2.7    29                                  
1994 12 10 09 00   921.8    -4.2     3.7    84                                  
1994 12 10 12 00   921.7    -4.4     8.0    67                                  
1994 12 10 15 00   920.9    -3.6    13.6    92                                  
1994 12 10 18 00   919.9    -4.6    14.0   105                                  
1994 12 10 21 00   917.9    -4.5    16.0    99                                  
1994 12 11 00 00   916.0    -5.0    26.5    75                                  
1994 12 11 03 00   914.6    -5.0    28.5    82                                  
1994 12 11 06 00   913.9    -5.6    28.9    95                                  
1994 12 11 09 00   912.9    -6.1    30.4    85                                  
1994 12 11 12 00   912.9    -7.0    29.6    85                                  
1994 12 11 15 00   912.5    -6.4    33.5    77                                  
1994 12 11 18 00   911.6    -6.6    31.6    77                                  
1994 12 11 21 00   911.6    -5.9    31.2    77                                  
1994 12 12 00 00   913.0    -4.6    22.4    87                                  
1994 12 12 03 00   912.6    -4.1    26.3    68                                  
1994 12 12 06 00   914.3    -3.6    19.1    75                                  
1994 12 12 09 00   916.0    -3.6    16.8    74                                  
1994 12 12 12 00   917.5    -3.2    16.8    67                                  
1994 12 12 15 00   919.1    -3.6    19.3    60                                  
1994 12 12 18 00   920.2    -4.6    23.6    52                                  
1994 12 12 21 00   920.8    -4.1    24.0    63                                  
1994 12 13 00 00   921.3    -3.6    25.9    54                                  
1994 12 13 03 00   922.3    -3.2    21.3    64                                  
1994 12 13 06 00   923.1    -3.4    16.0    71                                  
1994 12 13 09 00   923.6    -3.5    14.8    77                                  
1994 12 13 12 00   923.1    -3.5    19.1    59                                  
1994 12 13 15 00   923.5    -4.1    15.2    63                                  
1994 12 13 18 00   923.7    -3.2    12.5    56                                  
1994 12 13 21 00   923.6    -3.2    10.3    74                                  
1994 12 14 00 00   923.4    -3.6     8.0    12                                  
1994 12 14 03 00   923.1    -3.0     4.9    19                                  
1994 12 14 06 00   922.7    -3.4     4.5   355                                  
1994 12 14 09 00   922.3    -5.0     5.3   306                                  
1994 12 14 12 00   922.3    -5.6     6.0   351                                  
1994 12 14 15 00   921.9    -3.6     0.4   326                                  
1994 12 14 18 00   921.5    -3.2     1.6   113                                  
1994 12 14 21 00   921.4 -999        0.0     0                                  
1994 12 15 00 00   920.9    -3.2     3.5   220                                  
1994 12 15 03 00   919.6    -4.6     4.1    90                                  
1994 12 15 06 00   918.8    -6.0    10.3    91                                  
1994 12 15 09 00   917.6    -5.6     8.0    68                                  
1994 12 15 12 00   916.8    -3.6     4.1    77                                  
1994 12 15 15 00   915.7    -3.6     5.7    29                                  
1994 12 15 18 00   914.9    -2.9     6.4    78                                  
1994 12 15 21 00   914.5    -3.5     5.3    63                                  
1994 12 16 00 00   914.3    -1.9     0.0     0                                  
1994 12 16 03 00   914.3    -4.6     6.0    46                                  
1994 12 16 06 00   915.6    -5.0     6.8    70                                  
1994 12 16 09 00   916.1    -6.6    10.3    84                                  
1994 12 16 12 00   916.6    -5.6    12.5    71                                  
1994 12 16 15 00   917.4    -5.5     4.9    75                                  
1994 12 16 18 00   918.2    -4.1     3.5    61                                  
1994 12 16 21 00   918.7    -3.6     1.2    56                                  
1994 12 17 00 00   919.9    -5.9     5.7    64                                  
1994 12 17 03 00   921.1    -5.9     3.1   192                                  
1994 12 17 06 00   922.4    -7.6     7.2    29                                  
1994 12 17 09 00   923.7    -6.0     4.5    52                                  
1994 12 17 12 00   925.0    -4.8     1.6    21                                  
1994 12 17 15 00   925.9    -5.9     4.5   319                                  
1994 12 17 18 00   926.5    -6.5     4.9   347                                  
1994 12 17 21 00   926.5    -5.0     3.5    16                                  
1994 12 18 00 00   926.4    -4.9     3.5   305                                  
1994 12 18 03 00   925.8    -4.2     2.7   293                                  
1994 12 18 06 00   925.5    -5.2     2.0   277                                  
1994 12 18 09 00   924.7    -4.6     2.0   243                                  
1994 12 18 12 00   924.2    -5.6     3.1   274                                  
1994 12 18 15 00   923.6    -5.8     5.3   299                                  
1994 12 18 18 00   922.8    -5.0     4.1   277                                  
1994 12 18 21 00   922.3    -5.2     6.0   270                                  
1994 12 19 00 00   921.8    -4.6     3.1   300                                  
1994 12 19 03 00   921.1    -6.1     5.7   296                                  
1994 12 19 06 00   920.6    -5.0     2.3   302                                  
1994 12 19 09 00   920.0    -5.2     1.6   331                                  
1994 12 19 12 00   919.3    -6.0     4.1   345                                  
1994 12 19 15 00   919.0    -7.4     7.6   312                                  
1994 12 19 18 00   918.8    -6.1     5.3   319                                  
1994 12 19 21 00   918.3    -6.8     9.9   289                                  
1994 12 20 00 00   918.4    -6.1     7.2   293                                  
1994 12 20 03 00   917.7    -6.1     4.5   313                                  
1994 12 20 06 00   917.5    -7.0     4.5   284                                  
1994 12 20 09 00   917.4    -8.0     4.1    11                                  
1994 12 20 12 00   917.3    -8.4     4.9    15                                  
1994 12 20 15 00   917.1    -7.9     4.1     2                                  
1994 12 20 18 00   917.6    -7.0     3.7    23                                  
1994 12 20 21 00   917.9    -5.2     2.0    40                                  
1994 12 21 00 00   918.2    -5.6     0.0     0                                  
1994 12 21 03 00   918.1    -7.1     2.3    70                                  
1994 12 21 06 00   918.5    -9.4     5.7    61                                  
1994 12 21 09 00   918.7    -9.8     6.0    46                                  
1994 12 21 12 00   919.5   -11.1     5.3    54                                  
1994 12 21 15 00   919.9    -9.4     9.2    56                                  
1994 12 21 18 00   920.3    -8.2     4.9    84                                  
1994 12 21 21 00   920.8    -5.2     4.5    81                                  
1994 12 22 00 00   920.9    -7.0     6.0    77                                  
1994 12 22 03 00   921.6    -8.2     7.6    78                                  
1994 12 22 06 00   922.1   -10.8     8.4    84                                  
1994 12 22 09 00   923.1   -11.6    11.7    54                                  
1994 12 22 12 00   923.6   -10.8     8.8    74                                  
1994 12 22 15 00   924.0   -10.8     8.4    88                                  
1994 12 22 18 00   924.0    -9.6     6.8   102                                  
1994 12 22 21 00   924.3    -9.4     8.8    49                                  
1994 12 23 00 00   924.7    -8.0     6.4    53                                  
1994 12 23 03 00   924.7    -8.5     7.2    64                                  
1994 12 23 06 00   923.9    -7.9    12.9    67                                  
1994 12 23 09 00   923.0    -6.6    13.6    54                                  
1994 12 23 12 00   921.5    -6.0    17.2    85                                  
1994 12 23 15 00   920.6    -3.2     8.4    23                                  
1994 12 23 18 00   920.8    -2.6     6.0   334                                  
1994 12 23 21 00   921.4    -3.1     2.7   275                                  
1994 12 24 00 00   921.1    -2.9     1.6   217                                  
1994 12 24 03 00   919.9    -3.2     3.1    64                                  
1994 12 24 06 00   919.3    -3.8     4.9    42                                  
1994 12 24 09 00   920.0    -9.0     8.8   281                                  
1994 12 24 12 00   921.3    -9.4     4.5   319                                  
