Jensen Nunatak
Operated by Newcastle:University
latitude -73.07 longitude -66.10 height 1365m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999

2009 12 30 21 00   835.5    -9.5     3.1   235                                  
2009 12 30 22 00   835.4   -10.8     2.7   222                                  
2009 12 30 23 00   835.4   -12.0     4.7   191                                  
2009 12 31 00 00   835.3   -12.0     5.7   153                                  
2009 12 31 01 00   835.4   -11.8     3.9   192                                  
2009 12 31 02 00   835.3   -11.8     2.5   198                                  
2009 12 31 03 00   835.3   -12.1     1.4   209                                  
2009 12 31 04 00   835.2   -13.8     7.2   176                                  
2009 12 31 05 00   835.1   -13.8     2.9   180                                  
2009 12 31 06 00   834.9   -12.1     4.7   170                                  
2009 12 31 07 00   834.9   -13.1     1.2   326                                  
2009 12 31 08 00   834.9   -14.3     7.0    35                                  
2009 12 31 09 00   834.9   -15.2     5.7   354                                  
2009 12 31 10 00   834.8   -14.3     8.2    23                                  
2009 12 31 11 00   834.5   -14.7    16.2    30                                  
2009 12 31 12 00   834.4   -14.8    10.5    19                                  
2009 12 31 13 00   833.8   -14.4    14.4   355                                  
2009 12 31 14 00   833.8   -13.6    10.1   337                                  
2009 12 31 15 00   833.8   -12.4    10.5   339                                  
2009 12 31 16 00   833.5   -12.3    10.9   333                                  
2009 12 31 17 00   833.5    -9.6     3.5    78                                  
2009 12 31 18 00   833.3    -9.5     2.3     5                                  
2009 12 31 19 00   833.2    -9.9     2.3   100                                  
2009 12 31 20 00   833.0    -9.9     3.3    46                                  
2009 12 31 21 00   832.8   -10.2     4.1    46                                  
2009 12 31 22 00   832.6   -10.7     2.1    57                                  
2009 12 31 23 00   832.3   -10.7     1.6   125                                  
2010 01 01 00 00   832.0   -11.0     2.5    84                                  
2010 01 01 01 00   831.5   -11.6     4.5   197                                  
2010 01 01 02 00   831.2   -12.2     2.7   337                                  
2010 01 01 03 00   830.9   -12.5     5.7   317                                  
2010 01 01 04 00   830.8   -12.6     1.4   242                                  
2010 01 01 05 00   830.5   -13.2     8.6   327                                  
2010 01 01 06 00   830.1   -13.3    12.3   337                                  
2010 01 01 07 00   830.1   -13.2    10.5   347                                  
