Kelly
Operated by US
latitude -89.00 longitude -179.61 height 2950m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1993 01 27 00 00 -999      -31.8     2.0   279                                  
1993 01 27 03 00 -999      -33.3     3.1   254                                  
1993 01 27 06 00 -999      -32.8     2.7   292                                  
1993 01 27 09 00 -999      -34.0     4.1   267                                  
1993 01 27 12 00 -999      -35.1     4.5   279                                  
1993 01 27 15 00 -999      -35.0     3.5   271                                  
1993 01 27 18 00 -999      -35.3     4.5   260                                  
1993 01 27 21 00 -999      -32.9     9.2   248                                  
1993 01 28 00 00 -999      -32.8     9.6   258                                  
1993 01 28 03 00 -999      -32.9    10.7   255                                  
1993 01 28 06 00 -999      -34.5    11.3   240                                  
1993 01 28 09 00 -999      -34.5     8.8   246                                  
1993 01 28 12 00 -999      -32.9     9.2   205                                  
1993 01 28 15 00 -999      -30.4    14.8   172                                  
1993 01 28 18 00 -999      -28.3    10.3   154                                  
1993 01 28 21 00 -999      -27.4    15.2   161                                  
1993 01 29 00 00 -999      -28.5    13.3   168                                  
1993 01 29 03 00 -999      -28.3     9.6   160                                  
1993 01 29 06 00 -999      -28.8     8.4   178                                  
1993 01 29 09 00 -999      -31.5     4.5   191                                  
1993 01 29 12 00 -999      -30.4     4.9   205                                  
1993 01 29 15 00 -999      -32.4     5.3   246                                  
1993 01 29 18 00 -999      -32.6     5.7   251                                  
1993 01 29 21 00 -999      -32.6     6.8   234                                  
1993 01 30 00 00 -999      -32.9     5.3   246                                  
1993 01 30 03 00 -999      -30.0     3.7   240                                  
1993 01 30 06 00 -999      -30.4     2.3   268                                  
1993 01 30 09 00 -999      -33.4     5.3   255                                  
1993 01 30 12 00 -999      -33.5     5.3   274                                  
1993 01 30 15 00 -999      -32.9     3.5   289                                  
1993 01 30 18 00 -999      -32.9     5.3   272                                  
1993 01 30 21 00 -999      -33.3     5.7   262                                  
1993 01 31 00 00 -999      -33.4     6.4   237                                  
1993 01 31 03 00 -999      -32.3     4.5   253                                  
1993 01 31 06 00 -999      -34.6     8.8   262                                  
1993 01 31 09 00 -999      -36.6    10.7   275                                  
1993 01 31 12 00 -999      -35.3    14.4   271                                  
1993 01 31 15 00 -999      -37.1    13.3   220                                  
1993 01 31 18 00 -999      -35.1     9.2   229                                  
1993 01 31 21 00 -999      -34.5     9.9   260                                  
1993 02 01 00 00 -999      -34.8    12.9   261                                  
1993 02 01 03 00 -999      -33.4    10.7   257                                  
1993 02 01 06 00 -999      -33.0     9.6   250                                  
1993 02 01 09 00 -999      -33.5     8.8   239                                  
1993 02 01 12 00 -999      -33.4     7.6   226                                  
1993 02 01 15 00 -999      -31.6     7.2   210                                  
1993 02 01 18 00 -999      -27.5    10.7   195                                  
1993 02 01 21 00 -999      -30.6     6.8   215                                  
1993 02 02 00 00 -999      -33.3     9.6   236                                  
1993 02 02 03 00 -999      -31.1     6.0   229                                  
1993 02 02 06 00 -999      -30.8     9.9   229                                  
1993 02 02 09 00 -999      -32.9     6.8   233                                  
1993 02 02 12 00 -999      -34.5     4.1   240                                  
1993 02 02 15 00 -999      -33.1     8.4   229                                  
1993 02 02 18 00 -999      -30.1     4.9   201                                  
1993 02 02 21 00 -999      -32.8     4.9   251                                  
1993 02 03 00 00 -999      -31.6    11.1   244                                  
1993 02 03 03 00 -999      -30.6    10.3   257                                  
1993 02 03 06 00 -999      -33.4    12.9   246                                  
1993 02 03 09 00 -999      -32.4    10.7   230                                  
1993 02 03 12 00 -999      -33.9    10.3   227                                  
1993 02 03 15 00 -999      -34.5     9.9   236                                  
1993 02 03 18 00 -999      -34.5     9.2   227                                  
1993 02 03 21 00 -999      -34.6     6.4   220                                  
1993 02 04 00 00 -999      -35.6     8.0   219                                  
1993 02 04 03 00 -999      -35.0     5.7   196                                  
1993 02 04 06 00 -999      -35.6     5.7   198                                  
1993 02 04 09 00 -999      -34.9     3.7   209                                  
1993 02 04 12 00 -999      -37.0     5.3   215                                  
1993 02 04 15 00 -999      -36.0     6.4   212                                  
1993 02 04 18 00 -999      -34.5     6.0   189                                  
1993 02 04 21 00 -999      -33.5     8.8   191                                  
1993 02 05 00 00 -999      -32.6    12.1   182                                  
1993 02 05 03 00 -999      -33.8    13.6   171                                  
1993 02 05 06 00 -999      -34.9     7.2   175                                  
1993 02 05 09 00 -999      -31.5    12.1   161                                  
1993 02 05 12 00 -999      -32.4    11.7   157                                  
1993 02 05 15 00 -999      -33.5     8.4   156                                  
1993 02 05 18 00 -999      -33.3    11.7   161                                  
1993 02 05 21 00 -999      -34.9    14.8   163                                  
1993 02 06 00 00 -999      -35.9    11.1   163                                  
1993 02 06 03 00 -999      -35.9    11.3   156                                  
1993 02 06 06 00 -999      -36.6    10.3   164                                  
1993 02 06 09 00 -999      -37.0     7.6   175                                  
1993 02 06 12 00 -999      -37.6     8.8   171                                  
1993 02 06 15 00 -999      -38.6     5.7   178                                  
1993 02 06 18 00 -999      -39.6     4.9   208                                  
1993 02 06 21 00 -999      -37.6     0.0     0                                  
1993 02 07 00 00 -999      -39.9     2.7   279                                  
1993 02 07 03 00 -999      -40.6     3.5   272                                  
1993 02 07 06 00 -999      -39.9     6.0   255                                  
1993 02 07 09 00 -999      -41.4     6.0   240                                  
1993 02 07 12 00 -999      -42.0     5.7   244                                  
1993 02 07 15 00 -999      -42.4     6.4   261                                  
1993 02 07 18 00 -999      -41.8     8.0   243                                  
1993 02 07 21 00 -999      -41.6     8.8   244                                  
1993 02 08 00 00 -999      -41.6     6.8   257                                  
1993 02 08 03 00 -999      -40.8     5.7   272                                  
1993 02 08 06 00 -999      -40.6     6.0   255                                  
1993 02 08 09 00 -999      -41.0     5.7   265                                  
1993 02 08 12 00 -999      -42.0     6.8   248                                  
1993 02 08 15 00 -999      -41.1     3.7   281                                  
1993 02 08 18 00 -999      -42.5     7.2   240                                  
1993 02 08 21 00 -999      -42.4     6.4   240                                  
1993 02 09 00 00 -999      -41.8     6.4   251                                  
1993 02 09 03 00 -999      -41.1     6.4   243                                  
