King George Island
Operated by Brazil
latitude -62.08 longitude -58.40 height 267m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999

2000 02 02 03 00  1001.1    -0.8     5.3    56                                  
2000 02 02 04 00  1000.9    -0.7     4.3    54                                  
2000 02 02 05 00  1000.6    -0.6     8.8    53                                  
2000 02 02 06 00  1000.2    -0.1     8.0   241                                  
2000 02 02 07 00  1000.1     0.2     1.8   252                                  
2000 02 02 08 00   999.7     0.1     7.0   178                                  
2000 02 02 09 00   999.5     0.7     7.2    43                                  
2000 02 02 10 00   999.6     1.2     6.2    46                                  
2000 02 02 11 00   999.5     1.2     6.4    62                                  
2000 02 02 12 00   999.0     1.2     5.1    43                                  
2000 02 02 13 00   998.6     1.8     6.4   120                                  
2000 02 02 14 00   997.9     1.4    16.4    52                                  
2000 02 02 15 00   997.3     2.1    20.1    39                                  
2000 02 02 16 00   997.0     2.7    10.3    37                                  
2000 02 02 17 00   996.6     3.4    14.2    29                                  
2000 02 02 18 00   995.7     4.7    17.6     6                                  
2000 02 02 19 00   996.2     6.3     8.0    12                                  
2000 02 02 20 00   995.3     5.1    16.4   350                                  
2000 02 02 21 00   994.1     3.3    21.5     2                                  
2000 02 02 22 00   994.7     2.1    22.8    19                                  
2000 02 02 23 00   994.0     2.4    27.9    10                                  
2000 02 03 00 00   994.1     3.0    26.5    11                                  
2000 02 03 01 00   993.9     3.4    24.6     9                                  
2000 02 03 02 00   992.6     2.2    18.9   347                                  
2000 02 03 03 00   991.4     2.0    31.6     8                                  
2000 02 03 04 00   992.4     1.8    28.5     3                                  
2000 02 03 05 00   990.5     1.4    32.0   279                                  
2000 02 03 06 00   989.7     1.6    40.2    11                                  
2000 02 03 07 00   990.0     1.4    37.8    18                                  
2000 02 03 08 00   989.8     1.3    29.6    12                                  
2000 02 03 09 00   989.8     1.3    30.4    16                                  
2000 02 03 10 00   988.5     1.4    29.8   333                                  
2000 02 03 11 00   988.3     1.5    32.8    34                                  
2000 02 03 12 00   987.3     1.6    37.8     2                                  
2000 02 03 13 00   985.7     1.4    41.5     6                                  
2000 02 03 14 00   986.3     1.4    36.1    32                                  
2000 02 03 15 00   986.2     1.5    32.6    24                                  
2000 02 03 16 00   985.8     1.5    34.5    27                                  
2000 02 03 17 00   984.7     1.5    34.7    27                                  
2000 02 03 18 00   983.9     1.4    35.3    28                                  
2000 02 03 19 00   983.3     1.4    38.4    18                                  
2000 02 03 20 00   983.9     1.5    23.2    13                                  
2000 02 03 21 00   983.3     1.4    27.5    28                                  
2000 02 03 22 00   981.0     1.5    40.4     6                                  
2000 02 03 23 00   978.2     2.3    45.0     4                                  
2000 02 04 00 00   979.2     2.4    37.6    17                                  
2000 02 04 01 00   979.6     2.3    41.9    19                                  
2000 02 04 02 00   979.7     2.4    34.1     2                                  
2000 02 04 03 00   979.0     2.9    28.5    20                                  
2000 02 04 04 00   982.1     2.6    16.0   355                                  
2000 02 04 05 00   984.9     1.6     2.7   340                                  
2000 02 04 06 00   985.1     2.0     9.4   301                                  
2000 02 04 07 00   985.8     1.8     7.6   322                                  
2000 02 04 08 00   986.4     2.0     2.1   331                                  
2000 02 04 09 00   986.9     2.0    11.5     1                                  
2000 02 04 10 00   987.6     2.9     5.5   165                                  
2000 02 04 11 00   988.5     3.7     3.5   349                                  
2000 02 04 12 00   989.1     3.7     5.9    22                                  
2000 02 04 13 00   989.6     3.9     3.3   344                                  
2000 02 04 14 00   990.0     4.4     5.5    35                                  
2000 02 04 15 00   990.5     3.5     8.4   356                                  
2000 02 04 16 00   990.9     4.0     2.9   323                                  
2000 02 04 17 00   991.1     3.8     9.0     7                                  
2000 02 04 18 00   991.6     5.1    10.9    13                                  
2000 02 04 19 00   991.3     6.5     3.7   175                                  
2000 02 04 20 00   992.6     5.4     4.5     1                                  
2000 02 04 21 00   992.8     5.4     0.8    24                                  
2000 02 04 22 00   992.8     5.3     3.3   276                                  
2000 02 04 23 00   992.4     5.0     2.1     2                                  
2000 02 05 00 00   992.1     4.2     2.5    27                                  
2000 02 05 01 00   992.0     4.8     3.1    15                                  
2000 02 05 02 00   991.8     4.1     2.3    19                                  
2000 02 05 03 00   991.3     4.1     1.4   212                                  
2000 02 05 04 00   991.3     4.0     2.7   347                                  
2000 02 05 05 00   990.6     3.7     5.5    28                                  
2000 02 05 06 00   990.0     3.3     2.7   351                                  
2000 02 05 07 00   989.1     2.5     0.2    50                                  
2000 02 05 08 00   988.6     2.2     1.8    39                                  
2000 02 05 09 00   988.1     2.1     1.0   316                                  
2000 02 05 10 00   987.8     2.2     2.9   258                                  
2000 02 05 11 00   987.4     2.5     4.5   251                                  
2000 02 05 12 00   987.2     3.0     4.5   260                                  
2000 02 05 13 00   987.0     3.7     7.6   275                                  
2000 02 05 14 00   987.2     3.1    10.1   296                                  
2000 02 05 15 00   987.5     1.8     6.0   349                                  
2000 02 05 16 00   987.9     1.3     5.1   322                                  
2000 02 05 17 00   988.2     1.3     6.4   279                                  
