LGB00_b_new
Operated by Australia
latitude -68.65 longitude 61.10 height 1830m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied byAAD

1993 11 13 01 06   765.1   -27.5    10.3   175                                  
1993 11 13 02 43   764.7   -25.7    12.3   163                                  
1993 11 13 05 07   764.4   -23.6    12.1   169                                  
1993 11 13 09 54   763.4   -22.7    12.1   169                                  
1993 11 13 11 31   763.0   -22.9    11.9   169                                  
1993 11 13 13 06   762.6   -23.4    10.9   169                                  
1993 11 13 14 43   762.2   -24.8     9.3   175                                  
1993 11 13 15 30   762.0   -25.9     8.7   175                                  
1993 11 13 16 18   761.6   -26.8     8.5   214                                  
1993 11 13 17 07   761.6   -28.0     8.9   169                                  
1993 11 13 18 42   761.6   -29.7     8.0   169                                  
1993 11 13 20 19   761.8   -30.6     8.2   163                                  
1993 11 13 21 54   761.8   -31.2     7.5   163                                  
1993 11 13 23 31   761.4   -30.5     7.1   163                                  
1993 11 14 01 06   761.2   -29.0     9.1   175                                  
1993 11 14 02 43   761.0   -27.6     9.6   163                                  
1993 11 14 04 18   761.2   -26.0     8.9   158                                  
1993 11 14 09 54   762.6   -22.2     6.4   113                                  
1993 11 14 11 31   763.0   -22.4     5.3   118                                  
1993 11 14 13 06   763.4   -22.9     4.3   118                                  
1993 11 14 14 43   764.0   -23.6     4.6   118                                  
1993 11 14 16 18   764.5   -24.2     2.7   141                                  
1993 11 14 17 55   765.3   -26.6     2.7   146                                  
1993 11 14 19 30   766.5   -29.4     3.4   169                                  
1993 11 14 21 07   767.3   -31.4     4.3   175                                  
1993 11 14 21 54   767.6   -30.4     4.4   163                                  
1993 11 14 22 42   768.0   -30.2     4.3   152                                  
1993 11 14 23 31   768.2   -30.1     4.1   169                                  
1993 11 15 00 19   768.6   -29.8     4.4   169                                  
1993 11 15 01 06   769.0   -29.2     4.6   163                                  
1993 11 15 01 55   769.2   -28.8     4.8   158                                  
1993 11 15 02 43   769.4   -27.9     5.3   152                                  
1993 11 15 04 18   770.0   -26.2     5.3   135                                  
1993 11 15 09 54   772.1   -23.0     4.6   124                                  
1993 11 15 11 31   772.5   -22.9     4.8   124                                  
1993 11 15 13 06   772.5   -23.3     4.3   129                                  
1993 11 15 13 55   772.5   -23.9     3.2   135                                  
1993 11 15 14 43   772.5   -24.4     4.8   135                                  
1993 11 15 16 20   772.5   -24.0     3.2   135                                  
1993 11 15 17 55   772.3   -24.3     2.7   152                                  
1993 11 15 19 32   772.3   -27.5     6.6   152                                  
1993 11 15 21 07   772.1   -29.5     8.9   163                                  
1993 11 15 22 44   771.7   -29.9    10.9   163                                  
1993 11 16 00 19   771.7   -29.3    11.4   163                                  
1993 11 16 01 08   771.5   -29.0    11.4   163                                  
1993 11 16 01 56   771.3   -28.2    11.9   163                                  
1993 11 16 02 43   771.5   -27.6    11.6   163                                  
1993 11 16 03 32   771.5   -26.7    11.2   169                                  
1993 11 16 05 08   771.7   -25.2    11.2   146                                  
1993 11 16 09 07   772.1   -23.5     8.5   158                                  
1993 11 16 10 44   771.9   -22.4     7.3   152                                  
1993 11 16 11 31   771.9   -22.0     7.1   146                                  
1993 11 16 12 19   771.9   -21.9     6.4   158                                  
1993 11 16 13 08   771.9   -22.2     6.4   169                                  
1993 11 16 13 56   771.9   -22.9     5.9   169                                  
1993 11 16 14 43   771.7   -24.1     5.3   186                                  
1993 11 16 15 32   771.9   -25.4     5.0   191                                  
1993 11 16 16 20   771.7   -27.1     5.0   197                                  
1993 11 16 17 08   771.7   -28.2     5.5   191                                  
1993 11 16 17 55   771.7   -29.4     6.4   191                                  
1993 11 16 18 44   771.7   -29.5     6.9   186                                  
1993 11 16 19 32   771.9   -29.6     9.8   186                                  
1993 11 16 20 19   771.7   -29.8    10.1   186                                  
1993 11 16 21 07   771.7   -30.0    10.9   191                                  
1993 11 16 21 56   771.7   -30.5    10.9   186                                  
1993 11 16 22 44   771.5   -30.6    10.7   191                                  
1993 11 16 23 31   771.3   -30.3    10.5   186                                  
1993 11 17 00 19   771.5   -29.0    10.0   180                                  
1993 11 17 01 56   771.3   -26.9     8.9   180                                  
1993 11 17 03 32   771.3   -24.9     9.1   180                                  
1993 11 17 05 08   771.5   -23.1     9.6   163                                  
1993 11 17 09 07   772.5   -20.0     4.4   124                                  
1993 11 17 10 44   772.9   -19.4     2.0   107                                  
1993 11 17 12 19   773.1   -19.0     0.9 -999                                   
1993 11 17 13 56   773.1   -20.7     1.6   197                                  
1993 11 17 15 32   773.3   -23.8     1.2   208                                  
1993 11 17 16 20   773.5   -24.6     0.9   214                                  
1993 11 17 17 08   773.7   -26.2     1.6   197                                  
1993 11 17 17 55   773.8   -26.2     1.4   197                                  
1993 11 17 18 44   773.8   -29.2     1.8   197                                  
1993 11 17 19 32   774.0   -28.9     2.0   197                                  
1993 11 17 20 19   774.2   -30.7     2.1   197                                  
1993 11 17 21 07   774.2   -32.6     3.4   203                                  
1993 11 17 21 56   774.2   -32.8     3.4   197                                  
1993 11 17 22 44   774.2   -33.2     3.6   197                                  
1993 11 17 23 31   774.0   -32.7     3.9   197                                  
1993 11 18 00 19   774.0   -32.2     3.9   197                                  
1993 11 18 01 08   774.0   -30.7     4.4   197                                  
1993 11 18 01 56   774.0   -29.4     5.2   191                                  
1993 11 18 02 43   774.0   -27.7     5.3   180                                  
1993 11 18 04 20   773.8   -24.1     6.1   169                                  
1993 11 18 09 07   775.0   -17.9     5.3   141                                  
1993 11 18 10 44   775.6   -17.2     5.0   141                                  
1993 11 18 12 19   776.2   -17.6     4.8   135                                  
1993 11 18 13 08   776.4   -18.1     3.4   146                                  
1993 11 18 13 56   776.7   -19.2     3.4   152                                  
1993 11 18 14 43   777.1   -21.1     2.5   158                                  
1993 11 18 15 32   777.7   -22.9     2.7   175                                  
1993 11 18 16 20   778.1   -24.1     3.4   169                                  
1993 11 18 17 08   778.5   -25.6     4.4   180                                  
1993 11 18 17 55   779.1   -26.5     5.0   186                                  
1993 11 18 18 44   779.5   -27.2     5.7   186                                  
1993 11 18 19 32   779.6   -27.4     6.1   175                                  
1993 11 18 20 19   779.6   -27.8     6.6   169                                  
1993 11 18 21 07   779.8   -27.6     6.4   175                                  
1993 11 18 21 56   780.0   -28.1     6.8   175                                  
1993 11 18 22 44   780.2   -28.6     6.4   175                                  
1993 11 18 23 31   780.4   -28.5     6.1   175                                  
1993 11 19 00 19   780.4   -27.6     6.4   175                                  
1993 11 19 01 08   780.4   -26.6     6.9   175                                  
1993 11 19 01 56   780.4   -24.8     7.1   163                                  
1993 11 19 02 43   780.6   -23.8     7.5   163                                  
1993 11 19 04 20   780.4   -21.5     8.0   163                                  
1993 11 19 12 19   780.2   -17.1     8.4   135                                  
1993 11 19 13 56   779.8   -18.5     7.8   141                                  
1993 11 19 14 43   779.5   -19.4     8.5   141                                  
1993 11 19 15 32   779.3   -20.4     8.2   152                                  
1993 11 19 16 20   778.9   -21.3     8.0   152                                  
1993 11 19 17 08   778.5   -22.0     9.4   152                                  
