Lorne
Operated by US
latitude -78.25 longitude 170.00 height 46m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

2007 01 13 00 00   989.1    -2.9    14.4   224                                  
2007 01 13 03 00   988.0    -2.1    17.9   212                                  
2007 01 13 06 00   987.2    -1.9    11.7   228                                  
2007 01 13 09 00   985.6    -3.8     7.6   243                                  
2007 01 13 12 00   984.0    -5.5     6.0   283                                  
2007 01 13 15 00   982.6    -7.4     6.8   267                                  
2007 01 13 18 00   981.3    -5.0    10.7   238                                  
2007 01 13 21 00   980.5    -5.0     8.8   233                                  
2007 01 14 00 00   980.3    -5.4     2.7   145                                  
2007 01 14 03 00   980.2    -7.1     9.9   163                                  
2007 01 14 06 00   980.4    -5.5     6.0   186                                  
2007 01 14 09 00   980.8    -6.1     6.0   221                                  
2007 01 14 12 00   981.8    -8.0     7.2   179                                  
2007 01 14 15 00   982.1    -7.0    17.5   208                                  
2007 01 14 18 00   982.9    -7.0    19.1   211                                  
2007 01 14 21 00   984.2    -6.0    18.7   204                                  
2007 01 15 00 00   985.5    -5.6    16.0   198                                  
2007 01 15 03 00   985.8    -5.2    10.3   181                                  
2007 01 15 06 00   986.5    -6.6     9.6   194                                  
2007 01 15 09 00   987.2    -9.0     7.2   197                                  
2007 01 15 12 00   987.7    -7.1     7.6   225                                  
2007 01 15 15 00   987.8    -9.0     8.4   260                                  
2007 01 15 18 00   987.9    -5.2    12.1   243                                  
2007 01 15 21 00   988.5    -5.4    12.5   195                                  
2007 01 16 00 00   989.2    -6.0    15.2   195                                  
2007 01 16 03 00   989.8    -4.2    14.4   201                                  
2007 01 16 06 00   990.0    -3.1    16.0   202                                  
2007 01 16 09 00   989.7    -4.8     9.2   222                                  
2007 01 16 12 00   989.7    -6.0     8.8   309                                  
2007 01 16 15 00   989.3    -5.2    13.6   235                                  
2007 01 16 18 00   990.4    -3.1    17.2   224                                  
2007 01 16 21 00   991.8    -3.1    14.8   193                                  
