Manning
Operated by US
latitude -78.75 longitude 166.85 height 66m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1980 12 01 03 00   987.8   -10.1     2.3   304                                  
1980 12 01 06 00   987.5   -11.5     7.0   287                                  
1980 12 01 09 00   987.8   -13.0     6.0   288                                  
1980 12 01 12 00   987.9   -16.4     5.3   301                                  
1980 12 01 15 00   989.2   -19.8    10.3   302                                  
1980 12 01 18 00   990.2   -17.8    10.3   290                                  
1980 12 01 21 00   991.1   -17.1    12.7   295                                  
1980 12 02 00 00   990.8   -15.1    12.3   290                                  
1980 12 02 03 00   990.7   -15.5    13.3   273                                  
1980 12 02 06 00   990.4   -14.1    14.2   285                                  
1980 12 02 09 00   990.2   -14.5    12.7   304                                  
1980 12 02 12 00   990.2   -16.5     9.9   297                                  
1980 12 02 15 00   989.5   -19.5     6.0   293                                  
1980 12 02 18 00   989.3   -17.6     5.7   284                                  
1980 12 02 21 00   989.5   -16.5     4.7   269                                  
1980 12 03 00 00   989.1   -13.3     5.7   287                                  
1980 12 03 03 00   988.0   -12.0     4.3   288                                  
1980 12 03 06 00   987.0   -12.0     2.9   271                                  
1980 12 03 09 00   985.6   -13.3     1.4   239                                  
1980 12 03 12 00   984.5   -16.1     1.4   274                                  
1980 12 03 15 00   983.6   -20.8     4.3   297                                  
1980 12 03 18 00   983.0   -17.9     4.7   295                                  
1980 12 03 21 00   981.7   -13.9     3.3   297                                  
1980 12 04 00 00   980.3   -12.6     7.6   293                                  
1980 12 04 03 00   978.5   -11.4     9.4   273                                  
1980 12 04 06 00   977.1    -9.5    13.6   255                                  
1980 12 04 09 00   975.7    -9.0    15.6   260                                  
1980 12 04 12 00   974.0    -7.8    18.9   269                                  
1980 12 04 15 00   972.3    -5.9    20.7   263                                  
1980 12 04 18 00   970.6    -5.9    26.9   264                                  
1980 12 04 21 00   969.1    -5.3    28.9   262                                  
1980 12 05 00 00   968.9    -4.1    18.9   257                                  
1980 12 05 03 00   969.2    -2.9    14.6   250                                  
1980 12 05 06 00   970.8    -1.4    12.7   195                                  
1980 12 05 09 00   972.1    -2.3    16.6   225                                  
1980 12 05 12 00   972.3    -2.4    17.9   231                                  
1980 12 05 15 00   972.0    -3.1    18.9   239                                  
1980 12 05 18 00   971.6    -2.5    22.2   235                                  
1980 12 05 21 00   970.9    -1.9    23.6   236                                  
1980 12 06 00 00   970.7    -1.4    17.4   225                                  
1980 12 06 03 00   970.1    -1.4    17.9   228                                  
1980 12 06 06 00   969.8    -1.6    20.3   239                                  
1980 12 06 09 00   969.1    -2.0    25.9   246                                  
1980 12 06 12 00   968.8    -2.0    24.0   239                                  
1980 12 06 15 00   968.5    -2.0    23.2   249                                  
1980 12 06 18 00   968.9    -2.3    17.4   252                                  
1980 12 06 21 00   969.1    -1.0    15.6   269                                  
1980 12 07 00 00   969.8    -0.5    11.7   232                                  
1980 12 07 03 00   969.7    -0.8     9.4   217                                  
1980 12 07 06 00   970.0    -0.5     2.0   311                                  
1980 12 07 09 00   970.4     1.6     3.3   338                                  
1980 12 07 12 00   971.8    -1.9     3.3   156                                  
1980 12 07 15 00   973.0    -6.4     4.3   246                                  
1980 12 07 18 00   974.9    -5.8     6.6   318                                  
1980 12 07 21 00   976.5    -4.4    10.3   308                                  
1980 12 08 00 00   977.8    -4.0    13.3   311                                  
1980 12 08 03 00   978.3    -3.0    11.3   280                                  
1980 12 08 06 00   978.8    -2.6    12.7   263                                  
1980 12 08 09 00   979.4    -2.5     9.0   262                                  
1980 12 08 12 00   980.2    -2.9    10.3   256                                  
1980 12 08 15 00   980.5    -3.1    12.7   256                                  
1980 12 08 18 00   981.2    -3.8    12.3   259                                  
1980 12 08 21 00   981.8    -3.8    16.0   255                                  
1980 12 09 00 00   982.5    -2.5    14.6   243                                  
1980 12 09 03 00   982.3    -2.4    14.6   246                                  
1980 12 09 06 00   982.8    -2.1    10.9   250                                  
1980 12 09 09 00   983.3    -2.4     8.0   266                                  
1980 12 09 12 00   983.4    -4.9     9.9   300                                  
1980 12 09 15 00   983.4    -6.0     7.6   304                                  
1980 12 09 18 00   983.9    -5.5     9.0   297                                  
1980 12 09 21 00   984.3    -4.1     7.6   301                                  
1980 12 10 00 00   984.6    -2.9     8.4   290                                  
1980 12 10 03 00   984.1    -2.9     3.7   291                                  
1980 12 10 06 00   984.1    -3.8     4.7   281                                  
1980 12 10 09 00   984.1    -3.4     1.0     0                                  
1980 12 10 12 00   984.0    -4.6     0.0     0                                  
1980 12 10 15 00   984.4    -6.1     5.7   273                                  
1980 12 10 18 00   984.8    -7.1     8.0   314                                  
1980 12 10 21 00   985.5    -5.9    10.9   318                                  
1980 12 11 00 00   985.3    -5.0    11.7   311                                  
1980 12 11 03 00   985.0    -3.3    10.9   301                                  
1980 12 11 06 00   984.9    -3.8    13.6   255                                  
1980 12 11 09 00   985.3    -5.4    13.3   259                                  
1980 12 11 12 00   985.8    -5.4    11.3   271                                  
1980 12 11 15 00   985.7    -6.6    11.7   266                                  
1980 12 11 18 00   986.9    -6.8    12.7   298                                  
1980 12 11 21 00   987.6    -7.1    13.6   277                                  
1980 12 12 00 00   988.3    -5.9    10.9   260                                  
1980 12 12 03 00   988.3    -5.0     9.9   264                                  
1980 12 12 06 00   988.2    -4.9     9.4   300                                  
1980 12 12 09 00   987.9    -5.9     6.0   298                                  
1980 12 12 12 00   987.8    -7.8     4.7   288                                  
1980 12 12 15 00   988.0    -9.0     4.3   300                                  
1980 12 12 18 00   987.8    -8.0     3.7   311                                  
1980 12 12 21 00   987.3    -4.6     1.4   326                                  
1980 12 13 00 00   986.6    -3.3     8.4    66                                  
1980 12 13 03 00   985.7    -3.1     9.9    55                                  
1980 12 13 06 00   985.5    -4.1     8.4    51                                  
1980 12 13 09 00   985.3    -7.8     5.7    46                                  
1980 12 13 12 00   985.2    -8.1     0.0     0                                  
1980 12 13 15 00   985.2    -7.0     3.7   336                                  
1980 12 13 18 00   985.8    -5.3     4.3   287                                  
1980 12 13 21 00   986.0    -6.5     4.7   295                                  
1980 12 14 00 00   985.9    -4.1     0.4     0                                  
1980 12 14 03 00   985.4    -5.3     2.0   238                                  
1980 12 14 06 00   984.7    -4.5     0.0     0                                  
1980 12 14 09 00   983.8    -5.8     1.0     0                                  
1980 12 14 12 00   982.7    -7.1     2.0    72                                  
1980 12 14 15 00   981.7    -7.9     2.3    72                                  
1980 12 14 18 00   981.3    -7.8     3.3   110                                  
1980 12 14 21 00   981.1    -5.4     3.7    52                                  
1980 12 15 00 00   981.2    -3.3     6.0    44                                  
1980 12 15 03 00   981.6    -3.6     5.3   309                                  
