Martha 2
Operated by US
latitude -78.38 longitude -173.42 height 18m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1987 01 21 12 00  1004.2     0.8     0.0     0                                  
1987 01 21 15 00  1004.4     0.0     0.0     0                                  
1987 01 21 18 00  1004.7     1.0     0.0     0                                  
1987 01 21 21 00  1004.8     0.0     0.0     0                                  
1987 01 22 00 00  1004.2    -2.0     0.0     0                                  
1987 01 22 03 00  1002.9    -1.5     0.0     0                                  
1987 01 22 09 00 -999      -15.6     0.0     0                                  
1987 01 22 12 00  1001.4    -2.9     0.4     0                                  
1987 01 22 15 00  1001.6    -4.6     0.0     0                                  
1987 01 22 18 00  1001.8    -2.4     0.0     0                                  
1987 01 22 21 00  1000.7     0.8     1.0    72                                  
1987 01 23 00 00  1001.2     1.3     3.3   260                                  
1987 01 23 03 00  1000.2    -1.5     1.4   131                                  
1987 01 23 06 00   999.7    -0.8     0.4     0                                  
1987 01 23 09 00   999.2    -0.8     0.0     0                                  
1987 01 23 12 00   998.1    -2.0     0.0     0                                  
1987 01 23 15 00   997.3    -1.1     0.0     0                                  
1987 01 23 18 00   997.7    -3.0     2.9   101                                  
1987 01 23 21 00   998.2    -3.4     3.3   274                                  
1987 01 24 00 00   999.4    -5.0     2.0   216                                  
1987 01 24 03 00   999.9    -5.2     0.4     0                                  
1987 01 24 06 00  1001.3    -7.1     2.3   239                                  
1987 01 24 09 00  1001.9    -6.0     2.9   242                                  
1987 01 24 12 00  1001.0    -5.5     2.0   150                                  
1987 01 24 15 00  1001.4    -7.0     0.0     0                                  
1987 01 24 18 00  1002.3    -6.0     0.4     0                                  
1987 01 24 21 00  1002.2    -2.9     0.0     0                                  
1987 01 25 00 00  1001.9    -2.1     1.0   252                                  
1987 01 25 03 00  1001.3    -2.7     0.0     0                                  
1987 01 25 06 00  1000.8    -4.1     2.9   202                                  
1987 01 25 09 00  1001.2    -4.6     1.4   162                                  
1987 01 25 12 00  1001.4    -5.6     0.0     0                                  
1987 01 25 15 00  1001.3    -5.5     1.4    90                                  
1987 01 25 18 00  1001.6    -6.6     4.9   297                                  
1987 01 25 21 00  1002.2    -4.2     0.4     0                                  
1987 01 26 00 00  1002.5    -3.5     0.4     0                                  
1987 01 26 03 00  1001.8    -3.0     1.0   299                                  
1987 01 26 06 00  1001.4    -4.7     0.0     0                                  
1987 01 26 09 00  1001.5    -5.1     2.3   184                                  
1987 01 26 12 00  1001.3    -5.4     1.0   215                                  
1987 01 26 15 00  1001.1    -5.5     0.0     0                                  
1987 01 26 18 00  1001.3    -4.5     0.0     0                                  
1987 01 26 21 00  1001.8    -6.0     0.0     0                                  
1987 01 27 00 00  1001.9    -2.9     1.0   184                                  
1987 01 27 03 00  1001.2    -3.4     1.4   145                                  
1987 01 27 06 00  1001.2    -3.0     0.4     0                                  
1987 01 27 09 00  1002.6    -7.0     0.4     0                                  
1987 01 27 12 00  1004.0    -8.2     2.3   190                                  
1987 01 27 15 00  1004.0    -8.4     0.4     0                                  
1987 01 27 18 00  1003.5    -8.2     4.3   155                                  
1987 01 27 21 00  1003.8    -3.0     0.0     0                                  
1987 01 28 00 00  1003.3    -2.2     0.0     0                                  
1987 01 28 03 00  1003.0     0.3     0.0     0                                  
1987 02 11 09 00   980.3   -22.1     0.0     0                                  
1987 02 11 12 00   976.8   -14.7    10.7   202                                  
1987 02 11 15 00   980.9   -14.5    21.8   197                                  
