Meeley
Operated by US
latitude -78.52 longitude 170.18 height 49m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1980 12 04 03 00   978.8   -11.9    16.6   225                                  
1980 12 04 06 00   977.6   -12.4    18.9   225                                  
1980 12 04 09 00   976.1   -11.8    20.3   225                                  
1980 12 04 12 00   974.5   -10.1    19.9   217                                  
1980 12 04 15 00   972.1    -8.8    25.4   225                                  
1980 12 04 18 00   970.2    -7.0    28.1   225                                  
1980 12 04 21 00   969.1    -5.6    26.7   225                                  
1980 12 05 00 00   969.5    -3.6    15.6   207                                  
1980 12 05 03 00   970.2    -3.3    11.1   206                                  
1980 12 05 06 00   971.7    -2.9    10.5   180                                  
1980 12 05 09 00   972.7    -2.9    14.8   189                                  
1980 12 05 12 00   972.5    -3.5    19.3   200                                  
1980 12 05 15 00   971.9    -3.3    23.0   205                                  
1980 12 05 18 00   971.6    -3.1    17.9   207                                  
1980 12 05 21 00   970.8    -2.9    20.3   225                                  
1980 12 06 00 00   971.1    -2.4    18.3   218                                  
1980 12 06 03 00   970.5    -2.6    19.3   205                                  
1980 12 06 06 00   970.0    -2.9    20.3   225                                  
1980 12 06 09 00   969.1    -3.1    20.3   225                                  
1980 12 06 12 00   968.7    -3.4    19.3   225                                  
1980 12 06 15 00   968.8    -3.8    19.3   214                                  
1980 12 06 18 00   969.4    -4.3    18.9   219                                  
1980 12 06 21 00   970.0    -3.5    15.6   225                                  
1980 12 07 00 00   970.6    -3.6    16.2   189                                  
1980 12 07 03 00   971.3    -2.9    13.3   214                                  
1980 12 07 06 00   972.5    -2.5    10.5   233                                  
1980 12 07 09 00   973.3    -2.6     8.8   225                                  
1980 12 07 12 00   974.6    -6.8     5.5   225                                  
1980 12 07 15 00   975.5    -5.3     6.4   225                                  
1980 12 07 18 00   976.8    -5.0     6.4   194                                  
1980 12 07 21 00   978.0    -4.1    14.8   211                                  
1980 12 08 00 00   979.4    -4.6    16.2   218                                  
1980 12 08 03 00   980.2    -4.3    12.5   180                                  
1980 12 08 06 00   980.8    -3.6    14.8   225                                  
1980 12 08 09 00   981.1    -3.4    11.1   210                                  
1980 12 08 12 00   982.0    -3.6    10.5   225                                  
1980 12 08 15 00   982.1    -3.5     9.8   225                                  
1980 12 08 18 00   982.8    -3.3    12.9   180                                  
1980 12 08 21 00   983.3    -3.4    13.8   198                                  
1980 12 09 00 00   984.0    -3.1    13.8   200                                  
1980 12 09 03 00   984.0    -3.1    14.8   225                                  
1980 12 09 06 00   984.5    -4.9    14.8   180                                  
1980 12 09 09 00   985.3    -5.3    10.1   173                                  
1980 12 09 12 00   985.4    -3.5    12.9   214                                  
1980 12 09 15 00   985.3    -5.4    11.1   225                                  
1980 12 09 18 00   986.0    -7.0    10.5   225                                  
1980 12 09 21 00   986.2    -5.9    13.3   225                                  
1980 12 10 00 00   986.6    -4.9    10.5   210                                  
1980 12 10 03 00   986.4    -3.3    10.1   207                                  
1980 12 10 06 00   986.6    -4.6     7.8   225                                  
1980 12 10 09 00   987.0    -7.0     6.8   225                                  
1980 12 10 12 00   987.5    -6.1     6.8   205                                  
1980 12 10 15 00   987.5    -7.9     2.3   248                                  
1980 12 10 18 00   987.6    -7.6     6.4   267                                  
1980 12 10 21 00   988.1    -7.4    11.1   231                                  
1980 12 11 00 00   987.7    -4.1    12.9   248                                  
1980 12 11 03 00   987.4    -4.4    11.9   270                                  
1980 12 11 06 00   987.1    -4.8    12.9   231                                  
1980 12 11 09 00   986.9    -6.0    12.9   225                                  
1980 12 11 12 00   987.3    -6.8    12.9   240                                  
1980 12 11 15 00   986.8    -8.4    13.8   225                                  
1980 12 11 18 00   987.5    -8.3    20.3   226                                  
1980 12 11 21 00   988.3    -8.4    20.3   225                                  
1980 12 12 00 00   989.0    -7.6    20.7   225                                  
