Mount McKibben
Operated by Newcastle:University
latitude -75.27 longitude -65.60 height 1155m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999

2010 01 06 21 00   865.4    -5.9     1.8    19                                  
2010 01 06 22 00   865.3    -6.6     3.1   341                                  
2010 01 06 23 00   865.4    -5.7     3.1   268                                  
2010 01 07 00 00   865.2    -5.6     2.5   229                                  
2010 01 07 01 00   865.4    -6.9     7.0   265                                  
2010 01 07 02 00   865.4    -7.7     8.8   250                                  
2010 01 07 03 00   865.2    -7.8     7.4   264                                  
2010 01 07 04 00   865.2    -7.2     7.8   267                                  
2010 01 07 05 00   864.9    -6.6     5.1   269                                  
2010 01 07 06 00   864.9    -6.3     7.2   254                                  
2010 01 07 07 00   864.8    -6.0     6.6   265                                  
2010 01 07 08 00   864.8    -5.4     4.9   269                                  
2010 01 07 09 00   865.0    -5.0     4.5   274                                  
2010 01 07 10 00   865.0    -7.5    13.7   282                                  
2010 01 07 11 00   865.1    -6.1     9.0   261                                  
2010 01 07 12 00   864.9    -5.5     7.6   274                                  
2010 01 07 13 00   864.9    -5.0     4.5   275                                  
2010 01 07 14 00   865.0    -4.9     4.9   264                                  
2010 01 07 15 00   865.0    -4.0     5.3   286                                  
2010 01 07 16 00   865.0    -2.2     1.8    77                                  
2010 01 07 17 00   865.0    -3.5     2.1   225                                  
2010 01 07 18 00   865.0    -4.2     2.9    40                                  
2010 01 07 19 00   865.2    -5.0     3.5    11                                  
2010 01 07 20 00   865.3    -4.1     2.9    11                                  
2010 01 07 21 00   865.3    -4.8     6.4    17                                  
2010 01 07 22 00   865.3    -5.3     5.7    34                                  
2010 01 07 23 00   865.5    -5.7     2.7     5                                  
2010 01 08 00 00   865.6    -5.9     3.7    40                                  
2010 01 08 01 00   865.6    -6.6     4.5    26                                  
2010 01 08 02 00   865.5    -7.1     4.5   353                                  
2010 01 08 03 00   865.6    -6.5     4.5   352                                  
2010 01 08 04 00   865.6    -6.1     5.3   339                                  
2010 01 08 05 00   865.7    -7.1     5.7   345                                  
2010 01 08 06 00   865.8    -5.7     6.4   342                                  
2010 01 08 07 00   866.0    -6.2     5.7   357                                  
2010 01 08 08 00   866.3    -6.7     3.5     0                                  
2010 01 08 09 00   866.5    -5.9     4.3   350                                  
2010 01 08 10 00   866.5    -7.1     6.6   336                                  
2010 01 08 11 00   866.7    -6.3     4.7    20                                  
2010 01 08 12 00   866.8    -6.2     4.5    15                                  
2010 01 08 13 00   866.8    -6.3     2.7    54                                  
2010 01 08 14 00   866.9    -6.1     5.9    39                                  
2010 01 08 15 00   867.2    -6.4     6.2    40                                  
2010 01 08 16 00   867.1    -6.4     8.0    40                                  
2010 01 08 17 00   867.2    -6.5     7.6    33                                  
2010 01 08 18 00   867.4    -6.7     7.4    38                                  
2010 01 08 19 00   867.4    -7.0     7.8    27                                  
2010 01 08 20 00   867.5    -7.3     8.6    35                                  
2010 01 08 21 00   867.5    -7.0     9.2    34                                  
2010 01 08 22 00   867.6    -7.6     9.2    26                                  
2010 01 08 23 00   867.6    -8.5     9.8    13                                  
2010 01 09 00 00   867.5    -8.4    10.5    23                                  
2010 01 09 01 00   867.6    -8.9    10.3    34                                  
2010 01 09 02 00   867.6    -9.2     8.4    42                                  
