Nancy
Operated by US
latitude -77.91 longitude 168.17 height 25m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1983 01 17 00 00   994.8 -999       11.7   180                                  
1983 01 17 03 00   994.2    -4.9     4.1     4                                  
1983 01 17 06 00   992.6    -4.3     3.1   360                                  
1983 01 17 09 00   991.5    -7.3     1.8   360                                  
1983 01 17 12 00   990.7    -8.0     3.1   350                                  
1983 01 17 15 00   990.5    -9.6     4.1   314                                  
1983 01 17 18 00   991.0    -9.4     4.9   328                                  
1983 01 17 21 00   991.3    -6.8     4.1   309                                  
1983 01 18 00 00   991.4    -2.9     2.1   339                                  
1983 01 18 03 00   990.8    -1.4     3.1     4                                  
1983 01 18 06 00   989.4    -0.1     0.0     0                                  
1983 01 18 09 00   988.0    -4.1     1.4    90                                  
1983 01 18 12 00   988.0    -9.3     2.1   309                                  
1983 01 18 15 00   987.8    -9.8     3.5   186                                  
1983 01 18 18 00   988.1   -10.0     2.1   139                                  
1983 01 18 21 00   989.0    -5.9     0.4     0                                  
1983 01 19 00 00   989.9    -4.0     6.8   180                                  
1983 01 19 03 00   990.4    -2.9     0.4     0                                  
1983 01 19 06 00   991.0    -3.1     1.0     0                                  
1983 01 19 09 00   991.7    -5.3     1.8   141                                  
1983 01 19 12 00   992.4   -10.6     3.1   120                                  
1983 01 19 15 00   992.9   -10.8     0.0     0                                  
1983 01 19 18 00   993.5   -11.5     1.8    68                                  
1983 01 19 21 00   994.5    -8.3     2.7   120                                  
1983 01 20 00 00   995.3    -5.3     3.5    69                                  
1983 01 20 03 00   995.8    -4.0     3.5    45                                  
1983 01 20 06 00   996.4    -4.0     4.1    27                                  
1983 01 20 09 00   997.4    -5.0     2.1   104                                  
1983 01 20 12 00   998.8    -9.1     1.0     0                                  
1983 01 20 15 00   999.6    -6.1     1.8   126                                  
1983 01 20 18 00  1000.9   -10.3     3.5   180                                  
1983 01 20 21 00  1002.0    -9.5     1.8   135                                  
1983 01 21 00 00  1002.6    -8.1     4.1   111                                  
1983 01 21 03 00  1001.8    -7.1     4.9   107                                  
1983 01 21 06 00  1000.9    -7.1     5.5    69                                  
1983 01 21 09 00  1000.2    -9.0     3.5    77                                  
1983 01 21 12 00   999.5   -10.8     3.1    90                                  
1983 01 21 15 00   998.1   -12.9     1.4   108                                  
1983 01 21 18 00   997.4    -9.8     0.4     0                                  
1983 01 21 21 00   997.0    -7.3     0.0     0                                  
1983 01 22 00 00   996.8    -7.8     7.6   180                                  
1983 01 22 03 00   996.7    -6.4     8.0   180                                  
1983 01 22 06 00   996.5    -6.1    12.1   173                                  
1983 01 22 09 00   997.0    -8.0    10.3   180                                  
1983 01 22 12 00   997.8    -9.5     9.9   176                                  
1983 01 22 15 00   998.9   -11.3    10.3   141                                  
1983 01 22 18 00   999.9   -11.4     9.0   122                                  
1983 01 22 21 00  1000.3   -11.0     3.5    96                                  
1983 01 23 00 00   999.2   -10.6     2.7   360                                  
1983 01 23 03 00   998.1    -6.3     4.9   260                                  
1983 01 23 06 00   997.7    -5.5     6.2   206                                  
1983 01 23 09 00   997.0    -5.8     4.9   229                                  
1983 01 23 12 00   995.8    -8.9     1.8   129                                  
1983 01 23 15 00   994.5   -10.5     1.0     0                                  
1983 01 23 18 00   993.9   -12.1     1.4   315                                  
1983 01 23 21 00   993.2   -11.1     1.8   195                                  
1983 01 24 00 00   992.5    -8.3     0.4     0                                  
1983 01 24 03 00   991.4    -7.0     0.0     0                                  
1983 01 24 06 00   990.7    -7.4     0.0     0                                  
1983 01 24 09 00   989.9   -10.0     1.8    79                                  
1983 01 24 12 00   989.0   -15.3     1.8    45                                  
1983 01 24 15 00   987.8   -16.5     2.7    18                                  
1983 01 24 18 00   987.2   -14.0     0.4     0                                  
1983 01 24 21 00   986.5    -8.5     1.0     0                                  
1983 01 25 00 00   986.0    -6.1     1.4    30                                  
1983 01 25 03 00   985.3    -3.9     0.0     0                                  
1983 01 25 06 00   985.3    -4.0     2.1    37                                  
1983 01 25 09 00   985.4    -7.8     0.0     0                                  
1983 01 25 12 00   985.9    -5.9     3.1   118                                  
1983 01 25 15 00   986.7   -11.8     3.1   148                                  
1983 01 25 18 00   988.0   -12.6     2.1   141                                  
1983 01 25 21 00   989.6   -10.9     5.5   180                                  
1983 01 26 00 00   991.5    -8.4     7.6   180                                  
1983 01 26 03 00   992.4    -6.4     7.2   188                                  
1983 01 26 06 00   993.8    -6.5     1.8   180                                  
1983 01 26 09 00   995.3    -6.1     0.0     0                                  
1983 01 26 12 00   996.7    -9.4     0.0     0                                  
1983 01 26 15 00   997.4   -12.5     0.0     0                                  
1983 01 26 18 00   998.6   -10.5     1.8   333                                  
1983 01 26 21 00  1000.0    -7.6     1.8   270                                  
1983 01 27 00 00  1001.3    -6.6     1.4   141                                  
1983 01 27 03 00  1001.8    -5.4     3.5    93                                  
1983 01 27 06 00  1002.9    -5.4     3.5   105                                  
1983 01 27 09 00  1003.1    -7.4     1.4   141                                  
1983 01 27 12 00  1003.5    -9.8     2.1    90                                  
1983 01 27 15 00  1003.5   -10.9     4.9    69                                  
1983 01 27 18 00  1004.0    -9.8     5.5    83                                  
1983 01 27 21 00  1004.2    -8.9     4.5    79                                  
1983 01 28 00 00  1004.5    -7.6     3.1    90                                  
1983 01 28 03 00  1003.8    -4.8     1.8    90                                  
1983 01 28 06 00  1003.0    -5.9     5.5    89                                  
1983 01 28 09 00  1002.6    -7.3     3.5   111                                  
1983 01 28 12 00  1002.2    -7.3     4.5    48                                  
1983 01 28 15 00  1001.5    -8.0     4.1    45                                  
1983 01 28 18 00  1001.1    -7.0     2.1    45                                  
1983 01 28 21 00  1000.8    -5.6     1.8   126                                  
1983 01 29 00 00  1000.6    -4.5     2.7   149                                  
1983 01 29 03 00  1000.2    -3.3     2.1   141                                  
1983 01 29 06 00  1000.1    -5.0     3.5   149                                  
1983 01 29 09 00  1000.5    -5.4     3.1   141                                  
1983 01 29 12 00  1000.8    -6.1     4.1   161                                  
1983 01 29 15 00  1001.3    -6.5     5.8   152                                  
1983 01 29 18 00  1002.0    -9.0    13.5   180                                  
1983 01 29 21 00  1002.8   -11.1    16.2   153                                  
1983 01 30 00 00  1003.9   -11.5    12.5   170                                  
1983 01 30 03 00  1003.7   -10.9    10.3   161                                  
1983 01 30 06 00  1002.7   -10.8     6.8   141                                  
1983 01 30 09 00  1002.1   -11.3     2.7   120                                  
1983 01 30 12 00  1001.5   -11.6     1.0     0                                  
1983 01 30 15 00  1000.7   -12.8     2.7   135                                  
1983 01 30 18 00  1000.8   -12.8     1.8    79                                  
1983 01 30 21 00  1001.1   -12.5     3.1   120                                  
1983 01 31 00 00  1001.2   -11.3     3.5   135                                  
1983 01 31 03 00  1000.9   -10.3     4.9    90                                  
1983 01 31 06 00  1000.7   -11.4     6.2   104                                  
1983 01 31 09 00  1001.3   -11.9     6.2    90                                  
1983 01 31 12 00  1002.0   -12.4     5.5    83                                  
1983 01 31 15 00  1002.8   -13.0     4.9    90                                  
