Noel
Operated by US
latitude -79.33 longitude -111.08 height 1833m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

2000 01 19 00 00   775.4   -21.4 -999    -999                                   
2000 01 19 03 00   775.2   -22.0     8.4    12                                  
2000 01 19 06 00   774.9   -24.8    11.7    25                                  
2000 01 19 09 00   775.1   -25.8    12.9    25                                  
2000 01 19 12 00   775.3   -26.0    10.7     9                                  
2000 01 19 15 00   775.3   -22.9    15.2    35                                  
2000 01 19 18 00   775.5   -21.4    20.7    33                                  
2000 01 19 21 00   776.2   -20.4    22.0    18                                  
2000 01 20 00 00   776.7   -20.0    22.0    21                                  
2000 01 20 03 00   777.4   -21.9    15.8    33                                  
2000 01 20 06 00   777.7   -23.5    18.1    28                                  
2000 01 20 09 00   778.1   -25.9    19.7    32                                  
2000 01 20 12 00   778.4   -25.2    24.6    26                                  
2000 01 20 15 00   778.5   -23.9    24.0    14                                  
2000 01 20 18 00   778.4   -23.2    18.7    12                                  
2000 01 20 21 00   778.3   -22.0    17.2    35                                  
2000 01 21 00 00   777.7   -21.0    14.2    47                                  
2000 01 21 03 00   776.9   -22.8    14.8    45                                  
2000 01 21 06 00   776.5   -24.4    11.3    39                                  
2000 01 21 09 00   776.3   -25.8    13.3    35                                  
2000 01 21 12 00   775.9   -24.9    10.3    30                                  
2000 01 21 15 00   775.5   -23.8    10.7    37                                  
2000 01 21 18 00   775.0   -21.9    14.2    33                                  
2000 01 21 21 00   774.8   -20.8    15.2    29                                  
2000 01 22 00 00   774.4   -20.0     9.8    40                                  
2000 01 22 03 00   774.2   -22.6     0.6    39                                  
2000 01 22 06 00   773.6   -24.5     4.9    97                                  
2000 01 22 09 00   773.4   -28.6     5.8    90                                  
2000 01 22 12 00   773.3   -28.6     4.5    98                                  
2000 01 22 15 00   773.3   -27.0     4.5    91                                  
2000 01 22 18 00   773.2   -24.6     3.9    82                                  
2000 01 22 21 00   773.7   -21.9     3.5   118                                  
2000 01 23 00 00   774.0   -19.8     1.6   136                                  
2000 01 23 03 00   774.1   -22.2     3.5   184                                  
2000 01 23 06 00   774.1   -26.4     3.9   181                                  
2000 01 23 09 00   774.9   -27.4     1.6   140                                  
2000 01 23 12 00   775.6   -25.6     0.0     0                                  
2000 01 23 15 00   776.3   -26.1     7.8    50                                  
2000 01 23 18 00   777.2   -22.5     6.8    64                                  
2000 01 23 21 00   777.7   -20.5     5.5    70                                  
2000 01 24 00 00   778.2   -18.5     5.8    57                                  
2000 01 24 03 00   778.9   -20.9     4.9    40                                  
2000 01 24 06 00   779.4   -21.6     7.8    57                                  
2000 01 24 09 00   779.6   -21.4     8.8    73                                  
2000 01 24 12 00   779.6   -21.1    11.7    68                                  
2000 01 24 15 00   779.1   -20.1    13.8    42                                  
2000 01 24 18 00   778.8   -19.5    17.7    45                                  
2000 01 24 21 00   778.5   -19.1    16.2    40                                  
2000 01 25 00 00   777.5   -18.4    11.3    29                                  
2000 01 25 03 00   776.4   -18.9    15.8    59                                  
2000 01 25 06 00   775.6   -19.5    12.3    60                                  
2000 01 25 09 00   774.7   -19.9    11.7    53                                  
2000 01 25 12 00   774.2   -19.0    13.3    37                                  
2000 01 25 15 00   773.5   -18.4    13.3    39                                  
2000 01 25 18 00   773.1   -18.4    22.0    43                                  
2000 01 25 21 00   773.4   -19.5    22.0    33                                  
2000 01 26 00 00   774.0   -18.9    13.8    14                                  
2000 01 26 03 00   774.1   -18.2    14.8    39                                  
2000 01 26 06 00   775.2   -18.9    10.3    54                                  
2000 01 26 09 00   775.6   -19.5    10.3    49                                  
2000 01 26 12 00   776.1   -19.1    11.7    59                                  
2000 01 26 15 00   776.7   -18.6    18.1    56                                  
2000 01 26 18 00   777.4   -18.0    24.0    60                                  
2000 01 26 21 00   777.7   -16.6    24.0    46                                  
2000 01 27 00 00   777.7   -16.6    29.4    40                                  
2000 01 27 03 00   778.3   -17.4    25.5    15                                  
2000 01 27 06 00   779.2   -17.9    23.0    25                                  
2000 01 27 09 00   780.1   -18.5    24.6   360                                  
2000 01 27 12 00   780.8   -19.0    20.7     2                                  
2000 01 27 15 00   781.5   -18.0    11.7   360                                  
2000 01 27 18 00   782.2   -16.6    15.2   357                                  
2000 01 27 21 00   782.2   -15.6    10.7     1                                  
2000 01 28 00 00   782.7   -12.9     3.9    43                                  
2000 01 28 03 00   782.4   -18.9     5.8    87                                  
2000 01 28 06 00   782.3   -21.0     5.5    50                                  
2000 01 28 09 00   782.7   -23.1     6.4    49                                  
2000 01 28 12 00   783.0   -20.2     2.5    18                                  
2000 01 28 15 00   782.8   -17.1     5.5    36                                  
2000 01 28 18 00   782.8   -13.9     4.5    47                                  
2000 01 28 21 00   782.7   -12.4     6.4    14                                  
2000 01 29 00 00   782.4   -14.1     4.5    75                                  
