Patriot Hills
Operated by Antarctic:Logistics:&amp;:Expeditions
latitude -80.30 longitude -81.33 height 905m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999

2008 01 04 00 00   889.3    -8.7    24.8   185                                  
2008 01 04 00 10   889.5    -8.8    23.2   188                                  
2008 01 04 00 20   889.5    -8.8    19.9   185                                  
2008 01 04 00 30   889.6    -8.8    23.6   196                                  
2008 01 04 00 40   889.4    -8.8    28.7   185                                  
2008 01 04 00 50   889.7    -8.8    26.9   201                                  
2008 01 04 01 00   889.7    -8.7    22.2   192                                  
2008 01 04 01 10   889.7    -8.9    23.8   189                                  
2008 01 04 01 20   890.0    -8.9    15.8   190                                  
2008 01 04 01 30   889.8    -8.9    25.5   192                                  
2008 01 04 01 40   890.0    -8.9    28.7   207                                  
2008 01 04 01 50   889.9    -8.9    21.3   206                                  
2008 01 04 02 00   889.8    -9.0    25.4   185                                  
2008 01 04 02 10   889.8    -9.0    27.5   195                                  
2008 01 04 02 20   889.9    -9.1    24.0   182                                  
2008 01 04 02 30   890.0    -9.1    27.3   182                                  
2008 01 04 02 40   890.4    -9.2    16.4   201                                  
2008 01 04 02 50   890.1    -9.2    26.3   187                                  
2008 01 04 03 00   890.3    -9.3    26.3   199                                  
2008 01 04 03 10   890.4    -9.3    22.0   189                                  
2008 01 04 03 20   890.7    -9.3    21.6   194                                  
2008 01 04 03 30   890.7    -9.4    21.6   191                                  
2008 01 04 03 40   890.9    -9.5    22.2   201                                  
2008 01 04 03 50   891.0    -9.6    15.8   201                                  
2008 01 04 04 00   891.0    -9.6    22.2   190                                  
2008 01 04 04 10   891.1    -9.7    20.7   204                                  
2008 01 04 04 20   891.3    -9.8    22.0   205                                  
2008 01 04 04 30   891.2    -9.7    19.7   192                                  
2008 01 04 04 40   891.4    -9.8    18.5   200                                  
2008 01 04 04 50   891.5    -9.9    18.3   195                                  
2008 01 04 05 00   891.5   -10.1    17.7   199                                  
