Pegasus South
Operated by US
latitude -77.99 longitude 166.57 height 5m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1991 01 12 09 00   976.5     1.0     1.6   307                                  
1991 01 12 12 00   977.0     0.5     1.6   315                                  
1991 01 12 15 00   976.1    -2.5     0.6   315                                  
1991 01 12 18 00   975.5     0.8     0.0     0                                  
1991 01 12 21 00   974.7    -2.2     4.5    19                                  
1991 01 14 06 00   977.1    -5.2     4.9    52                                  
1991 01 14 09 00   977.0    -5.5     5.5    75                                  
1991 01 14 12 00   977.0    -6.4     2.5    60                                  
1991 01 14 15 00   976.7   -10.0     4.9    97                                  
1991 01 14 18 00   977.5    -8.8     7.0    78                                  
1991 01 14 21 00   978.5    -7.2     6.4    73                                  
1991 01 15 00 00   978.8    -6.4     7.0    68                                  
1991 01 15 03 00   978.6    -4.8     9.0    67                                  
1991 01 15 06 00   979.0    -4.9     7.4    71                                  
1991 01 15 09 00   978.9    -7.2     5.8    67                                  
1991 01 15 12 00   978.7   -10.0     5.5    74                                  
1991 01 15 15 00   978.6   -11.4     3.9    78                                  
1991 01 15 18 00   978.7    -9.1     0.0     0                                  
1991 01 15 21 00   978.5    -4.9     0.0     0                                  
1991 01 16 00 00   978.0    -2.1     2.0   360                                  
1991 01 16 03 00   977.0    -0.6     3.5   355                                  
1991 01 16 06 00   976.5    -1.4     4.9   358                                  
1991 01 16 09 00   975.7    -2.9     3.9    19                                  
1991 01 16 12 00   975.5    -6.0     7.0   358                                  
1991 01 16 15 00   975.9    -6.6     5.5   357                                  
1991 01 16 18 00   976.4    -6.6     3.5    73                                  
1991 01 16 21 00   976.8    -4.8     3.9    70                                  
1991 01 17 00 00   977.0    -2.2     3.9    60                                  
1991 01 17 03 00   977.1    -0.5     4.5    56                                  
1991 01 17 06 00   977.5     0.4     3.9   358                                  
1991 01 17 09 00   977.6    -1.5     2.5     2                                  
1991 01 17 12 00   978.5    -4.2     2.5    26                                  
1991 01 17 15 00   979.5    -6.5     2.5    64                                  
1991 01 17 18 00   980.6    -5.0     2.9    16                                  
1991 01 17 21 00   981.3    -4.1     7.0    28                                  
1991 01 18 00 00   981.5    -3.6     7.4    45                                  
1991 01 18 03 00   981.0    -3.0     3.9    64                                  
1991 01 18 06 00   980.4    -5.4     8.4    63                                  
1991 01 18 09 00   980.1    -6.6     9.4    59                                  
1991 01 18 12 00   979.4    -8.8     7.4    64                                  
1991 01 18 15 00   978.8    -8.4     7.4    73                                  
1991 01 18 18 00   978.8    -7.4     9.0    74                                  
1991 01 18 21 00   978.4    -6.4     5.8    80                                  
1991 01 19 00 00   978.4    -5.9     7.0    63                                  
1991 01 19 03 00   978.2    -6.0     6.4    88                                  
1991 01 19 06 00   978.6    -6.0     4.9    97                                  
1991 01 19 09 00   979.4    -6.5     8.0    87                                  
1991 01 19 12 00   980.3    -6.8     4.9   115                                  
1991 01 19 15 00   981.4    -7.2     2.9   118                                  
1991 01 19 18 00   982.6    -8.8     4.9    81                                  
1991 01 19 21 00   982.8    -7.9     3.9    68                                  
1991 01 20 00 00   984.5    -5.0     4.9    80                                  
1991 01 20 03 00   984.7    -2.9     2.0    26                                  
1991 01 20 06 00   985.0    -1.2     1.6   111                                  
1991 01 20 09 00   985.6    -3.0     0.0     0                                  
1991 01 20 12 00   986.5    -4.9     0.0     0                                  
1991 01 20 15 00   987.2    -7.4     3.5    60                                  
1991 01 20 18 00   988.5    -8.8     4.9    57                                  
1991 01 20 21 00   989.5    -6.4     9.0    70                                  
1991 01 21 00 00   990.4    -5.2     7.4    64                                  
1991 01 21 03 00   990.3    -2.9     4.9    70                                  
1991 01 21 06 00   989.9    -3.2     8.4    80                                  
1991 01 21 09 00   990.1    -3.6     5.8    66                                  
1991 01 21 12 00   989.8    -7.6     0.0     0                                  
1991 01 21 15 00   988.8    -8.5     0.0     0                                  
1991 01 21 18 00   987.9    -8.8     3.9    42                                  
1991 01 21 21 00   987.6    -7.6     4.5    61                                  
1991 01 22 00 00   987.0    -4.6     5.5    57                                  
1991 01 22 03 00   986.2    -2.9     2.5    35                                  
1991 01 22 06 00   985.8    -3.5     2.5   125                                  
1991 01 22 09 00   985.4    -5.6     3.5     2                                  
1991 01 22 12 00   985.2   -10.0     4.5    28                                  
1991 01 22 15 00   984.9   -10.5     3.5    43                                  
1991 01 22 18 00   985.1    -9.8     3.5    94                                  
1991 01 22 21 00   984.4    -7.9     2.9    85                                  
1991 01 23 00 00   983.7    -6.1     2.9    90                                  
1991 01 23 03 00   982.3    -4.6     5.5    56                                  
1991 01 23 06 00   980.7    -4.2     4.9    63                                  
1991 01 23 09 00   979.8    -5.2     6.4   144                                  
1991 01 23 12 00   979.0    -7.8     9.4   160                                  
1991 01 23 15 00   978.5   -10.2     7.0    33                                  
1991 01 23 18 00   978.2    -9.4     1.6   187                                  
1991 01 23 21 00   978.5    -9.0     8.4   106                                  
1991 01 24 00 00   978.7    -6.8     0.0     0                                  
1991 01 24 03 00   978.7    -7.9     7.4    82                                  
1991 01 24 06 00   979.5    -8.6    11.3    66                                  
1991 01 24 09 00   981.2    -8.4     6.4    49                                  
1991 01 24 12 00   982.0    -7.9     3.9    99                                  
1991 01 24 18 00   985.1   -10.8     5.8   137                                  
1991 01 24 21 00   986.3    -9.5    11.3   105                                  
1991 01 25 00 00   987.1    -9.4    12.5    74                                  
1991 01 25 03 00   987.8    -7.4     8.4    45                                  
1991 01 25 06 00   988.3    -6.0     8.0    43                                  
1991 01 25 09 00   988.6    -5.6     4.5    68                                  
1991 01 25 12 00   989.3    -4.6     5.8   133                                  
1991 01 25 15 00   989.3    -4.9     7.4   104                                  
1991 01 25 21 00   992.0   -10.4    11.9    53                                  
1991 01 26 00 00   992.1   -10.4    12.9    59                                  
1991 01 26 03 00   991.8    -9.2    10.3    63                                  
1991 01 26 06 00   991.4    -8.1     5.5    46                                  
1991 01 26 09 00   991.0    -8.8     0.0     0                                  
1991 01 26 12 00   990.8   -12.1     2.5   149                                  
1991 01 26 15 00   991.1    -3.2    11.9   189                                  
1991 01 26 18 00   991.3    -4.6     8.4   149                                  
1991 01 26 21 00   992.1    -5.9     3.5    14                                  
1991 01 27 00 00   992.5    -2.9     6.4   137                                  
1991 01 27 03 00   991.7    -4.0     7.4    53                                  
1991 01 27 06 00   991.3    -3.2     4.9    28                                  
1991 01 27 09 00   991.2    -6.0     7.4    50                                  
1991 01 27 12 00   990.5    -8.2     4.5    99                                  
1991 01 27 15 00   989.9   -11.2     5.5    78                                  
1991 01 27 18 00   989.5   -10.5     2.0   115                                  
1991 01 27 21 00   988.7    -8.6     3.5    70                                  
1991 01 28 00 00   987.6    -6.1     2.0   104                                  
1991 01 28 03 00   987.1    -4.6     7.4    60                                  
1991 01 28 06 00   986.9    -4.5     2.9   360                                  
1991 01 28 09 00   986.3    -6.4     2.0   357                                  
1991 01 28 12 00   985.8   -10.8     4.9   102                                  
1991 01 28 15 00   986.0   -12.6     3.9   132                                  
1991 01 28 18 00   985.9   -11.1     2.9    80                                  
1991 01 28 21 00   986.0    -9.0     4.9    52                                  
1991 01 29 00 00   986.1    -6.1     3.5    80                                  
1991 01 29 03 00   985.6    -4.5     4.9    53                                  
1991 01 29 06 00   985.7    -6.4     8.4    32                                  
1991 01 29 09 00   985.6    -7.8     5.8    68                                  
1991 01 29 12 00   985.8    -8.8     4.5    67                                  
1991 01 29 15 00   985.8   -13.0     8.0    53                                  
1991 01 29 18 00   986.1   -13.0     5.8    52                                  
1991 01 29 21 00   986.2    -5.4     2.5   112                                  
1991 01 30 00 00   985.5    -5.2     7.0    77                                  
1991 01 30 03 00   984.6    -4.1     0.6   113                                  
1991 01 30 06 00   983.8    -5.9     4.9    21                                  
1991 01 30 09 00   982.8   -10.2     3.9    60                                  
1991 01 30 12 00   982.5    -8.4     4.9    37                                  
1991 01 30 15 00   982.1   -11.2     2.0   119                                  
1991 01 30 18 00   982.3    -8.8     2.9     2                                  
1991 01 30 21 00   982.3    -6.5     3.5   317                                  
1991 01 31 00 00   982.7    -4.4     8.4   147                                  
1991 01 31 03 00   983.0    -3.9     9.4   201                                  
1991 01 31 06 00   985.2    -3.6    11.3   188                                  
1991 01 31 09 00   987.3    -6.2     4.5    43                                  
1991 01 31 12 00   988.8    -7.8     2.0    16                                  
1991 01 31 15 00   990.5    -5.6     4.5   226                                  
1991 01 31 18 00   992.9    -6.5     4.9   153                                  
1991 01 31 21 00   994.5    -8.9     5.8    46                                  
1991 02 01 00 00   996.4    -4.8     3.9    42                                  
1991 02 01 03 00   996.6    -2.9     5.8     9                                  
1991 02 01 06 00   998.1    -7.0     7.0    68                                  
1991 02 01 09 00   999.1    -8.1     9.0    46                                  
1991 02 01 12 00 -999      -10.2 -999    -999                                   
1991 02 01 15 00  1000.8   -13.5     5.5    19                                  
1991 02 01 18 00  1001.3   -12.4     3.5    43                                  
1991 02 01 21 00  1001.7    -8.8     7.0    46                                  
1991 02 02 00 00  1001.5    -7.1     3.9    33                                  
1991 02 02 03 00  1000.8    -6.4     5.5    45                                  
1991 02 02 09 00  1000.3    -9.0     8.0    50                                  
1991 02 02 12 00  1000.2   -11.9     5.8    47                                  
1991 02 02 18 00   999.5   -11.8     2.0    78                                  
1991 02 02 21 00   998.9   -11.4     3.5    88                                  
1991 02 03 00 00   998.2   -10.8     5.8    60                                  
1991 02 03 03 00   997.2   -10.0     5.5    84                                  
1991 02 03 06 00   996.1    -9.6     7.0    81                                  
