Port Martin
Operated by US
latitude -66.816667 longitude 141.383333 height 39m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1990 01 19 06 00 -999        1.9     3.5    82                                  
1990 01 19 09 00 -999        1.9     0.6   133                                  
1990 01 19 12 00 -999       -0.5     4.5   142                                  
1990 01 19 15 00 -999       -1.6    11.3   122                                  
1990 01 19 18 00 -999        0.8    10.7   146                                  
1990 01 19 21 00 -999        1.1     3.9    94                                  
1990 01 20 03 00 -999        3.0    12.3   132                                  
1990 01 20 06 00 -999        2.5     8.4   113                                  
1990 01 20 09 00 -999        1.9    11.7   111                                  
1990 01 20 12 00 -999        1.6    30.0   130                                  
1990 01 20 15 00 -999        1.1    30.0   136                                  
1990 01 20 18 00 -999        1.1    35.9   137                                  
1990 01 20 21 00 -999        1.4    28.1   139                                  
1990 01 21 00 00 -999        1.6    28.1   146                                  
1990 01 21 03 00 -999        2.5    28.1   171                                  
1990 01 21 06 00 -999        3.1    24.6   156                                  
1990 01 21 09 00 -999        2.5    25.2   167                                  
1990 01 21 12 00 -999        0.8    36.3   172                                  
1990 01 21 15 00 -999       -0.9    31.0   165                                  
1990 01 21 18 00 -999       -1.8    31.0   154                                  
1990 01 21 21 00 -999       -0.9    30.0   156                                  
1990 01 22 00 00 -999        1.1    21.1   139                                  
1990 01 22 03 00 -999        2.1    20.7   151                                  
1990 01 22 06 00 -999        2.6    17.7   150                                  
1990 01 22 09 00 -999        1.0    25.5   163                                  
1990 01 22 12 00 -999       -0.6    29.4   158                                  
1990 01 22 15 00 -999       -1.6    33.9   157                                  
1990 01 22 18 00 -999       -2.6    31.4   163                                  
1990 01 22 21 00 -999       -2.9    35.3   161                                  
1990 01 23 00 00 -999       -2.0    29.4   160                                  
1990 01 23 03 00 -999       -0.8    41.7   151                                  
1990 01 23 06 00 -999        0.0    39.8   146                                  
1990 01 23 09 00 -999        0.1    34.9   149                                  
1990 01 23 12 00 -999        0.0    21.1   180                                  
1990 01 23 15 00 -999        1.3    22.0   158                                  
1990 01 23 18 00 -999        0.0    34.3   127                                  
1990 01 23 21 00 -999        0.5    27.5   144                                  
1990 01 24 00 00 -999        1.1    37.8   133                                  
1990 01 24 03 00 -999        0.8    48.2   144                                  
1990 01 24 06 00 -999        0.6    41.3   137                                  
1990 01 24 09 00 -999        1.1    51.1   133                                  
1990 01 24 12 00 -999        1.6    46.6   136                                  
1990 01 24 15 00 -999        1.1    40.4   127                                  
1990 01 24 18 00 -999        1.5    39.8   129                                  
1990 01 24 21 00 -999        1.5    20.7   153                                  
1990 01 25 00 00 -999        1.6    34.9   170                                  
1990 01 25 03 00 -999        1.6    29.1   156                                  
1990 01 25 06 00 -999        1.5    33.9   150                                  
1990 01 25 09 00 -999        1.1    40.4   151                                  
1990 01 25 12 00 -999       -0.5    36.3   158                                  
1990 01 25 15 00 -999       -2.0    37.4   150                                  
1990 01 25 18 00 -999       -3.4    32.0   180                                  
1990 01 25 21 00 -999       -2.9    29.4   171                                  
1990 01 26 00 00 -999       -0.8    19.7   149                                  
1990 01 26 03 00 -999       -0.5    12.3    56                                  
1990 01 26 06 00 -999        1.3     2.0    60                                  
1990 01 26 09 00 -999        1.5     1.6   302                                  
1990 01 26 12 00 -999       -1.6     0.6    21                                  
1990 01 26 15 00 -999       -2.3    18.7   144                                  
1990 01 26 18 00 -999       -3.1    24.0   147                                  
1990 01 26 21 00 -999       -2.9    31.4   144                                  
1990 01 27 00 00 -999       -0.9    23.0   158                                  
1990 01 27 03 00 -999        0.6    17.2   150                                  
1990 01 27 06 00 -999        1.3    21.6   156                                  
1990 01 27 09 00 -999        0.0    10.3   122                                  
1990 01 27 12 00 -999       -2.1    23.6   143                                  
1990 01 27 15 00 -999       -3.9    28.1   156                                  
1990 01 27 18 00 -999       -5.3    34.3   170                                  
1990 01 27 21 00 -999       -4.5    31.0   163                                  
1990 01 28 00 00 -999       -1.5    20.7   156                                  
1990 01 28 03 00 -999        0.0    22.0   158                                  
1990 01 28 06 00 -999        0.6    14.2   119                                  
1990 01 28 09 00 -999       -0.3    13.8   139                                  
1990 01 28 12 00 -999       -0.8    21.1   136                                  
1990 01 28 15 00 -999       -1.9    11.7   150                                  
1990 01 28 18 00 -999       -3.1    21.6   156                                  
1990 01 28 21 00 -999       -3.1    23.6   174                                  
1990 01 29 00 00 -999       -1.3    16.8   153                                  
1990 01 29 03 00 -999       -0.5    19.7   127                                  
1990 01 29 06 00 -999        0.1    11.3   151                                  
1990 01 29 09 00 -999       -0.5     8.4   127                                  
1990 01 29 12 00 -999       -1.6    14.8   135                                  
1990 01 29 15 00 -999       -1.9     6.4   201                                  
1990 01 29 18 00 -999       -4.6    16.2   175                                  
1990 01 29 21 00 -999       -2.6    11.7   142                                  
1990 01 30 00 00 -999        1.6     0.6   111                                  
1990 01 30 03 00 -999        0.0    12.9   136                                  
1990 01 30 06 00 -999       -1.0    13.3   116                                  
1990 01 30 09 00 -999       -2.3    11.3   118                                  
1990 01 30 12 00 -999       -2.3    19.1   164                                  
1990 01 30 15 00 -999       -3.8    26.5   156                                  
1990 01 30 18 00 -999       -4.0    25.5   161                                  
1990 01 30 21 00 -999       -2.9    18.1   167                                  
1990 01 31 00 00 -999       -2.0    16.8   167                                  
1990 01 31 03 00 -999       -0.5    22.0   164                                  
1990 01 31 06 00 -999        0.6    13.8   140                                  
1990 01 31 09 00 -999       -0.5     7.4    88                                  
1990 01 31 12 00 -999       -2.5     4.5   198                                  
1990 01 31 15 00 -999       -6.4    23.0   178                                  
1990 01 31 18 00 -999       -7.6    22.6   168                                  
1990 01 31 21 00 -999       -6.3    19.1   161                                  
1990 02 01 00 00 -999       -2.3    12.3   156                                  
1990 02 01 03 00 -999        0.0     4.9   268                                  
1990 02 01 06 00 -999        0.9     9.4   320                                  
1990 02 01 09 00 -999        1.1     3.9   296                                  
1990 02 01 12 00 -999       -2.9    16.8   175                                  
1990 02 01 15 00 -999       -6.1    26.5   156                                  
1990 02 01 18 00 -999       -6.4    31.4   160                                  
1990 02 01 21 00 -999       -5.3    29.1   167                                  
1990 02 02 00 00 -999       -3.3    20.1   144                                  
1990 02 02 03 00 -999        0.5     6.4   105                                  
1990 02 02 06 00 -999       -0.5     6.8   307                                  
1990 02 02 09 00 -999       -0.1     2.0   330                                  
1990 02 02 12 00 -999       -3.1    12.3   165                                  
1990 02 02 15 00 -999       -6.1    19.1   178                                  
1990 02 02 18 00 -999       -7.6    22.6   164                                  
1990 02 02 21 00 -999       -6.3    23.6   164                                  
1990 02 03 00 00 -999       -5.0    30.0   160                                  
1990 02 03 03 00 -999       -4.6    33.0   157                                  
1990 02 03 06 00 -999       -3.6    23.6   163                                  
1990 02 03 09 00 -999       -4.3    29.1   167                                  
1990 02 03 12 00 -999       -6.0    26.1   170                                  
1990 02 03 15 00 -999       -8.1    23.6   177                                  
1990 02 03 18 00 -999      -10.4    28.5   174                                  
1990 02 03 21 00 -999      -10.5    30.4   163                                  
1990 02 04 00 00 -999       -9.1    31.4   161                                  
1990 02 04 03 00 -999       -6.1    48.6   187                                  
1990 02 04 06 00 -999       -6.4    39.4   171                                  
1990 02 04 09 00 -999       -5.3    52.7   177                                  
1990 02 04 12 00 -999       -7.9    53.0   172                                  
1990 02 04 15 00 -999       -8.6    33.9   167                                  
1990 02 04 18 00 -999       -9.5    45.6   164                                  
1990 02 04 21 00 -999       -8.1    32.0   170                                  
1990 02 05 00 00 -999       -3.6    25.2   175                                  
1990 02 05 03 00 -999       -2.9    23.6   187                                  
1990 02 05 06 00 -999       -2.5    10.7   144                                  
1990 02 05 09 00 -999       -4.8    24.0   189                                  
1990 02 05 12 00 -999       -6.9    40.4   181                                  
1990 02 05 15 00 -999       -7.6    41.7   178                                  
1990 02 05 18 00 -999       -7.0    33.0   178                                  
1990 02 05 21 00 -999       -5.6    17.7   215                                  
1990 02 06 00 00 -999       -2.5    19.1   189                                  
1990 02 06 03 00 -999       -1.0    12.3   125                                  
1990 02 06 06 00 -999        1.1    12.9   195                                  
1990 02 06 09 00 -999       -1.3    23.6   181                                  
1990 02 06 12 00 -999       -3.5    30.4   187                                  
1990 02 06 15 00 -999       -4.8    36.3   184                                  
1990 02 06 18 00 -999       -6.0    36.3   181                                  
1990 02 06 21 00 -999       -4.6    33.9   170                                  
1990 02 07 00 00 -999       -2.4    24.0   164                                  
1990 02 07 03 00 -999       -1.9    17.7   160                                  
1990 02 07 06 00 -999       -2.4    20.1   157                                  
1990 02 07 09 00 -999       -1.9    20.7   170                                  
1990 02 07 12 00 -999       -4.6    31.0   175                                  
1990 02 07 15 00 -999       -5.9    38.8   182                                  
1990 02 07 18 00 -999       -6.5    45.2   174                                  
1990 02 07 21 00 -999       -5.3    33.9   184                                  
1990 02 08 00 00 -999       -4.0    41.3   170                                  
1990 02 08 03 00 -999       -0.8    18.7   172                                  
1990 02 08 06 00 -999        0.5     5.8   198                                  
1990 02 08 09 00 -999       -1.6    31.0   171                                  
1990 02 08 12 00 -999       -4.6    30.4   194                                  
1990 02 08 15 00 -999       -7.0    42.3   172                                  
1990 02 08 18 00 -999       -7.8    39.4   172                                  
1990 02 08 21 00 -999       -7.8    38.8   170                                  
1990 02 09 00 00 -999       -5.3    30.4   177                                  
1990 02 09 03 00 -999       -3.4    37.8   184                                  
1990 02 09 06 00 -999       -1.9    24.0   191                                  
1990 02 09 09 00 -999       -2.9    21.6   172                                  
1990 02 09 12 00 -999       -4.8    30.0   175                                  
1990 02 09 15 00 -999       -6.6    29.4   170                                  
1990 02 09 18 00 -999       -8.0    33.9   170                                  
1990 02 09 21 00 -999       -7.9    31.4   178                                  
1990 02 10 00 00 -999       -5.3    33.0   167                                  
1990 02 10 03 00 -999       -3.6    13.8   146                                  
1990 02 10 09 00 -999       -5.3    25.5   161                                  
1990 02 10 12 00 -999       -7.6    38.4   167                                  
1990 02 10 15 00 -999       -8.9    37.8   167                                  
1990 02 10 18 00 -999      -10.0    38.8   177                                  
1990 02 10 21 00 -999       -8.8    43.7   160                                  
1990 02 11 00 00 -999       -6.5    32.4   140                                  
1990 02 11 03 00 -999       -5.8    27.1   154                                  
1990 02 11 06 00 -999       -7.0    34.9   157                                  
1990 02 11 09 00 -999       -7.6    35.9   172                                  
1990 02 11 12 00 -999       -8.8    36.9   172                                  
1990 02 11 15 00 -999       -9.0    49.1   150                                  
1990 02 11 18 00 -999      -10.3    50.7   174                                  
1990 02 11 21 00 -999       -9.1    38.8   156                                  
1990 02 12 00 00 -999       -6.0    30.4   150                                  
1990 02 12 03 00 -999       -4.9    22.6   154                                  
1990 02 12 06 00 -999       -3.4    20.1   178                                  
1990 02 12 09 00 -999       -2.3     2.9   313                                  
1990 02 12 12 00 -999       -6.6    23.6   178                                  
1990 02 12 15 00 -999       -9.6    32.0   174                                  
1990 02 12 18 00 -999      -11.1    31.0   171                                  
1990 02 12 21 00 -999       -8.9    20.1   165                                  
1990 02 13 00 00 -999       -6.6    17.2   171                                  
1990 02 13 03 00 -999       -3.4    13.3   170                                  
