Ranvik_new
Operated by Australia
latitude -68.85 longitude 78.03 height 339m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied byAAD

2000 02 04 10 22   947.0    -1.4 -999        0                                  
2000 02 04 11 22   946.6    -1.1 -999      342                                  
2000 02 04 12 21   946.2    -0.9 -999      180                                  
2000 02 04 13 22   945.6    -2.1 -999      156                                  
2000 02 04 14 22   945.2    -2.3 -999      150                                  
2000 02 04 15 21   944.8    -3.2 -999      180                                  
2000 02 04 16 22   944.4    -3.2 -999      168                                  
2000 02 04 17 22   944.2    -3.6 -999      138                                  
2000 02 04 18 21   944.0    -4.1 -999       72                                  
2000 02 04 20 22   943.8    -5.8 -999       66                                  
2000 02 04 21 21   943.6    -6.1 -999       66                                  
2000 02 04 23 22   944.0    -6.5 -999       60                                  
2000 02 05 00 21   944.2    -6.2 -999       60                                  
2000 02 05 01 22   944.4    -6.1 -999       60                                  
2000 02 05 02 22   944.8    -5.6 -999       48                                  
2000 02 05 04 22   945.4    -4.2 -999       12                                  
2000 02 05 07 20   946.2    -3.5 -999      342                                  
2000 02 05 09 21   947.0    -3.3 -999      318                                  
2000 02 05 10 20   947.4    -3.5 -999      342                                  
2000 02 05 11 21   947.8    -3.6 -999      330                                  
2000 02 05 12 21   948.0    -3.8 -999      336                                  
2000 02 05 13 20   948.0    -4.0 -999        0                                  
2000 02 05 14 21   948.2    -4.2 -999      354                                  
2000 02 05 15 21   948.4    -4.6 -999       18                                  
2000 02 05 16 20   948.6    -5.4 -999        0                                  
2000 02 05 17 21   949.0    -6.6 -999       30                                  
2000 02 05 18 21   949.6    -7.1 -999       36                                  
2000 02 05 19 20   950.0    -8.2 -999       60                                  
2000 02 05 20 21   950.4    -8.1 -999       60                                  
2000 02 05 21 21   950.8    -8.2 -999       66                                  
2000 02 05 22 20   951.0    -8.5 -999       66                                  
2000 02 05 23 21   951.0    -9.0 -999       66                                  
2000 02 06 00 21   950.8    -8.9 -999       66                                  
2000 02 06 01 20   950.8    -8.4 -999       60                                  
2000 02 06 02 21   950.6    -7.6 -999       60                                  
2000 02 06 04 20   950.2    -6.1 -999       48                                  
2000 02 06 07 20   948.8    -4.1 -999       30                                  
2000 02 06 08 21   948.2    -3.5 -999       30                                  
2000 02 06 10 20   947.0    -3.3 -999       36                                  
2000 02 06 11 21   946.2    -2.9 -999       12                                  
2000 02 06 12 21   945.4    -3.8 -999       48                                  
2000 02 06 13 20   944.6    -4.3 -999       48                                  
2000 02 06 14 19   944.0    -4.9 -999       42                                  
2000 02 06 15 19   943.8    -5.2 -999       30                                  
2000 02 06 16 20   943.4    -6.3 -999       48                                  
2000 02 06 17 19   943.0    -7.1 -999       48                                  
2000 02 06 18 19   943.0    -7.6 -999       54                                  
2000 02 06 19 20   943.0    -7.6 -999       54                                  
2000 02 06 20 19   942.8    -7.8 -999       48                                  
2000 02 06 21 19   942.8    -9.2 -999       72                                  
2000 02 06 22 20   942.2    -9.1 -999       66                                  
2000 02 07 00 19   942.0    -8.8 -999       66                                  
2000 02 07 01 20   941.8    -8.7 -999       60                                  
2000 02 07 02 19   941.8    -8.3 -999       60                                  
2000 02 07 03 19   941.8    -7.5 -999       54                                  
2000 02 07 05 19   942.2    -5.6 -999       42                                  
2000 02 07 08 19   942.0    -4.2 -999        6                                  
2000 02 07 10 20   941.6    -3.9 -999        6                                  
2000 02 07 12 19   941.4    -2.4 -999      204                                  
2000 02 07 13 20   941.2    -4.8 -999      174                                  
2000 02 07 14 19   941.0    -5.1 -999      168                                  
2000 02 07 15 19   940.8    -6.2 -999      126                                  
2000 02 07 17 19   940.8    -7.9 -999       66                                  
2000 02 07 18 19   940.8    -8.2 -999       72                                  
2000 02 07 19 20   941.0    -8.4 -999       72                                  
2000 02 07 20 19   941.2    -8.2 -999       72                                  
2000 02 07 22 18   941.6    -8.0 -999       72                                  
2000 02 07 23 19   941.8    -8.0 -999       72                                  
2000 02 08 00 18   942.2    -7.8 -999       66                                  
2000 02 08 01 18   942.6    -8.0 -999       66                                  
2000 02 08 03 18   943.2    -6.8 -999       60                                  
2000 02 08 06 18   944.4    -5.0 -999       36                                  
2000 02 08 08 19   945.4    -4.3 -999      348                                  
2000 02 08 10 18   946.0    -3.9 -999      306                                  
2000 02 08 11 19   946.4    -4.4 -999      312                                  
2000 02 08 12 18   946.6    -4.1 -999      312                                  
2000 02 08 13 18   946.8    -3.8 -999      348                                  
2000 02 08 15 18   947.0    -6.1 -999       24                                  
2000 02 08 16 18   947.2    -7.2 -999       66                                  
2000 02 08 17 19   947.4    -7.6 -999       54                                  
2000 02 08 18 18   947.4    -8.6 -999       78                                  
2000 02 08 20 19   947.6    -9.8 -999       78                                  
2000 02 08 21 18   947.6    -9.8 -999       78                                  
2000 02 08 22 18   947.2    -9.9 -999       78                                  
2000 02 08 23 19   946.6   -10.1 -999       78                                  
2000 02 09 01 18   945.6   -10.1 -999       78                                  
2000 02 09 03 18   944.8    -8.7 -999       66                                  
2000 02 09 04 18   944.2    -8.1 -999       60                                  
2000 02 09 08 17   942.8    -3.7 -999      258                                  
2000 02 09 09 18   942.8    -4.2 -999      204                                  
2000 02 09 10 18   942.4    -6.0 -999      198                                  
2000 02 09 11 17   942.2    -5.4 -999      198                                  
2000 02 09 13 18   942.0    -5.6 -999        0                                  
2000 02 09 15 18   942.4    -6.7 -999        0                                  
2000 02 09 16 18   942.4    -8.4 -999       96                                  
2000 02 09 18 18   942.8   -10.6 -999       78                                  
2000 02 09 19 18   943.2   -11.3 -999       72                                  
2000 02 09 20 17   943.4   -11.8 -999       72                                  
2000 02 09 21 18   943.8   -12.2 -999       66                                  
2000 02 09 23 17   944.6   -12.7 -999       72                                  
2000 02 10 00 18   945.0   -12.3 -999       72                                  
2000 02 10 01 18   945.6   -11.6 -999       66                                  
2000 02 10 02 17   945.6   -11.1 -999       66                                  
2000 02 10 04 18   946.2   -10.0 -999       60                                  
2000 02 10 08 17   947.2    -8.7 -999       18                                  
2000 02 10 09 18   947.4    -8.8 -999       12                                  
2000 02 10 11 17   947.6    -8.3 -999       36                                  
2000 02 10 13 17   947.2    -8.1 -999       36                                  
2000 02 10 14 17   947.2    -8.0 -999       24                                  
2000 02 10 16 17   946.8    -8.4 -999       36                                  
2000 02 10 18 16   945.6    -9.4 -999       48                                  
2000 02 10 19 17   945.2    -9.9 -999       60                                  
2000 02 10 21 16   944.0    -9.9 -999       60                                  
2000 02 10 22 17   943.2   -10.2 -999       60                                  
2000 02 10 23 17   943.0   -10.0 -999       60                                  
2000 02 11 00 16   942.6    -9.6 -999       48                                  
2000 02 11 02 17   942.6    -9.3 -999       54                                  
2000 02 11 04 17   942.6    -8.3 -999       42                                  
2000 02 11 05 17   942.8    -8.4 -999       42                                  
2000 02 11 07 17   942.2    -8.0 -999       48                                  
2000 02 11 09 16   941.4    -7.0 -999       42                                  
2000 02 11 10 17   941.0    -7.0 -999       48                                  
2000 02 11 11 17   941.0    -7.2 -999       48                                  
2000 02 11 12 16   940.4    -7.2 -999       48                                  
2000 02 11 13 17   940.2    -7.5 -999       60                                  
2000 02 11 14 17   939.6    -8.3 -999       66                                  
2000 02 11 15 16   939.0    -8.3 -999       66                                  
2000 02 11 16 17   938.6    -9.1 -999       66                                  
2000 02 11 17 17   938.6    -9.8 -999       72                                  
2000 02 11 18 16   938.2    -9.9 -999        0                                  
2000 02 11 19 15   938.0    -9.9 -999      288                                  
2000 02 11 20 15   937.8   -10.1 -999      288                                  
2000 02 11 21 16   938.0    -9.3 -999      294                                  
2000 02 11 22 15   938.2    -9.8 -999      276                                  
2000 02 11 23 15   938.2   -10.0 -999      288                                  
2000 02 12 00 16   938.6   -10.2 -999      282                                  
2000 02 12 01 15   938.8   -10.3 -999      294                                  
2000 02 12 03 16   940.2    -8.8 -999       54                                  
2000 02 12 05 15   941.2    -7.8 -999       36                                  
2000 02 12 07 15   942.0    -6.9 -999       30                                  
