Sandra
Operated by US
latitude -74.49 longitude 160.49 height 1525m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1988 01 19 03 00   812.7   -13.9    18.1   260                                  
1988 01 19 06 00   812.3   -12.1    14.2   268                                  
1988 01 19 09 00   812.5   -14.2    16.2   270                                  
1988 01 19 12 00   811.8   -17.4    16.8   280                                  
1988 01 19 15 00   811.2   -19.5    17.2   275                                  
1988 01 19 18 00   811.3   -19.5    17.2   273                                  
1988 01 19 21 00   811.2   -17.6    16.8   281                                  
1988 01 20 00 00   810.9   -15.6    16.8   267                                  
1988 01 20 03 00   810.4   -14.4    14.8   261                                  
1988 01 20 06 00   810.3   -14.1    13.3   267                                  
1988 01 20 09 00   810.7   -15.9     4.5   309                                  
1988 01 20 12 00   811.0   -19.7     3.5   274                                  
1988 01 20 15 00   811.3   -19.9     4.9   267                                  
1988 01 20 18 00   811.6   -17.5     7.8   260                                  
1988 01 20 21 00   812.3   -16.5    11.7   253                                  
1988 01 21 00 00   812.9   -13.5     7.8   244                                  
1988 01 21 03 00   813.4   -12.0     9.8   229                                  
1988 01 21 06 00   813.8   -11.1     6.4   225                                  
1988 01 21 09 00   814.3   -14.7     3.9   277                                  
1988 01 21 12 00   814.8   -15.7     9.4   267                                  
1988 01 21 15 00   815.1   -18.2    10.3   275                                  
1988 01 21 18 00   815.3   -19.6    13.8   277                                  
1988 01 21 21 00   815.7   -18.6    15.2   291                                  
1988 01 22 00 00   815.3   -16.1    13.8   292                                  
1988 01 22 03 00   814.9   -15.0    15.2   278                                  
1988 01 22 06 00   814.4   -14.5    17.2   284                                  
1988 01 22 09 00   813.8   -16.6    12.3   295                                  
1988 01 22 12 00   813.0   -19.9    14.8   305                                  
1988 01 22 15 00   812.4   -22.1    19.1   305                                  
1988 01 22 18 00   812.0   -22.7    17.2   298                                  
1988 01 22 21 00   812.5   -19.0    13.3   280                                  
1988 01 23 00 00   812.8   -15.9     8.8   273                                  
1988 01 23 03 00   812.3   -13.1     3.9   261                                  
1988 01 23 06 00   812.1   -10.9     0.0     0                                  
1988 01 23 09 00   811.5   -15.4    11.7   273                                  
1988 01 23 12 00   811.1   -20.4    10.3   280                                  
1988 01 23 15 00   810.0   -22.7    13.8   303                                  
1988 01 23 18 00   809.8   -22.5    14.8   266                                  
1988 01 23 21 00   809.8   -19.7    19.7   271                                  
1988 01 24 00 00   809.4   -17.7    20.1   267                                  
1988 01 24 03 00   808.9   -15.9    22.0   270                                  
1988 01 24 06 00   809.4   -13.9    14.8   236                                  
1988 01 24 09 00   810.4   -16.0    15.8   260                                  
1988 01 24 12 00   810.8   -19.1    19.7   277                                  
1988 01 24 15 00   810.5   -21.1    24.6   270                                  
1988 01 24 18 00   811.0   -21.4    22.6   280                                  
1988 01 24 21 00   810.8   -20.2    25.5   280                                  
1988 01 25 00 00   811.3   -17.2    22.6   287                                  
1988 01 25 03 00   811.4   -15.0    14.2   288                                  
1988 01 25 06 00   811.6   -14.1     9.8   275                                  
1988 01 25 09 00   812.1   -16.1     4.9   308                                  
1988 01 25 12 00   813.1   -21.2     1.0   208                                  
1988 01 25 15 00   814.2   -19.0     2.0   302                                  
1988 01 25 18 00   815.1   -17.6     3.5   247                                  
1988 01 25 21 00   815.8   -15.5     2.9   140                                  
1988 01 26 00 00   816.9   -13.2     2.9   173                                  
1988 01 26 03 00   816.9   -12.5     3.5   173                                  
1988 01 26 06 00   817.5   -13.1     2.0   198                                  
1988 01 26 09 00   818.0   -15.5     3.5   260                                  
1988 01 26 12 00   818.1   -22.2     6.8   299                                  
1988 01 26 15 00   818.2   -22.7     5.5   294                                  
1988 01 26 18 00   818.2   -17.5    15.2   237                                  
1988 01 27 00 00   818.8   -14.9     7.8   292                                  
1988 01 27 03 00   817.1   -14.2    11.3   298                                  
1988 01 27 06 00   816.2   -14.5    11.7   268                                  
1988 01 27 09 00   815.6   -17.2     9.8   278                                  
1988 01 27 12 00   814.4   -21.6    13.8   308                                  
1988 01 27 15 00   813.5   -23.6    13.3   294                                  
1988 01 27 18 00   813.3   -23.6    11.3   291                                  
1988 01 27 21 00   814.0   -19.5     3.5   287                                  
1988 01 28 00 00   814.3   -16.4     2.9   260                                  
1988 01 28 03 00   814.6   -14.4     4.9   188                                  
1988 01 28 06 00   815.1   -15.2     2.9   150                                  
1988 01 28 09 00   815.4   -15.9     3.9   161                                  
1988 01 28 12 00   815.5   -18.9     0.0     0                                  
1988 01 28 15 00   815.3   -23.1     4.9   285                                  
1988 01 28 18 00   815.0   -22.5     8.8   281                                  
1988 01 28 21 00   814.2   -18.4    11.7   278                                  
1988 01 29 00 00   813.4   -16.9    14.8   268                                  
1988 01 29 03 00   812.1   -16.2    13.3   247                                  
1988 01 29 06 00   810.9   -16.7    19.7   271                                  
1988 01 29 09 00   809.3   -19.2    18.1   281                                  
1988 01 29 12 00   807.6   -22.5    16.2   282                                  
1988 01 29 15 00   806.7   -24.1    10.3   281                                  
1988 01 29 18 00   805.7   -23.1    15.8   271                                  
1988 01 29 21 00   805.1   -21.5    17.2   278                                  
1988 01 30 00 00   803.8   -19.0    16.2   277                                  
1988 01 30 03 00   803.0   -16.7    14.2   261                                  
1988 01 30 06 00   802.9   -14.7     6.4   263                                  
1988 01 30 09 00   803.0   -16.5     2.9   274                                  
1988 01 30 12 00   803.3   -22.6     4.9   292                                  
1988 01 30 15 00   803.2   -26.1     5.5   291                                  
1988 01 30 18 00   803.2   -21.9     6.4   281                                  
1988 01 30 21 00   802.7   -18.5    13.3   280                                  
1988 01 31 00 00   801.8   -16.6    14.8   281                                  
1988 01 31 03 00   800.7   -15.0    15.2   273                                  
1988 01 31 06 00   799.9   -14.2    11.7   275                                  
1988 01 31 09 00   798.7   -16.7    10.3   284                                  
1988 01 31 12 00   797.7   -20.6    13.3   288                                  
1988 01 31 15 00   796.8   -23.1    12.9   289                                  
1988 01 31 18 00   797.2   -23.6     5.8   281                                  
1988 01 31 21 00   798.9   -16.7     2.9   221                                  
1988 02 01 00 00   800.3   -17.1     3.5   160                                  
1988 02 01 03 00   801.3   -15.4     0.0     0                                  
1988 02 01 06 00   801.9   -15.5     4.5   257                                  
1988 02 01 09 00   802.3   -17.6     2.9   287                                  
1988 02 01 12 00   803.4   -23.6     4.5   287                                  
1988 02 01 15 00   804.1   -24.9     5.8   306                                  
1988 02 01 18 00   804.9   -23.4     4.5   266                                  
1988 02 01 21 00   806.0   -20.4     4.5   258                                  
1988 02 02 00 00   806.5   -16.5     2.5   250                                  
1988 02 02 03 00   806.5   -13.6     2.0   139                                  
1988 02 02 06 00   806.5   -13.2     0.0     0                                  
