Ski_Hi
Operated by US
latitude -74.98 longitude -70.77 height 1395m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1994 02 21 18 00   825.0   -15.5     0.0     0                                  
1994 02 21 21 00   826.1   -17.1     0.4   237                                  
1994 02 22 00 00   827.3   -22.8     0.0     0                                  
1994 02 22 03 00   828.2   -28.8     3.5    15                                  
1994 02 22 06 00   829.0   -31.1     4.9    53                                  
1994 02 22 09 00   830.3   -28.6     8.4    92                                  
1994 02 22 12 00   831.2   -26.8     3.7    11                                  
1994 02 22 15 00   831.6   -23.5     3.5    26                                  
1994 02 22 18 00   832.5   -18.0     0.0     0                                  
1994 02 22 21 00   832.9   -19.2     0.8    14                                  
1994 02 23 00 00   833.5   -25.2     2.0   355                                  
1994 02 23 03 00   833.4   -29.6     8.4     9                                  
1994 02 23 06 00   834.5   -28.5     9.6   355                                  
1994 02 23 09 00   835.4   -26.6    11.7   352                                  
1994 02 23 12 00   835.8   -21.9    14.8   336                                  
1994 02 23 15 00   835.9   -20.2     9.9   358                                  
1994 02 23 18 00   836.1   -12.6     1.6    33                                  
1994 02 23 21 00   835.9   -14.8     2.3   355                                  
1994 02 24 00 00   835.6   -22.4     4.5    12                                  
1994 02 24 03 00   834.6   -28.1     8.8    16                                  
1994 02 24 06 00   834.3   -26.8     6.4     5                                  
1994 02 24 09 00   833.9   -27.5     7.2    19                                  
1994 02 24 12 00   832.6   -25.2     5.7     5                                  
1994 02 24 15 00   833.0   -14.8     1.2   354                                  
1994 02 24 18 00   832.9   -11.5     0.0     0                                  
1994 02 24 21 00   832.4   -18.4     4.1    68                                  
1994 02 25 00 00   831.9   -22.1     7.6    52                                  
1994 02 25 03 00   831.1   -28.2     5.3     9                                  
1994 02 25 06 00   830.9   -29.9     8.4    82                                  
1994 02 25 09 00   830.1   -29.4     7.6     7                                  
1994 02 25 12 00   829.1   -26.6     9.9    35                                  
1994 02 25 15 00   827.5   -21.0     5.3    39                                  
1994 02 25 18 00   825.9   -17.1     4.5   106                                  
1994 02 25 21 00   822.5   -20.0     8.4   122                                  
1994 02 26 00 00   819.2   -22.0    26.3    95                                  
1994 02 26 03 00   816.4   -21.5    29.2   115                                  
1994 02 26 06 00   815.1   -23.1    22.0   101                                  
1994 02 26 09 00   814.7   -22.5    12.5   105                                  
1994 02 26 12 00   814.3   -19.6     3.7   201                                  
1994 02 26 15 00   813.7   -17.5     4.5   154                                  
1994 02 26 18 00   813.6   -16.1     2.0   244                                  
1994 02 26 21 00   812.8   -13.0    35.7    16                                  
1994 02 27 00 00   814.3   -12.4    27.7    14                                  
1994 02 27 03 00   815.0   -14.1    30.4    11                                  
1994 02 27 06 00   815.6   -14.5    34.1    15                                  
1994 02 27 09 00   816.6   -14.8    32.8    22                                  
1994 02 27 12 00   817.8   -14.5    29.6    28                                  
1994 02 27 15 00   818.2   -14.1    32.0   360                                  
1994 02 27 18 00   820.4   -16.1    21.6   354                                  
1994 02 27 21 00   821.5   -17.1    27.3   358                                  
1994 02 28 00 00   824.2   -18.6    14.4   360                                  
1994 02 28 03 00   825.1   -21.4    14.8   358                                  
1994 02 28 06 00   826.9   -22.1    11.1    14                                  
1994 02 28 09 00   828.3   -22.0    12.1   341                                  
1994 02 28 12 00   829.6   -22.8     7.2   354                                  
1994 02 28 15 00   830.9   -21.2     9.2     7                                  
1994 02 28 18 00   831.4   -16.8     9.6   347                                  
1994 02 28 21 00   832.2   -18.6    11.7   354                                  
1994 03 01 00 00   832.8   -19.8    17.2   358                                  
1994 03 01 03 00   833.3   -21.5    19.1   360                                  
1994 03 01 06 00   833.7   -20.5    22.8   357                                  
1994 03 01 09 00   834.4   -19.8    22.4     5                                  
1994 03 01 12 00   835.4   -19.9    21.3     1                                  
1994 03 01 15 00   835.8   -16.6    24.8   360                                  
1994 03 01 18 00   836.3   -16.1    20.1   348                                  
1994 03 01 21 00   837.4   -14.9    27.3   360                                  
1994 03 02 00 00   838.3   -16.8    21.6     1                                  
1994 03 02 03 00   839.0   -15.6    30.0     1                                  
1994 03 02 06 00   840.3   -15.5    19.7   351                                  
1994 03 02 09 00   840.9   -15.0    17.5   343                                  
1994 03 02 12 00   841.9   -13.2    16.4   334                                  
1994 03 02 15 00   842.3   -14.4    15.6   360                                  
1994 03 02 18 00   842.2   -11.9    22.8   331                                  
1994 03 02 21 00   842.6   -12.0    19.3   344                                  
1994 03 03 00 00   842.6   -11.5    13.3   360                                  
1994 03 03 03 00   841.2   -10.5    13.3   326                                  
1994 03 03 06 00   838.7   -10.8    27.3   358                                  
1994 03 03 09 00   836.4   -10.4    35.7   350                                  
1994 03 03 12 00   835.8   -10.6    40.0   355                                  
1994 03 03 15 00   834.9   -10.4    34.1   358                                  
1994 03 03 18 00   833.7   -10.8    47.6   355                                  
1994 03 03 21 00   832.3   -10.9    44.5   352                                  
1994 03 04 00 00   832.5   -11.8    41.1   358                                  
1994 03 04 03 00   831.8   -10.6    40.4   354                                  
1994 03 04 06 00   830.8   -10.2    30.4   357                                  
1994 03 04 09 00   831.5   -10.0    24.8   360                                  
1994 03 04 12 00   829.0   -10.8    38.8     2                                  
1994 03 04 15 00   826.7    -9.8    39.6     1                                  
1994 03 04 18 00   827.7    -9.8    35.7     1                                  
1994 03 04 21 00   829.0    -9.6    29.6     5                                  
1994 03 05 00 00   829.0    -9.6    27.7    16                                  
1994 03 05 03 00   828.3   -10.0    22.4     4                                  
1994 03 05 06 00   827.5    -8.5    21.6   360                                  
1994 03 05 09 00   825.2    -8.9    20.1   358                                  
1994 03 05 12 00   823.4    -8.1    21.3    11                                  
1994 03 05 15 00   820.0    -5.4    16.0    16                                  
1994 03 06 00 00   813.4    -7.1     4.1    42                                  
1994 03 06 03 00   812.2    -8.2    21.6    15                                  
1994 03 06 06 00   812.4   -10.6     8.4    40                                  
1994 03 06 09 00   813.7   -21.0     6.8   196                                  
1994 03 06 12 00   815.7   -21.4     2.7   226                                  
1994 03 06 15 00   816.3   -20.0     2.0   217                                  
1994 03 06 18 00   817.9   -20.2     3.7   243                                  
1994 03 07 00 00   818.0   -20.6     5.3    39                                  
1994 03 07 03 00   817.1   -19.6     5.7   150                                  
1994 03 07 06 00   816.6   -13.6     5.3   274                                  
1994 03 07 09 00   816.1   -11.9    11.1   271                                  
1994 03 07 12 00   815.6   -12.1    10.3   315                                  
1994 03 07 15 00   814.8   -10.2    22.4   296                                  
1994 03 07 18 00   814.8   -10.1    20.5   313                                  
1994 03 07 21 00   815.0   -10.4    19.7   299                                  
1994 03 08 00 00   815.6   -11.9    16.4   315                                  
1994 03 08 03 00   816.0   -11.6    13.6   330                                  
1994 03 08 06 00   816.1   -12.0    11.7   347                                  
1994 03 08 09 00   816.0   -12.5     8.8   334                                  
1994 03 08 12 00   815.8   -10.9    11.1   358                                  
1994 03 08 15 00   815.5   -10.1    11.1   330                                  
1994 03 08 18 00   815.1   -10.0    12.5   316                                  
1994 03 08 21 00   815.2   -11.2    11.7   330                                  
1994 03 09 00 00   814.1   -11.8     6.8   322                                  
1994 03 09 03 00   813.7   -13.9     6.4   302                                  
1994 03 09 06 00   813.6   -16.2     2.3   326                                  
1994 03 09 09 00   813.6   -20.1     2.7   241                                  
1994 03 09 12 00   814.2   -19.9     4.9    59                                  
1994 03 09 15 00   814.0   -21.6     3.5    14                                  
1994 03 09 18 00   813.8   -18.6     8.8   360                                  
1994 03 09 21 00   813.5   -19.6     4.9    73                                  
1994 03 10 00 00   813.4   -21.9     6.8    88                                  
1994 03 10 06 00   813.9   -23.5     2.7   313                                  
1994 03 10 09 00   814.2   -25.2     3.1   345                                  
1994 03 10 12 00   815.2   -22.1     2.0    14                                  
1994 03 10 15 00   815.2   -19.2     1.6   222                                  
1994 03 10 18 00   815.5   -19.6     1.2   337                                  
1994 03 10 21 00   816.3   -20.6     2.0   160                                  
1994 03 11 00 00   816.8   -23.2     4.1    40                                  
1994 03 11 03 00   816.9   -23.0     2.3    60                                  
1994 03 11 06 00   817.3   -18.2     8.0   358                                  
1994 03 11 09 00   818.0   -17.1    10.3   354                                  
1994 03 11 12 00   818.3   -16.9    10.3   352                                  
1994 03 11 15 00   818.4   -16.5    12.5   343                                  
