Sutton
Operated by US
latitude -67.08 longitude 141.37 height 871m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1994 12 26 06 00 -999       -9.5    24.2   357                                  
1994 12 26 09 00 -999      -10.4    22.2   358                                  
1994 12 26 12 00 -999      -13.0    17.7   358                                  
1994 12 26 15 00 -999      -16.0    19.9   358                                  
1994 12 26 18 00 -999      -16.9    21.8   360                                  
1994 12 26 21 00 -999      -15.4    24.2   360                                  
1994 12 27 00 00 -999      -12.5    22.8   358                                  
1994 12 27 06 00 -999      -10.1    14.8   343                                  
1994 12 27 09 00 -999      -10.2     9.0     5                                  
1994 12 27 12 00 -999      -15.4    10.9    36                                  
1994 12 27 15 00 -999      -18.6    12.5    36                                  
1994 12 27 18 00 -999      -19.8    19.9    19                                  
1994 12 27 21 00 -999      -16.6    17.4    19                                  
1994 12 28 00 00 -999      -11.9    14.8     7                                  
1994 12 28 06 00 -999       -6.8     5.5   358                                  
1994 12 28 09 00 -999       -7.2     2.9   360                                  
1994 12 28 12 00 -999      -14.8    10.3    21                                  
1994 12 28 15 00 -999      -17.4    22.2     9                                  
1994 12 28 18 00 -999      -17.6    30.6   358                                  
1994 12 28 21 00 -999      -15.2    23.8   355                                  
1994 12 29 00 00 -999      -11.9    23.2   355                                  
1994 12 29 06 00 -999       -9.6    23.2   351                                  
1994 12 29 09 00 -999      -10.2    18.9   341                                  
1994 12 29 12 00 -999      -14.1    15.4   354                                  
1994 12 29 15 00 -999      -16.5    19.9   358                                  
1994 12 29 18 00 -999      -16.9    17.4   355                                  
1994 12 29 21 00 -999      -14.1    24.2   358                                  
1994 12 30 00 00 -999      -10.6    24.2   348                                  
1994 12 30 06 00 -999       -7.6    25.4   350                                  
1994 12 30 09 00 -999       -8.2    23.2   358                                  
1994 12 30 12 00 -999      -10.9    24.2   360                                  
1994 12 30 15 00 -999      -12.1    27.7   360                                  
1994 12 30 18 00 -999      -13.4    27.7   358                                  
1994 12 30 21 00 -999      -12.1    19.9   347                                  
1994 12 31 00 00 -999       -9.6    21.8   327                                  
