Swithinbank
Operated by US
latitude -81.20 longitude -126.18 height 959m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1997 01 18 06 00   886.6    -4.1    11.3   355                                  
1997 01 18 09 00   887.0    -5.8    13.6   360                                  
1997 01 18 12 00   887.3    -6.6    13.3   351                                  
1997 01 18 15 00   887.5    -6.9    10.3   354                                  
1997 01 18 18 00   888.3    -5.8    10.7   333                                  
1997 01 18 21 00   889.0    -3.8     8.0   340                                  
1997 01 19 00 00   889.1    -2.9     7.6   337                                  
1997 01 19 03 00   888.9    -3.8     8.4   340                                  
1997 01 19 06 00   888.8    -6.0    10.7   352                                  
1997 01 19 09 00   888.6    -7.6    11.7   355                                  
1997 01 19 12 00   887.4    -8.8    15.6   358                                  
1997 01 19 15 00   887.2    -7.1    11.7   340                                  
1997 01 19 18 00   887.1    -6.0     7.6   327                                  
1997 01 19 21 00   887.4    -4.9    12.1   295                                  
1997 01 20 00 00   887.5    -3.6     8.4   296                                  
1997 01 20 03 00   886.9    -4.2     8.0   317                                  
1997 01 20 06 00   886.0    -6.4     8.4   348                                  
1997 01 20 09 00   885.2    -6.1     8.0   360                                  
1997 01 20 12 00   884.1    -9.0     9.9   360                                  
1997 01 20 15 00   883.1    -6.8     9.6   352                                  
1997 01 20 18 00   881.8    -5.2     7.2   357                                  
1997 01 20 21 00   881.4    -3.2     4.9   317                                  
1997 01 21 00 00   880.9    -4.5    11.3   288                                  
1997 01 21 03 00   880.2    -4.1     4.9   303                                  
1997 01 21 06 00   879.5    -4.9     9.2   296                                  
1997 01 21 09 00   879.0    -4.9     7.2   302                                  
1997 01 21 12 00   878.3    -5.0     7.6   334                                  
1997 01 21 15 00   878.1    -5.2     8.4   288                                  
1997 01 21 18 00   878.6    -5.6    10.7   264                                  
1997 01 21 21 00   879.7    -5.5     9.2   247                                  
1997 01 22 00 00   880.3    -6.4    12.1   284                                  
1997 01 22 03 00   880.7    -6.1     6.8   286                                  
1997 01 22 06 00   880.3    -7.1    10.7   352                                  
1997 01 22 09 00   880.8    -6.6     6.4   306                                  
1997 01 22 12 00   881.4    -8.4     4.9   305                                  
1997 01 22 15 00   882.0    -5.2     4.1   350                                  
1997 01 22 18 00   882.7    -4.5     5.3   284                                  
1997 01 22 21 00   883.5    -4.6     7.2   291                                  
1997 01 23 00 00   884.0    -3.8     3.7   300                                  
1997 01 23 03 00   884.4    -6.0     7.2   272                                  
1997 01 23 06 00   884.5    -6.1     4.9   322                                  
1997 01 23 09 00   884.3    -6.1     5.7   284                                  
1997 01 23 12 00   884.0    -6.6     7.2   309                                  
1997 01 23 15 00   883.5    -7.2     7.6   281                                  
1997 01 23 18 00   883.6    -7.0     9.6   264                                  
1997 01 23 21 00   883.7    -7.4     8.8   291                                  
1997 01 24 00 00   883.7    -8.8     9.2   275                                  
1997 01 24 03 00   882.9    -8.5     9.2   285                                  
1997 01 24 06 00   882.0    -8.0     3.1   299                                  
1997 01 24 09 00   880.9    -8.2     5.7   316                                  
1997 01 24 12 00   879.6   -13.2    11.3   341                                  
1997 01 24 15 00   878.0   -14.2    12.5   338                                  
1997 01 24 18 00   877.1   -13.0    10.3   307                                  
1997 01 24 21 00   876.3   -13.2     9.9   268                                  
1997 01 25 00 00   875.6   -11.5     6.0   274                                  
1997 01 25 03 00   875.0   -11.4     7.2   279                                  
1997 01 25 06 00   874.2   -13.9     6.4   348                                  
1997 01 25 09 00   873.6   -12.0     7.6   316                                  
1997 01 25 12 00   873.5   -11.9     6.8   336                                  
1997 01 25 15 00   872.8   -11.0     8.4     1                                  
1997 01 25 18 00   872.4   -10.0     8.0   348                                  
1997 01 25 21 00   872.4    -7.4     8.0   348                                  
1997 01 26 00 00   872.0    -6.0    10.3   320                                  
1997 01 26 03 00   871.6    -6.5     4.9   360                                  
1997 01 26 06 00   872.0    -7.9     5.3   302                                  
1997 01 26 09 00   873.0   -10.1     9.6   330                                  
1997 01 26 12 00   873.6   -10.0    11.3   333                                  
1997 01 26 15 00   874.0    -8.6     9.9   345                                  
1997 01 26 18 00   874.3    -7.1    11.3   345                                  
1997 01 26 21 00   874.8    -7.1    13.3   327                                  
1997 01 27 00 00   876.0    -6.5    12.1   313                                  
1997 01 27 03 00   877.2    -7.0     9.2   295                                  
1997 01 27 06 00   878.4    -7.4     8.0   315                                  
1997 01 27 09 00   879.3    -9.5     8.8   340                                  
1997 01 27 12 00   880.3   -10.1     9.9   330                                  
1997 01 27 15 00   881.2    -9.0     8.0   333                                  
1997 01 27 18 00   881.8    -8.4     8.4   327                                  
1997 01 27 21 00   882.3    -8.9     7.2     1                                  
1997 01 28 00 00   882.6    -8.5     6.0   351                                  
1997 01 28 03 00   882.2   -11.8     7.2   344                                  
1997 01 28 06 00   882.2   -11.9     8.0   316                                  
1997 01 28 09 00   882.4   -10.6     4.9   315                                  
1997 01 28 12 00   882.1   -13.2     7.2     9                                  
1997 01 28 15 00   881.8   -15.0     6.4   354                                  
1997 01 28 18 00   881.5    -8.5     5.7   358                                  
1997 01 28 21 00   880.9    -9.0     7.2   334                                  
1997 01 29 00 00   880.1    -8.9    10.3   331                                  
1997 01 29 03 00   879.3   -10.0    10.3   352                                  
1997 01 29 06 00   878.6   -10.0     9.9     5                                  
1997 01 29 09 00   878.1   -10.4     6.8    16                                  
1997 01 29 12 00   877.3   -14.1    11.3    35                                  
1997 01 29 15 00   875.8   -13.5    16.4    16                                  
1997 01 29 18 00   876.3   -12.5    11.3   360                                  
1997 01 29 21 00   877.0    -8.9    16.8   334                                  
1997 01 30 00 00   878.3    -8.4    10.3   327                                  
1997 01 30 03 00   879.4    -7.8    11.7   324                                  
1997 01 30 06 00   880.5    -8.1    11.3   350                                  
1997 01 30 09 00   882.1    -7.6    10.3   327                                  
1997 01 30 12 00   883.1    -7.1    11.3   319                                  
1997 01 30 15 00   884.6    -6.6    13.6   289                                  
1997 01 30 18 00   886.9    -6.5    10.3   286                                  
1997 01 30 21 00   888.8    -5.6     7.6   303                                  
1997 01 31 00 00   889.7    -5.8     7.2   310                                  
1997 01 31 03 00   890.2    -7.4     6.8   322                                  
1997 01 31 06 00   890.6    -9.6     8.0   324                                  
1997 01 31 09 00   891.3    -8.5     7.2   330                                  
1997 01 31 12 00   891.4    -8.2     9.9   320                                  
1997 01 31 15 00   891.2    -7.8    11.7   347                                  
1997 01 31 18 00   891.7    -6.6     8.0   330                                  
1997 01 31 21 00   891.6    -6.1    13.3   340                                  
1997 02 01 00 00   891.3    -5.5    14.0   327                                  
1997 02 01 03 00   891.1    -5.0    12.5   316                                  
1997 02 01 06 00   890.8    -5.2    13.3   317                                  
1997 02 01 09 00   890.8    -8.5    12.9   331                                  
1997 02 01 12 00   891.0    -9.1    15.2   326                                  
1997 02 01 15 00   891.3    -6.8    16.0   315                                  
1997 02 01 21 00   892.4    -4.1    16.8   305                                  
1997 02 02 00 00   893.3    -4.8    12.1   324                                  
1997 02 02 03 00   893.8    -6.6    12.5   350                                  
1997 02 02 06 00   893.4   -10.6    16.0     1                                  
1997 02 02 09 00   892.7   -12.4    21.6    19                                  
1997 02 02 15 00   890.0   -12.8    23.6   358                                  
1997 02 02 18 00   889.0    -9.4    16.4   337                                  
1997 02 02 21 00   888.8    -8.8    12.1   317                                  
1997 02 03 00 00   889.7    -7.8     9.9   298                                  
1997 02 03 03 00   889.8    -8.4    11.1   337                                  
1997 02 03 06 00   889.4    -9.5    11.1   347                                  
1997 02 03 09 00   889.1    -7.2    11.3   357                                  
1997 02 03 12 00   888.4    -6.6    13.3   348                                  
1997 02 03 15 00   888.2    -7.6     9.9   347                                  
1997 02 03 18 00   887.8    -6.0     9.2   350                                  
1997 02 03 21 00   887.6    -5.0    10.7   338                                  
1997 02 04 00 00   887.3    -5.5     6.8   357                                  
1997 02 04 03 00   886.7    -5.5     6.4   358                                  
1997 02 04 06 00   886.3    -7.1     8.4   347                                  
1997 02 04 09 00   886.9   -10.2     9.9   338                                  
1997 02 04 12 00   886.8    -8.6     9.2   352                                  
1997 02 04 15 00   886.9    -7.2    11.7   331                                  
1997 02 04 18 00   887.5    -6.1     8.8   347                                  
1997 02 04 21 00   888.4    -4.2     7.2   330                                  
1997 02 05 00 00   889.4    -2.5     5.7   296                                  
1997 02 05 03 00   889.7    -4.0     4.5   324                                  
1997 02 05 06 00   889.8    -5.0     6.0   357                                  
1997 02 05 09 00   889.7    -5.2     7.2    18                                  
1997 02 05 12 00   889.4    -5.2     8.0     8                                  
1997 02 05 15 00   888.9    -5.0     9.6   360                                  
1997 02 05 18 00   888.4    -7.4    16.0     4                                  
1997 02 05 21 00   887.7    -4.8     9.9   338                                  
1997 02 06 00 00   887.5    -4.6     6.0   307                                  
1997 02 06 03 00   886.8    -6.1     8.0   327                                  
1997 02 06 06 00   886.2    -6.0     5.7   293                                  
1997 02 06 09 00   885.6    -7.6     9.9   350                                  
1997 02 06 12 00   884.2   -10.0    10.3   348                                  
1997 02 06 15 00   883.1   -10.6     8.4   338                                  
1997 02 06 18 00   882.6    -7.0     7.6   312                                  
1997 02 06 21 00   882.1    -5.8     8.0   293                                  
1997 02 07 00 00   881.6    -5.8     8.4   298                                  
1997 02 07 03 00   880.6    -6.5     6.0   317                                  
1997 02 07 06 00   879.2    -9.1     7.6   337                                  
1997 02 07 09 00   878.4    -9.1     9.2   337                                  
1997 02 07 12 00   877.7    -9.2    10.3   330                                  
1997 02 07 15 00   876.4    -9.0    16.4   319                                  
1997 02 07 18 00   875.9    -8.6    12.5   344                                  
1997 02 07 21 00   876.1   -10.1    16.8   285                                  
1997 02 08 00 00   876.4   -12.6    14.8   313                                  
1997 02 08 03 00   876.3   -13.6    11.1   272                                  
1997 02 08 06 00   876.9   -13.5    13.6   261                                  
1997 02 08 09 00   877.8   -14.8    14.8   261                                  
1997 02 08 12 00   878.7   -15.8     6.0   298                                  
1997 02 08 15 00   878.8   -14.2     6.0   270                                  
1997 02 08 18 00   878.2   -13.8     9.2   298                                  
1997 02 08 21 00   877.9   -12.5     5.3   293                                  
1997 02 09 00 00   877.8   -13.9     3.7   299                                  
1997 02 09 03 00   877.2   -15.2     4.9   313                                  
1997 02 09 06 00   876.8   -15.8     6.0   360                                  
1997 02 09 09 00   876.1   -21.0    13.3     1                                  
1997 02 09 12 00   875.8   -22.1    14.4     1                                  
1997 02 09 15 00   875.3   -20.5    11.7     2                                  
1997 02 09 18 00   875.3   -18.4    10.7   360                                  
1997 02 09 21 00   874.9   -16.5    11.1    15                                  
1997 02 10 00 00   874.5   -15.1     9.6    39                                  
1997 02 10 03 00   874.3   -15.6    10.3    19                                  
1997 02 10 06 00   874.4   -18.9    14.4    23                                  
1997 02 10 09 00   874.6   -22.5    16.0    18                                  
1997 02 10 12 00   874.8   -22.5    14.8    12                                  
1997 02 10 15 00   875.2   -21.9    11.7     7                                  
1997 02 10 18 00   876.1   -15.9    12.1   352                                  
1997 02 10 21 00   877.7   -16.9     9.9   267                                  
1997 02 11 00 00   879.6   -16.8     7.2   303                                  
1997 02 11 03 00   880.4   -19.9     5.7   324                                  
1997 02 11 06 00   881.1   -19.5     6.4   337                                  
1997 02 11 09 00   881.6   -19.8     4.9   319                                  
1997 02 11 12 00   881.7   -19.6     6.0   306                                  
1997 02 11 15 00   881.3   -20.1     7.2   329                                  
1997 02 11 18 00   880.7   -17.1     3.5   319                                  
1997 02 11 21 00   879.9   -16.4     3.7   302                                  
1997 02 12 00 00   878.9   -14.9     0.0     0                                  
1997 02 12 03 00   877.3   -16.5     0.0     0                                  
1997 02 12 06 00   875.9   -18.2     0.0     0                                  
1997 02 12 09 00   874.8   -20.2     4.5    11                                  
1997 02 12 12 00   873.9   -23.4     0.0     0                                  
1997 02 12 15 00   872.4   -22.5     1.2   125                                  
1997 02 12 18 00   871.3   -22.1     0.0     0                                  
1997 02 12 21 00   870.2   -19.5     4.1   324                                  
1997 02 13 00 00   869.8   -20.4     3.5   322                                  
1997 02 13 03 00   868.6   -21.4     6.8   316                                  
1997 02 13 06 00   868.2   -21.2     4.9   309                                  
1997 02 13 09 00   867.9   -23.1     9.6     1                                  
1997 02 13 12 00   867.5   -25.9    13.6   358                                  
1997 02 13 15 00   867.3   -25.6    14.8   357                                  
1997 02 13 18 00   867.5   -24.4    16.0   355                                  
1997 02 13 21 00   868.2   -23.2    16.4   354                                  
1997 02 14 00 00   869.1   -22.1    13.3   360                                  
1997 02 14 03 00   869.3   -23.5    11.3    11                                  
1997 02 14 06 00   869.3   -26.0    11.3     7                                  
1997 02 14 09 00   869.5   -27.0    14.4   360                                  
1997 02 14 12 00   869.3   -28.2    17.9     7                                  
1997 02 14 15 00   869.7   -27.4    13.3   360                                  
1997 02 14 18 00   869.5   -24.1    15.2     1                                  
1997 02 14 21 00   869.7   -20.4    12.1   360                                  
1997 02 15 00 00   870.0   -19.6    12.1   358                                  
1997 02 15 03 00   870.3   -21.0    10.7   351                                  
1997 02 15 06 00   871.3   -23.5    12.5   354                                  
1997 02 15 09 00   872.3   -25.2    12.1   344                                  
1997 02 15 12 00   873.7   -24.9    14.4   352                                  
1997 02 15 15 00   874.5   -23.2    14.0   352                                  
1997 02 15 18 00   875.0   -20.8    13.6   354                                  
1997 02 15 21 00   875.4   -17.8     9.9   355                                  
1997 02 16 00 00   875.4   -12.8     6.4   333                                  
1997 02 16 03 00   875.6   -14.4     6.8   310                                  
1997 02 16 06 00   876.0   -12.6     7.6   324                                  
1997 02 16 09 00   876.6   -11.5     4.9   347                                  
1997 02 16 12 00   877.9   -12.0     3.1   281                                  
1997 02 16 15 00   878.3   -11.4     3.7   326                                  
1997 02 16 18 00   878.3   -10.1     8.4   323                                  
1997 02 16 21 00   880.3   -13.6     8.8   257                                  
1997 02 17 00 00   882.2   -14.5     8.4   292                                  
1997 02 17 03 00   882.6   -18.0     6.8   340                                  
1997 02 17 06 00   882.7   -22.5     8.4    11                                  
1997 02 17 09 00   882.7   -21.2     2.3   116                                  
1997 02 17 12 00   881.9   -23.6     8.8    25                                  
1997 02 17 15 00   881.0   -13.9     8.8   358                                  
1997 02 17 18 00   880.0    -8.4    12.1   320                                  
1997 02 17 21 00   879.1    -7.9    13.3   312                                  
1997 02 18 00 00   879.1    -7.8    15.2   295                                  
1997 02 18 03 00   878.9    -8.5    17.2   289                                  
1997 02 18 06 00   879.2    -9.2    13.3   295                                  
1997 02 18 09 00   878.8    -8.9    12.1   306                                  
1997 02 18 12 00   877.6    -9.4    14.4   317                                  
1997 02 18 15 00   876.6    -9.8    16.4   310                                  
1997 02 18 18 00   876.4   -10.5    11.3   307                                  
1997 02 18 21 00   877.2   -12.9     6.4   253                                  
1997 02 19 00 00   878.6   -14.8     4.5   262                                  
1997 02 19 03 00   880.4   -18.4    11.1   251                                  
1997 02 19 06 00   883.2   -21.5    11.7   274                                  
1997 02 19 09 00   885.3   -21.5     8.0   264                                  
1997 02 19 12 00   887.3   -22.0     4.5   271                                  
1997 02 19 15 00   888.4   -21.4     6.0   262                                  
1997 02 19 18 00   889.1   -20.9     6.0   300                                  
1997 02 19 21 00   889.6   -21.0     8.4   315                                  
1997 02 20 00 00   889.2   -20.1     9.6   327                                  
1997 02 20 03 00   888.3   -21.5    11.7   337                                  
1997 02 20 06 00   887.2   -25.9    15.2   358                                  
1997 02 20 09 00   885.7   -27.4    19.1   357                                  
1997 02 20 12 00   884.0   -26.5    16.4    16                                  
1997 02 20 15 00   880.2   -22.6    24.0   355                                  
1997 02 20 18 00   877.1   -20.2    21.6   354                                  
1997 02 20 21 00   876.0   -14.0    14.8   334                                  
1997 02 21 00 00   875.0   -10.5    14.4   299                                  
1997 02 21 03 00   874.3    -9.8    17.5   295                                  
1997 02 21 06 00   874.2    -9.4    19.7   302                                  
1997 02 21 09 00   874.5    -9.1    20.9   292                                  
1997 02 21 12 00   874.7    -8.9    19.3   300                                  
1997 02 21 15 00   874.6    -8.1    19.1   303                                  
1997 02 21 18 00   874.8    -8.2    19.7   306                                  
1997 02 21 21 00   874.8    -8.0    14.0   312                                  
1997 02 22 00 00   875.0    -7.9    20.1   292                                  
1997 02 22 03 00   875.3    -8.2    17.2   302                                  
1997 02 22 06 00   875.7    -9.1    17.5   307                                  
1997 02 22 09 00   875.7    -9.6    11.3   319                                  
1997 02 22 12 00   875.7   -10.0    15.2   331                                  
1997 02 22 15 00   875.6   -10.0    14.8   324                                  
1997 02 22 18 00   875.7    -9.1    14.8   309                                  
1997 02 22 21 00   876.0    -9.5    13.3   315                                  
1997 02 23 00 00   876.3    -9.6    10.7   338                                  
1997 02 23 03 00   875.4   -10.0    10.3   341                                  
1997 02 23 06 00   874.4   -13.1    10.7     4                                  
1997 02 23 09 00   873.0   -13.9    14.0     1                                  
1997 02 23 12 00   871.9   -14.8    10.7   360                                  
1997 02 23 15 00   871.0   -11.6     9.6   343                                  
1997 02 23 18 00   870.9   -10.2    12.9   343                                  
1997 02 23 21 00   870.8   -10.4     6.8   330                                  
1997 02 24 00 00   871.3   -10.2     3.5   261                                  
1997 02 24 03 00   871.5   -12.4     6.4   240                                  
1997 02 24 06 00   872.3   -16.0     3.7   286                                  
1997 02 24 09 00   873.1   -14.9     2.3   275                                  
1997 02 24 15 00   874.5   -16.8     5.7   275                                  
1997 02 24 18 00   875.3   -18.6     5.3   285                                  
