Traverse Mountains
Operated by Newcastle:University
latitude -69.98 longitude -67.55 height 1047m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999

2009 12 22 21 00   859.9    -4.8    20.1    44                                  
2009 12 22 22 00   859.7    -5.5    17.7    44                                  
2009 12 22 23 00   859.1    -6.1    23.8    37                                  
2009 12 23 00 00   858.9    -7.1    22.4    46                                  
2009 12 23 01 00   858.8    -7.4    28.7    44                                  
2009 12 23 02 00   858.9    -7.6    25.5    43                                  
2009 12 23 03 00   859.1    -7.4    23.4    42                                  
2009 12 23 04 00   859.6    -8.0    13.1    44                                  
2009 12 23 05 00   858.6    -7.5    25.4    47                                  
2009 12 23 06 00   858.5    -7.5    26.3    44                                  
2009 12 23 07 00   858.3    -7.3    27.9    39                                  
2009 12 23 08 00   858.7    -7.1    23.2    37                                  
2009 12 23 09 00   858.5    -6.9    24.8    42                                  
2009 12 23 10 00   858.5    -6.8    25.9    41                                  
2009 12 23 11 00   858.3    -6.2    24.4    41                                  
2009 12 23 12 00   858.3    -6.0    27.9    43                                  
2009 12 23 13 00   858.8    -5.7    21.6    45                                  
2009 12 23 14 00   858.9    -5.1    20.1    17                                  
2009 12 23 15 00   859.1    -4.2    18.5    21                                  
2009 12 23 16 00   858.9    -4.9    27.1    38                                  
2009 12 23 17 00   859.1    -4.2    20.7    26                                  
2009 12 23 18 00   859.0    -4.1    20.5    30                                  
2009 12 23 19 00   859.4    -3.8    15.2    23                                  
2009 12 23 20 00   859.1    -5.2    15.8     9                                  
2009 12 23 21 00   859.5    -5.5    10.5   359                                  
2009 12 23 22 00   859.5    -6.1    16.8    13                                  
2009 12 23 23 00   859.4    -6.5    20.5    22                                  
2009 12 24 00 00   859.7    -7.6    19.3    39                                  
2009 12 24 01 00   859.4    -8.3    20.3    37                                  
2009 12 24 02 00   859.2    -8.2    21.5    44                                  
2009 12 24 03 00   859.3    -8.2    26.3    42                                  
2009 12 24 04 00   859.7    -7.6    20.9    29                                  
2009 12 24 05 00   860.2    -7.5    17.4    31                                  
2009 12 24 06 00   860.5    -8.4    14.8    56                                  
2009 12 24 07 00   860.3    -8.0    16.4    47                                  
2009 12 24 08 00   860.5    -7.9    18.3    46                                  
2009 12 24 09 00   860.7    -7.5    17.0    42                                  
2009 12 24 10 00   860.9    -7.0    17.4    28                                  
2009 12 24 11 00   861.1    -7.4    11.9    27                                  
2009 12 24 12 00   861.2    -7.4    13.7    48                                  
2009 12 24 13 00   861.5    -6.9    11.5    39                                  
2009 12 24 14 00   861.6    -6.2    11.3    22                                  
2009 12 24 15 00   861.7    -5.4    14.0    27                                  
2009 12 24 16 00   862.1    -4.5    13.5    16                                  
2009 12 24 17 00   862.2    -4.5    12.7    21                                  
2009 12 24 18 00   862.4    -4.3    10.3    11                                  
2009 12 24 19 00   862.4    -4.4    14.0    11                                  
2009 12 24 20 00   862.5    -4.5    11.5     2                                  
2009 12 24 21 00   862.8    -4.8    11.9    23                                  
2009 12 24 22 00   863.0    -6.0    12.3    14                                  
2009 12 24 23 00   863.0    -6.7     9.8   358                                  
2009 12 25 00 00   863.0    -7.5    11.9    29                                  
2009 12 25 01 00   863.0    -9.0    13.8    38                                  
2009 12 25 02 00   862.9    -9.8    16.8    47                                  
2009 12 25 03 00   862.6   -10.2    18.5    44                                  
2009 12 25 04 00   862.6   -10.5    20.3    41                                  
2009 12 25 05 00   862.5   -10.8    20.9    52                                  
2009 12 25 06 00   862.2   -11.6    22.2    48                                  
2009 12 25 07 00   862.4   -11.1    22.0    51                                  
2009 12 25 08 00   862.0   -10.3    25.4    58                                  
2009 12 25 09 00   861.6    -9.9    27.5    57                                  
2009 12 25 10 00   861.9    -9.9    26.3    56                                  
2009 12 25 11 00   862.3    -9.1    20.9    58                                  
2009 12 25 12 00   862.5    -8.2    18.3    55                                  
2009 12 25 13 00   862.7    -7.2    17.9    55                                  
2009 12 25 14 00   862.4    -6.2    24.0    50                                  
2009 12 25 15 00   862.1    -6.1    27.3    49                                  
2009 12 25 16 00   862.4    -5.6    26.5    57                                  
2009 12 25 17 00   862.4    -5.3    25.5    49                                  
2009 12 25 18 00   862.4    -5.5    26.9    51                                  
2009 12 25 19 00   862.5    -5.3    25.0    55                                  
2009 12 25 20 00   862.2    -6.1    28.7    48                                  
2009 12 25 21 00   861.8    -6.3    27.3    56                                  
2009 12 25 22 00   861.9    -6.6    32.4    48                                  
2009 12 25 23 00   861.9    -6.9    33.2    55                                  
2009 12 26 00 00   862.2    -7.4    31.6    48                                  
2009 12 26 01 00   862.0    -7.9    35.1    54                                  
2009 12 26 02 00   862.2    -8.3    31.4    56                                  
2009 12 26 03 00   862.2    -8.4    33.5    51                                  
2009 12 26 04 00   862.6    -8.7    30.4    52                                  
2009 12 26 05 00   862.6    -8.7    31.2    56                                  
2009 12 26 06 00   862.4    -9.0    31.6    54                                  
2009 12 26 07 00   862.4    -9.1    32.2    51                                  
2009 12 26 08 00   862.5    -9.0    34.3    51                                  
2009 12 26 09 00   862.7    -8.8    37.1    55                                  
2009 12 26 10 00   862.7    -8.5    38.2    50                                  
