Welch Mountains
Operated by Newcastle:University
latitude -70.71 longitude -63.81 height 1526m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999

2010 01 10 04 00   823.1   -11.3     0.4   167                                  
2010 01 10 05 00   822.8   -11.4     4.9   118                                  
2010 01 10 06 00   822.6   -11.4     3.1   180                                  
2010 01 10 07 00   822.5   -10.7     6.2   103                                  
2010 01 10 08 00   822.4   -10.5     3.9   107                                  
2010 01 10 09 00   822.2   -11.7     4.1   211                                  
2010 01 10 10 00   822.1   -11.1     1.0   118                                  
2010 01 10 11 00   822.1   -10.2     3.5   200                                  
2010 01 10 12 00   822.0    -9.2     2.9   203                                  
2010 01 10 13 00   821.9    -8.6     3.3   110                                  
2010 01 10 14 00   821.8    -7.8     2.0    94                                  
2010 01 10 15 00   821.8    -4.6     1.4   102                                  
2010 01 10 16 00   821.7    -5.6     1.2   299                                  
2010 01 10 17 00   821.7    -3.3     1.2   343                                  
2010 01 10 18 00   821.5    -5.6     2.3   294                                  
2010 01 10 19 00   821.7    -5.9     1.2   284                                  
2010 01 10 20 00   821.6    -4.5     1.2   214                                  
2010 01 10 21 00   821.7    -6.2     2.7   292                                  
2010 01 10 22 00   821.7    -7.3     2.5   267                                  
2010 01 10 23 00   821.6    -8.4     2.5   203                                  
2010 01 11 00 00   821.5    -9.8     5.1   136                                  
2010 01 11 01 00   821.4    -9.3     4.3   125                                  
2010 01 11 02 00   821.5    -9.4     4.5   108                                  
2010 01 11 03 00   821.4    -9.9     7.0   122                                  
2010 01 11 04 00   821.3   -10.5     6.6   118                                  
2010 01 11 05 00   821.3   -10.5     5.5   124                                  
2010 01 11 06 00   821.3   -10.4     4.3   141                                  
2010 01 11 07 00   821.4    -9.7     3.9   120                                  
2010 01 11 08 00   821.5    -9.1     2.1   133                                  
2010 01 11 09 00   821.6    -8.9     2.3   249                                  
2010 01 11 10 00   821.7    -9.5     2.9   222                                  
2010 01 11 11 00   821.6   -10.2     4.7   132                                  
2010 01 11 12 00   821.8    -8.9     2.0   150                                  
2010 01 11 13 00   821.8    -8.7     2.7   115                                  
2010 01 11 14 00   822.0    -8.5     3.9   110                                  
2010 01 11 15 00   822.1    -6.4     2.3   273                                  
2010 01 11 16 00   822.3    -6.5     0.8   116                                  
2010 01 11 17 00   822.4    -5.9     1.6    68                                  
2010 01 11 18 00   822.6    -5.0     1.6   253                                  
2010 01 11 19 00   822.6    -2.8     1.4   130                                  
2010 01 11 20 00   822.9    -2.5     1.0   298                                  
2010 01 11 21 00   823.1    -4.0     0.6   293                                  
2010 01 11 22 00   823.2    -6.2     1.8   244                                  
