White Out
Operated by US
latitude -77.87 longitude 168.16 height 30m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1998 12 01 00 00   980.3    -4.8     7.2   302                                  
1998 12 01 03 00   980.1    -4.9    10.3   188                                  
1998 12 01 06 00   978.6    -5.0     7.6   302                                  
1998 12 01 09 00   977.6    -4.4    22.0   212                                  
1998 12 01 12 00   981.5    -9.6     8.8   192                                  
1998 12 01 15 00   983.7   -11.8     4.5   237                                  
1998 12 01 18 00   984.8    -9.5     1.2   215                                  
1998 12 01 21 00   984.4    -9.4     1.2    33                                  
1998 12 02 00 00   985.7   -12.5     5.3   254                                  
1998 12 02 03 00   986.2   -10.8     9.9   187                                  
1998 12 02 06 00   987.4   -11.2     3.1   215                                  
1998 12 02 09 00   987.4    -9.1     3.1   345                                  
1998 12 02 12 00   986.9   -11.8     3.5   209                                  
1998 12 02 15 00   986.0   -13.4     4.9   281                                  
1998 12 02 18 00   985.8   -13.1     4.9   277                                  
1998 12 02 21 00   985.6   -10.6     5.3   289                                  
1998 12 03 00 00   985.1    -9.4     3.7   293                                  
1998 12 03 03 00   983.9    -6.8     7.2   255                                  
1998 12 03 06 00   983.1    -6.0     9.6   251                                  
1998 12 03 09 00   982.2    -7.2     9.2   248                                  
1998 12 03 12 00   982.0    -8.9     6.4   315                                  
1998 12 03 15 00   981.1   -10.8     5.7   296                                  
1998 12 03 18 00   980.9   -10.4     4.5   338                                  
1998 12 03 21 00   980.9    -6.4     4.5   345                                  
1998 12 04 00 00   980.9    -3.8     2.7    61                                  
1998 12 04 03 00   980.0     0.1     1.2   135                                  
1998 12 04 06 00   978.9    -4.0     4.5   164                                  
1998 12 04 09 00   978.4    -7.6     6.0   137                                  
1998 12 04 12 00   978.6   -12.1     4.9   184                                  
1998 12 04 15 00   978.7   -10.8     2.7   293                                  
1998 12 04 18 00   979.7    -9.6     2.7   295                                  
1998 12 04 21 00   980.4    -5.0     2.7   212                                  
1998 12 05 00 00   980.6    -3.6     0.8   140                                  
1998 12 05 03 00   980.2    -3.4     4.1   119                                  
1998 12 05 06 00   980.3    -1.9     2.7   343                                  
1998 12 05 09 00   980.2    -7.2     5.3   306                                  
1998 12 05 12 00   980.5    -8.8     1.6   345                                  
1998 12 05 15 00   980.1   -10.1     4.1   326                                  
